case_id,suite,required_check,expected_result,error_code
T28-L001,L,n00_context_profile_freeze,pass,
T28-L002,L,n01_malformed_ingress_rejected_dialect_native_errors,pass,
T28-L003,L,n02_parse_tree_deterministic_source_map_complete,pass,
T28-L004,L,n03_capability_precedence_missing_row_reject,pass,
T28-L005,L,n04_operator_normalization_deterministic_vector,pass,
T28-L006,L,n05_coercion_normalization_deterministic_vector,pass,
T28-L007,L,n06_clause_bitmap_order_validations,pass,
T28-L008,L,n07_uuid_binding_not_discoverable_policy_enforced,pass,
T28-L009,L,n08_canonical_ast_serialization_byte_identical,pass,
T28-L010,L,n09_norm_hash_byte_identical,pass,
T28-L011,L,n10_sblr_norm_fields_and_checksums_present,pass,
T28-L012,L,n11_preflight_rejects_unresolved_symbols,pass,
T28-L013,L,n12_engine_envelope_plan_key_fields_complete,pass,
T28-L014,L,n13_stale_plan_handle_rerun_n02_to_n12,pass,
T28-L015,L,n14_n15_error_mapping_and_egress_dialect_correct,pass,
