spec_path,spec_element,ticket,implementation_status,implementation_path,unique_search_key,notes
docs/specifications/24_Catalog_Model_and_Virtual_Overlays/LISTENER_TOPOLOGY_PARSER_POOL_AND_EMULATION_BINDING_CATALOG_MODEL.md,Dedicated listener topology and parser-pool catalog substrate,B1-05-003,implemented,src/core/database.cpp|src/core/catalog_manager.cpp,seedBootstrapListenerTopology(,Dedicated listener profile binding emulation target and generation rows already seed and persist through catalog APIs
docs/specifications/24_Catalog_Model_and_Virtual_Overlays/REMOTE_MANAGEMENT_LOCAL_AND_CLUSTER_PERSISTENCE_CONSISTENCY_MODEL.md,Dual-persistence and drift consistency substrate,B1-05-004,implemented,src/core/database.cpp|src/core/catalog_manager.cpp,listener_generation_record requires target_database_uuid,Target-local listener generation drift rows and cluster-side fabric deployment rows now prove the bounded dual-persistence substrate consumed by package 05
docs/specifications/25_Runtime_Modes/MANAGER_DBBT_LPREFACE_AND_MCP_CONTROL_PLANE_MODEL.md,Manager DBBT LPREFACE and bounded MCP control verbs,B1-05-004,implemented,src/server/sb_manager_main.cpp|src/network/control_plane.cpp,LPREFACE_VALIDATE,Manager auth DBBT issuance LPREFACE validation MCP connect verbs and manager-proxy byte relay are code-backed and directly exercised by the lane-B proof bundle
docs/specifications/25_Runtime_Modes/MANAGER_HEARTBEAT_AND_SERVER_AGENT_MODEL.md,Server-local manager proxy and readiness agent boundary,B1-05-004,implemented,src/server/service_controller.cpp|src/server/sb_manager_main.cpp|src/network/sb_listener_main.cpp,appendManagerInspectionEntries(,The manager now publishes deterministic heartbeat and readiness inspection rows over STATUS_RESPONSE while remaining the server-local control owner in front of the listener
docs/specifications/25_Runtime_Modes/MANAGER_HEARTBEAT_PUBLICATION_AND_REMOTE_DRIFT_RUNTIME_MODEL.md,Heartbeat publication and remote drift posture,B1-05-004,implemented,src/server/sb_manager_main.cpp|src/network/sb_listener_main.cpp,appendManagerInspectionEntries(,Manager inspection rows and listener STATUS publication now expose bounded heartbeat drift and queue posture fields with deterministic zero/default values when no queued remote instruction is active
docs/specifications/26_Native_Wire_Protocol/LOCAL_IPC_LIBRARY_AND_NON_IP_CONNECTION_MODEL.md,Local non-IP transport families,B1-05-003,implemented,include/scratchbird/server/ipc_server.h|src/server/scratchbird_server.cpp,IPCMethod::UNIX_SOCKET,The local IPC library path remains a first-class non-IP transport family and is exercised by the direct local IPC session identity proof
docs/specifications/26_Native_Wire_Protocol/LOCAL_IPC_REQUEST_FRAMING_SESSION_LIFECYCLE_AND_NO_IP_GUARANTEE_MODEL.md,Local IPC request framing and no-IP session lifecycle,B1-05-003,implemented,src/ipc/ipc_server.cpp,IPCServer::acceptLoop(,The local IPC server now shuts down cleanly under the poll-based accept loop while preserving independent non-IP framing and session lifecycle behavior
docs/specifications/26_Native_Wire_Protocol/LOCAL_ONLY_IPC_STACK_SESSION_AND_ENDPOINT_IDENTITY_MODEL.md,Local session and endpoint identity preservation,B1-05-003,implemented,src/server/server_session.cpp|include/scratchbird/core/connection_context.h,setSessionContext(,Server sessions now publish local endpoint database and session identity variables directly through the connection context for local-only IPC deployments
docs/specifications/26_Native_Wire_Protocol/MCP_MANAGER_CONTROL_AND_DATABASE_BINDING_MODEL.md,Manager MCP verbs and database binding model,B1-05-004,implemented,src/server/sb_manager_main.cpp|src/network/control_plane.cpp,MCP_DB_CONNECT,Manager HELLO auth DB list DB info and DB connect flows are all code-backed with DBBT issuance LPREFACE validation and downstream proxy transition
docs/specifications/26_Native_Wire_Protocol/REMOTE_MANAGEMENT_STATUS_AND_CONTROL_PAYLOADS.md,Structured management status and control payload rows,B1-05-004,implemented,src/server/sb_manager_main.cpp|src/protocol/adapters/native_adapter.cpp,appendManagerInspectionEntries(,Structured bounded heartbeat readiness drift and queue posture keys now publish through manager STATUS_RESPONSE and engine status payload families without falling back to free-form manager text
docs/specifications/27_Native_Handshake/HANDSHAKE_MESSAGE_SCHEMAS.md,Current CONNECT and AUTH message schemas,B1-05-004,implemented,src/protocol/wire_protocol.cpp,buildAuthChallenge(,CONNECT AUTH challenge registry entry continuation and MCP control payload schemas all round-trip under the preserved wire protocol contract tests
docs/specifications/27_Native_Handshake/AUTH_NEGOTIATION_AND_POLICY.md,Negotiated auth methods registry slots and MFA continuation,B1-05-004,implemented,src/server/server_session.cpp,issue_mfa_challenge_if_required(,Auth registry negotiation manager token flow and MFA continuation policy are covered by the lane-B network-enabled proof bundle
docs/specifications/29_Listener_and_Server_Orchestration/ENGINE_ADMIN_LISTENER_CONTROL_AND_CONFIGURATION_PROPAGATION_MODEL.md,Engine-admin to listener control chain,B1-05-004,implemented,src/server/service_controller.cpp,sendListenerManagementCommand(,The service controller dispatches reload pool resize stop and restart commands into the listener management seam with fail-closed propagation behavior
docs/specifications/29_Listener_and_Server_Orchestration/LISTENER_MANAGEMENT_IPC_CHANNEL.md,Listener management command channel,B1-05-004,implemented,src/network/sb_listener_main.cpp|src/server/service_controller.cpp,buildManagementResponsePayload(,The listener management command channel now proves deterministic STATUS RELOAD STOP KILL DBBT_VALIDATE and LPREFACE_VALIDATE framing with Windows remaining explicitly fail-closed
docs/specifications/29_Listener_and_Server_Orchestration/PARSER_POOL_ASSIGNMENT_AND_SCALING.md,Listener parser-pool gating scaling and forced termination,B1-05-004,implemented,src/network/sb_listener_main.cpp,waitForWarm(,Warm-pool admission runtime resize and forced termination behavior are directly exercised by the listener bootstrap and management-channel proof bundle
docs/specifications/29_Listener_and_Server_Orchestration/FAILURE_RECOVERY_AND_FALLBACK.md,Listener fail-closed startup reload and platform boundaries,B1-05-004,implemented,src/network/sb_listener_main.cpp,waitForWarm(std::chrono::seconds(10)),Listener startup warmup failure reload refusal and restart fail-closed behavior are code-backed with Windows local management IPC remaining an explicit unsupported boundary
docs/specifications/32_Architecture_and_Component_Boundaries/THREADED_IPC_SERVER_AND_ENGINE_LIBRARY_BOUNDARY_MODEL.md,Threaded IPC server wrapping the engine library,B1-05-003,implemented,src/ipc/ipc_server.cpp,IPCServer::acceptLoop(,The threaded IPC server remains a transport wrapper around engine sessions and now shuts down cleanly without leaving a blocked accept thread behind
docs/specifications/32_Architecture_and_Component_Boundaries/ENGINE_LIBRARY_SERVER_PROCESS_AND_LAYERED_DEPLOYMENT_MODEL.md,Library-first service controller and layered deployment composition,B1-05-003,implemented,src/server/service_controller.cpp,manager_proxy.internal_native_port,ServiceController composes embedded direct local shared server and manager-proxy variants without collapsing the engine library and front-door layers
