engine,write_model,insert_path_speedups,update_delete_speedups,index_maintenance_speedups,reliability_and_publication_pattern,best_borrow_for_scratchbird,major_caution
PostgreSQL,"Heap plus MVCC tuple chains plus per-AM indexes","HOT page-local updates, BRIN range summarization, GIN pending-list bulk path","HOT pruning, bottom-up index deletion, visibility-map-aware cleanup","AM-specific exact/lossy rules, posting-list compression, deduplicating B-tree pages","WAL plus visibility metadata plus vacuum/pruning lifecycle","Suppress index churn when indexed values do not change; make index trust explicit by family","Do not make WAL or visibility-map semantics the platform truth for ScratchBird"
FirebirdSQL,"MGA record versions owned by central VIO layer","Exact record-version ownership keeps insert semantics simple and local","Backout, version chase, savepoint-aware undo, background garbage collection","Exact transactional index cleanup, duplicate checking, compressed jump-node B-tree, parallel index creation","Transaction and VIO ownership are the publication truth","Keep visibility, backout, and exact index cleanup under one owner","Avoid donor-style monolithic coupling as the only extensibility path"
MySQL,"Clustered primary storage plus secondary indexes plus undo/purge","Change buffer for cold non-unique secondary pages, optimistic insert paths","Undo plus purge remove obsolete versions and stale secondary entries when safe","Secondary-index delta buffering, optimistic/pessimistic B-tree operations, MRR/ICP on read side","Mini-transaction and redo discipline with background merge/purge","Cold-page secondary-index buffering and strict purge eligibility checks","Do not adopt redo or mini-transaction recovery as ScratchBird's architectural truth"
MariaDB,"InnoDB lineage with stronger upgrade and metadata-compatibility emphasis","Optimistic/pessimistic B-tree paths; historical change-buffer lessons","Purge eligibility checks, instant-format metadata handling, online-DDL rigor","Startup upgrade of old buffered state, instant page markers, defensive metadata transitions","Startup compatibility gate before enabling normal write traffic","Upgrade-time safety rules and instant-metadata discipline","MariaDB itself removed the change buffer, showing the long-term maintenance risk of over-complex deferral machinery"
MongoDB,"Collection scan plus external sort plus bulk-loaded index plus intercepted concurrent writes","Sorted bulk load into storage-engine index; concurrent writes continue","Side-write drain phases, deferred duplicate-key and skipped-record rechecks","Hybrid builds use side tables instead of random foreground index mutation","Two-phase commit, commit quorum, final X-lock publish","Shadow-build, side-write interception, staged drain, and publish","Do not copy oplog-specific or replica-set-specific mechanics literally"
Cassandra,"Commit log plus memtable plus immutable SSTable plus compaction","Append to commit log and memtable; per-disk flush writers","Tombstones and old versions retired during compaction","Storage-attached index lifecycle follows SSTable lifecycle","Immutable SSTable publication plus commit-log recovery","Immutable generation publish and storage-attached summary/index design","Do not replace ScratchBird lineage truth with LSM compaction truth"
ClickHouse,"Insert-created parts plus background part merges","Compact parts for small frequent inserts; sort once per part","Background merges and TTL actions retire or collapse older data","Sparse primary-key marks, granule skip logic, part-level secondary structures","Rename-and-replace part publication after build/merge","Immutable part publication and granule-level pruning metadata","MergeTree visibility semantics are not a transactional donor for ScratchBird"
DuckDB,"Appendable row groups plus checkpointed storage plus delta indexes during checkpoint","Append into row groups with tight locality","Delete batching by row-group vector with undo-buffer registration","Index checkpoint deltas merged back into main index after checkpoint","Checkpoint flag in WAL plus root-meta validation plus WAL replay fallback","Checkpoint-time delta merge and row-group-local batching","Do not import DuckDB's checkpoint/WAL model as ScratchBird's cluster-wide truth"
OpenSearch,"Lucene segment writer plus translog plus refresh and merge","Foreground writes hit Lucene writer while durability goes through translog","Soft deletes and version map keep updates visible without synchronous full cleanup","Background merges and flush-after-merge free transient disk and collapse segment debt","Atomic translog checkpoint file plus generation roll","Small atomic checkpoint metadata and explicit separation of durability from query visibility","Refresh semantics and shard translog rules are not direct transaction semantics"
Neo4j,"Transactional graph store plus native GBPTree indexes","Batched single-threaded writer mode for consecutive inserts","Index updates are collected per transaction and applied in combined jobs","WorkSync combines concurrent update streams; explicit add/change/remove index modes","Apply barrier is the combined index-update batch","Batch index-apply layer and dedicated batched-writer mode","Do not overfit property/label graph assumptions into a relational core"
Redis,"In-memory object store with adaptive encodings and optional AOF durability","Choose smallest encoding first: intset, listpack, dict, skiplist, compressed radix nodes","Lazy unlink and background free reduce foreground delete stalls","Encoding upgrades happen only when thresholds are crossed","AOF fsync and rewrite choose durability/latency point","Adaptive encoding thresholds and lazy reclamation","Single-threaded in-memory design is not a durable relational storage model"
Milvus,"Growing segments in write buffer, sealed segments for sync and index build","Buffer inserts into growing segments with per-segment metadata and bloom filters","Delete data is buffered and shipped with segment sync work","Policy-driven sealing, per-segment bloom filters, async sync packs","Growing-to-sealed publication and sync checkpoints","Generation-based publish for vector/index families","Segment lifecycle is useful for ANN families, not as the only base table model"
InfluxDB,"Buffered WAL files plus mutable table chunks plus snapshot/parquet persistence","Buffer writes, persist WAL quickly, flush larger parquet batches later","Chunk snapshotting moves mutable state out of hot path; schema has soft-delete states","Checkpoint and snapshot flow amortizes expensive storage writes","WAL persistence first, then snapshot/parquet/object-store promotion","Time-chunk batching and snapshot-before-parquet publication","Object-store-first durability is not a direct fit for ScratchBird primary storage"
