gap_id,mapped_ticket,exit_criteria_summary,required_evidence,gate_id,validation_status
G-001,HCN-020,No write commits without valid current fencing token,FENCING_WRITE_PATH_AUDIT.csv|STALE_LEADER_REJECTION_RESULTS.md,HCN-GATE-02,defined
G-002,HCN-020,Leader term transitions reject stale leaders,TERM_TRANSITION_TRACE.ndjson|STALE_LEADER_REJECTION_RESULTS.md,HCN-GATE-02,defined
G-003,HCN-010,Header includes cluster identity fields with compatibility,DB_HEADER_LAYOUT_DIFF.md|MIGRATION_COMPAT_MATRIX.csv,HCN-GATE-01,defined
G-004,HCN-011,Clock-dependent logic runs through injectable source,TIME_SOURCE_INTERFACE.md|DETERMINISTIC_TIME_TEST_RESULTS.md,HCN-GATE-01,defined
G-005,HCN-012,Direct flock removed from business logic paths,PLATFORM_LOCK_AUDIT.csv|LOCK_FAILURE_TEST_RESULTS.md,HCN-GATE-01,defined
G-006,HCN-022,Execution validates pinned epoch tuple deterministically,SESSION_EPOCH_MODEL.md|REPLAN_REJECT_TEST_RESULTS.md,HCN-GATE-02,defined
G-007,HCN-024,GTXID uniqueness and ordering guarantees enforced,GTXID_SCHEMA.md|TXN_ORDERING_TEST_RESULTS.md,HCN-GATE-02,defined
G-008,HCN-032,Snapshot registry and CWM publication consistent,SNAPSHOT_REGISTRY_SCHEMA.md|CROSS_SHARD_SNAPSHOT_TEST_RESULTS.md,HCN-GATE-03,defined
G-009,HCN-030,Committed transactions append durably and monotonically,SCL_RECORD_SCHEMA.md|SCL_APPEND_DURABILITY_RESULTS.md,HCN-GATE-03,defined
G-010,HCN-031,Follower apply is idempotent and replay-safe,FOLLOWER_APPLY_IDEMPOTENCE_RESULTS.md|REPLAY_REJECTION_MATRIX.csv,HCN-GATE-03,defined
G-011,HCN-033,GC never crosses safe horizon boundaries,GC_SAFE_HORIZON_FORMULA_AUDIT.csv|FOLLOWER_LAG_GC_GUARD_RESULTS.md,HCN-GATE-03,defined
G-012,HCN-034,Domain UUID/hash remain cluster-identical,DOMAIN_HASH_CONSISTENCY_MATRIX.csv|JOIN_REPAIR_MODE_TEST_RESULTS.md,HCN-GATE-03,defined
G-013,HCN-041,Required observability view families exist and are stable,SQL_VIEW_SCHEMA_AUDIT.csv|SYS_CLUSTER_METRICS_RESULTS.md,HCN-GATE-04,defined
G-014,HCN-060,Threat-model suites pass deterministic adversarial scenarios,SPLIT_BRAIN_SIM_RESULTS.md|FAILOVER_STABILITY_RESULTS.md,HCN-GATE-07,defined
G-015,HCN-042,healthz and readyz satisfy endpoint contract,HEALTH_ENDPOINT_TEST_RESULTS.md|READINESS_TRANSITION_AUDIT.csv,HCN-GATE-04,defined
G-016,HCN-040,Canonical sb_ metrics exported with compliant labels,METRIC_NAME_MAPPING.csv|PROMETHEUS_EXPORT_DIFF.md,HCN-GATE-04,defined
G-017,HCN-041,sys.metrics and sys.cluster.metrics schemas implemented,SQL_VIEW_SCHEMA_AUDIT.csv|SYS_METRICS_RUNTIME_RESULTS.md,HCN-GATE-04,defined
G-018,HCN-042,Readiness transitions are deterministic and audited,READINESS_TRANSITION_AUDIT.csv|HEALTH_READINESS_STATE_MODEL.md,HCN-GATE-04,defined
G-019,HCN-043,Event stream emits stable IDs with epoch context,EVENT_SCHEMA_REGISTRY.md|EPOCH_CONTEXT_EVENT_AUDIT.csv,HCN-GATE-04,defined
G-020,HCN-050,Explicit compile path works for in-scope routines,EXPLICIT_COMPILE_API_CONTRACT.md|ROUTINE_COMPILE_MATRIX.csv,HCN-GATE-05,defined
G-021,HCN-051,Runtime artifact selection and fallback reasons deterministic,ARTIFACT_KEY_MATCH_AUDIT.csv|FALLBACK_REASON_CODE_MATRIX.csv,HCN-GATE-05,defined
G-022,HCN-052|HCN-053,JIT stays opt-in and rebasing remains deterministic,HINT_SUPPRESSION_MATRIX.csv|TARGET_TRANSITION_AUDIT.csv,HCN-GATE-06,defined
