case,expected,implementation,status
PAGE_TYPE_BTREE_LEAF classified as index,accept,tests/unit/test_index_page_type_sibling_contract.cpp:CanonicalIndexPageTypesAreAccepted,pass
PAGE_TYPE_GIN_ENTRY classified as index,accept,tests/unit/test_index_page_type_sibling_contract.cpp:CanonicalIndexPageTypesAreAccepted,pass
PAGE_TYPE_COLUMNSTORE_SEGMENT classified as index,accept,tests/unit/test_index_page_type_sibling_contract.cpp:CanonicalIndexPageTypesAreAccepted,pass
PAGE_TYPE_HNSW_NODE classified as index,accept,tests/unit/test_index_page_type_sibling_contract.cpp:CanonicalIndexPageTypesAreAccepted,pass
PAGE_TYPE_HEAP classified as non-index,reject,tests/unit/test_index_page_type_sibling_contract.cpp:NonIndexPageTypesAreRejected,pass
PAGE_TYPE_DOC_DATA classified as non-index,reject,tests/unit/test_index_page_type_sibling_contract.cpp:NonIndexPageTypesAreRejected,pass
LEFTMOST flag with left_sibling=0 and right_sibling>0,accept,tests/unit/test_index_page_type_sibling_contract.cpp:SiblingContractAcceptsValidBoundaryPatterns,pass
RIGHTMOST flag with right_sibling=0 and left_sibling>0,accept,tests/unit/test_index_page_type_sibling_contract.cpp:SiblingContractAcceptsValidBoundaryPatterns,pass
ROOT + LEFTMOST + RIGHTMOST + zero siblings,accept,tests/unit/test_index_page_type_sibling_contract.cpp:SiblingContractAcceptsValidBoundaryPatterns,pass
RIGHTMOST flag with nonzero right_sibling,reject,tests/unit/test_index_page_type_sibling_contract.cpp:SiblingContractRejectsInvalidCombinations,pass
Missing LEFTMOST flag when left_sibling=0,reject,tests/unit/test_index_page_type_sibling_contract.cpp:SiblingContractRejectsInvalidCombinations,pass
ROOT without both boundary flags,reject,tests/unit/test_index_page_type_sibling_contract.cpp:SiblingContractRejectsInvalidCombinations,pass
