row_id,workstream,slice,task_id,title,owner,sprint,status,depends_on,parser_emitter_executor_touched_in_cycle,test_gate,evidence_artifact,report_issue_to_user
1,baseline-master,M1,BASE-001,Freeze environment corpus and result schema,agent-baseline,P6-S1/W1,done,,parser:no|emitter:no|executor:no,BASE-GATE-01,artifacts/baseline/master/p6s1w1/base-001-freeze.md,no
2,baseline-master,M2,BASE-002,Execute per-engine reproducible builds and startup checks,agent-baseline,P6-S1/W1,done,BASE-001,parser:no|emitter:no|executor:no,BASE-GATE-02,artifacts/baseline/master/p6s1w1/base-002-builds.md,no
3,baseline-master,M3,BASE-003,Run native engine test baselines and classify flakiness,agent-baseline,P6-S1/W2,done,BASE-002,parser:no|emitter:no|executor:no,BASE-GATE-03,artifacts/baseline/master/p6s1w2/base-003-native-tests.md,no
4,baseline-master,M4,BASE-004,Run scratchbird configuration matrix correctness and stress suites,agent-scratchbird,P6-S1/W2,done,BASE-001,parser:yes|emitter:yes|executor:yes,BASE-GATE-04,artifacts/baseline/master/p6s1w2/base-004-scratchbird-matrix.md,no
5,baseline-master,M5,BASE-005,Execute cross-engine comparison corpus and normalize outputs,agent-baseline,P6-S1/W3,done,BASE-003;BASE-004,parser:no|emitter:no|executor:no,BASE-GATE-05,artifacts/baseline/master/p6s1w3/base-005-compare.md,no
6,baseline-master,M6,BASE-006,Apply pass/fail gates and produce optimization backlog,agent-optimizer,P6-S1/W3,done,BASE-005,parser:yes|emitter:yes|executor:yes,BASE-GATE-06,artifacts/baseline/master/p6s1w3/base-006-gates-backlog.md,no
7,baseline-master,M7,BASE-007,Publish rerun cadence and guard workflows,agent-baseline,P6-S2/W1,done,BASE-006,parser:no|emitter:no|executor:no,BASE-GATE-07,artifacts/baseline/master/p6s2w1/base-007-rerun-policy.md,no
8,scratchbird,S1,SB-001,Build scratchbird configuration matrix profiles,agent-scratchbird,P6-S1/W1,done,BASE-001,parser:yes|emitter:yes|executor:yes,SB-GATE-01,artifacts/baseline/scratchbird/p6s1w1/sb-001-build-matrix.md,no
9,scratchbird,S2,SB-002,Run scratchbird core correctness suites by config,agent-scratchbird,P6-S1/W2,blocked,SB-001,parser:yes|emitter:yes|executor:yes,SB-GATE-02,artifacts/baseline/scratchbird/p6s1w2/sb-002-correctness.md,yes
10,scratchbird,S3,SB-003,Run scratchbird stress and resilience suites by config,agent-scratchbird,P6-S1/W2,blocked,SB-002,parser:no|emitter:no|executor:yes,SB-GATE-03,artifacts/baseline/scratchbird/p6s1w2/sb-003-stress.md,yes
11,scratchbird,S4,SB-004,Run scratchbird performance suites by config,agent-scratchbird,P6-S1/W3,blocked,SB-002,parser:no|emitter:no|executor:yes,SB-GATE-04,artifacts/baseline/scratchbird/p6s1w3/sb-004-performance.md,yes
12,scratchbird,S5,SB-005,Run scratchbird protocol adapter parity checks,agent-scratchbird,P6-S1/W3,blocked,SB-002,parser:yes|emitter:yes|executor:yes,SB-GATE-05,artifacts/baseline/scratchbird/p6s1w3/sb-005-protocol.md,yes
13,scratchbird,S6,SB-006,Export comparison-ready scratchbird result artifacts,agent-scratchbird,P6-S2/W1,blocked,SB-003;SB-004;SB-005,parser:no|emitter:no|executor:no,SB-GATE-06,artifacts/baseline/scratchbird/p6s2w1/sb-006-export.md,yes
14,duckdb,E1,ENG-DUCKDB-001,Build and startup baseline for duckdb,agent-duckdb,P6-S1/W1,blocked,BASE-001,parser:no|emitter:no|executor:no,ENG-DUCKDB-GATE-01,artifacts/baseline/duckdb/p6s1w1/eng-duckdb-001-build.md,yes
15,duckdb,E2,ENG-DUCKDB-002,Native test baseline for duckdb,agent-duckdb,P6-S1/W2,blocked,ENG-DUCKDB-001,parser:no|emitter:no|executor:no,ENG-DUCKDB-GATE-02,artifacts/baseline/duckdb/p6s1w2/eng-duckdb-002-tests.md,yes
16,duckdb,E3,ENG-DUCKDB-003,Comparison workload execution for duckdb,agent-duckdb,P6-S1/W3,blocked,ENG-DUCKDB-002;SB-006,parser:no|emitter:no|executor:no,ENG-DUCKDB-GATE-03,artifacts/baseline/duckdb/p6s1w3/eng-duckdb-003-compare.md,yes
17,duckdb,E4,ENG-DUCKDB-004,Performance baseline and report for duckdb,agent-duckdb,P6-S1/W3,blocked,ENG-DUCKDB-003,parser:no|emitter:no|executor:no,ENG-DUCKDB-GATE-04,artifacts/baseline/duckdb/p6s1w3/eng-duckdb-004-performance.md,yes
18,opensearch,E1,ENG-OPENSEARCH-001,Build and startup baseline for opensearch,agent-opensearch,P6-S1/W1,blocked,BASE-001,parser:no|emitter:no|executor:no,ENG-OPENSEARCH-GATE-01,artifacts/baseline/opensearch/p6s1w1/eng-opensearch-001-build.md,yes
19,opensearch,E2,ENG-OPENSEARCH-002,Native test baseline for opensearch,agent-opensearch,P6-S1/W2,blocked,ENG-OPENSEARCH-001,parser:no|emitter:no|executor:no,ENG-OPENSEARCH-GATE-02,artifacts/baseline/opensearch/p6s1w2/eng-opensearch-002-tests.md,yes
20,opensearch,E3,ENG-OPENSEARCH-003,Comparison workload execution for opensearch,agent-opensearch,P6-S1/W3,blocked,ENG-OPENSEARCH-002;SB-006,parser:no|emitter:no|executor:no,ENG-OPENSEARCH-GATE-03,artifacts/baseline/opensearch/p6s1w3/eng-opensearch-003-compare.md,yes
21,opensearch,E4,ENG-OPENSEARCH-004,Performance baseline and report for opensearch,agent-opensearch,P6-S1/W3,blocked,ENG-OPENSEARCH-003,parser:no|emitter:no|executor:no,ENG-OPENSEARCH-GATE-04,artifacts/baseline/opensearch/p6s1w3/eng-opensearch-004-performance.md,yes
22,clickhouse,E1,ENG-CLICKHOUSE-001,Build and startup baseline for clickhouse,agent-clickhouse,P6-S1/W1,blocked,BASE-001,parser:no|emitter:no|executor:no,ENG-CLICKHOUSE-GATE-01,artifacts/baseline/clickhouse/p6s1w1/eng-clickhouse-001-build.md,yes
