case_id,intent,scratchbird_engine_id,scratchbird_lane,scratchbird_mode,donor_engine_id,donor_lane,comparison_kind,comparison_note,competitive,weighted_score,semantics_ok,plan_ok,latency_ok,latency_ratio,reason
point_lookup_exact,Exact point lookup over an indexed integer key with one matching row.,scratchbird_native,native,native,ref_postgresql,postgresql,native_intent,ScratchBird native uses v3 SQL that preserves the same exact-point-lookup intent as the donor dialect statements.,False,0.3,False,True,False,20.772727,assertion mismatch lhs=['ASSERT|point_lookup_exact|count=0|payload=NULL'] rhs=['ASSERT|point_lookup_exact|count=1|payload=p073']
point_lookup_exact,Exact point lookup over an indexed integer key with one matching row.,scratchbird_emulated_postgresql,postgresql,emulated,ref_postgresql,postgresql,emulation_parity,ScratchBird emulation parser/listener is compared directly against the matching donor dialect.,False,0.3,False,True,False,4.045455,exec status mismatch sb=error donor=ok
point_lookup_exact,Exact point lookup over an indexed integer key with one matching row.,scratchbird_native,native,native,ref_duckdb,duckdb,native_intent,ScratchBird native uses v3 SQL that preserves the same exact-point-lookup intent as the donor dialect statements.,False,0.3,False,True,False,25.388889,exec status mismatch sb=ok donor=error
point_lookup_exact,Exact point lookup over an indexed integer key with one matching row.,scratchbird_native,native,native,ref_mysql,mysql,native_intent,ScratchBird native uses v3 SQL that preserves the same exact-point-lookup intent as the donor dialect statements.,False,0.3,False,True,False,8.462963,assertion mismatch lhs=['ASSERT|point_lookup_exact|count=0|payload=NULL'] rhs=['ASSERT|point_lookup_exact|count=1|payload=p073']
point_lookup_exact,Exact point lookup over an indexed integer key with one matching row.,scratchbird_emulated_mysql,mysql,emulated,ref_mysql,mysql,emulation_parity,ScratchBird emulation parser/listener is compared directly against the matching donor dialect.,False,0.8,True,True,False,2.648148,
point_lookup_exact,Exact point lookup over an indexed integer key with one matching row.,scratchbird_native,native,native,ref_firebird,firebird,native_intent,ScratchBird native uses v3 SQL that preserves the same exact-point-lookup intent as the donor dialect statements.,False,0.3,False,True,False,4.760417,assertion mismatch lhs=['ASSERT|point_lookup_exact|count=0|payload=NULL'] rhs=['ASSERT|point_lookup_exact|count=1|payload=p073']
point_lookup_exact,Exact point lookup over an indexed integer key with one matching row.,scratchbird_emulated_firebird,firebird,emulated,ref_firebird,firebird,emulation_parity,ScratchBird emulation parser/listener is compared directly against the matching donor dialect.,False,0.3,False,True,False,3.427083,exec status mismatch sb=error donor=ok
range_selectivity,Indexed inclusive range predicate over an integer key with stable aggregate assertions.,scratchbird_native,native,native,ref_postgresql,postgresql,native_intent,ScratchBird native uses v3 SQL with the same range predicate and aggregate intent as the donor dialect statements.,False,0.3,False,True,False,17.851852,assertion mismatch lhs=['ASSERT|range_selectivity|count=0|sum_id=0'] rhs=['ASSERT|range_selectivity|count=11|sum_id=110']
range_selectivity,Indexed inclusive range predicate over an integer key with stable aggregate assertions.,scratchbird_emulated_postgresql,postgresql,emulated,ref_postgresql,postgresql,emulation_parity,ScratchBird emulation parser/listener is compared directly against the matching donor dialect.,False,0.3,False,True,False,3.111111,exec status mismatch sb=error donor=ok
range_selectivity,Indexed inclusive range predicate over an integer key with stable aggregate assertions.,scratchbird_native,native,native,ref_duckdb,duckdb,native_intent,ScratchBird native uses v3 SQL with the same range predicate and aggregate intent as the donor dialect statements.,False,0.3,False,True,False,25.368421,exec status mismatch sb=ok donor=error
range_selectivity,Indexed inclusive range predicate over an integer key with stable aggregate assertions.,scratchbird_native,native,native,ref_mysql,mysql,native_intent,ScratchBird native uses v3 SQL with the same range predicate and aggregate intent as the donor dialect statements.,False,0.3,False,True,False,8.033333,assertion mismatch lhs=['ASSERT|range_selectivity|count=0|sum_id=0'] rhs=['ASSERT|range_selectivity|count=11|sum_id=110']
range_selectivity,Indexed inclusive range predicate over an integer key with stable aggregate assertions.,scratchbird_emulated_mysql,mysql,emulated,ref_mysql,mysql,emulation_parity,ScratchBird emulation parser/listener is compared directly against the matching donor dialect.,False,0.8,True,True,False,2.866667,
range_selectivity,Indexed inclusive range predicate over an integer key with stable aggregate assertions.,scratchbird_native,native,native,ref_firebird,firebird,native_intent,ScratchBird native uses v3 SQL with the same range predicate and aggregate intent as the donor dialect statements.,False,0.3,False,True,False,4.868687,assertion mismatch lhs=['ASSERT|range_selectivity|count=0|sum_id=0'] rhs=['ASSERT|range_selectivity|count=11|sum_id=110']
range_selectivity,Indexed inclusive range predicate over an integer key with stable aggregate assertions.,scratchbird_emulated_firebird,firebird,emulated,ref_firebird,firebird,emulation_parity,ScratchBird emulation parser/listener is compared directly against the matching donor dialect.,False,0.3,False,True,False,3.676768,exec status mismatch sb=error donor=ok
ordered_limit_topk,Ordered top-k retrieval over an indexed sort key with deterministic limit output.,scratchbird_native,native,native,ref_postgresql,postgresql,native_intent,ScratchBird native uses v3 ORDER BY and LIMIT syntax chosen to preserve the same top-k intent as the donor dialect statements.,False,0.35,False,True,False,20.4,"assertion mismatch lhs=[] rhs=['ASSERT|ordered_limit_topk|id=3|k=10', 'ASSERT|ordered_limit_topk|id=5|k=10', 'ASSERT|ordered_limit_topk|id=8|k=10', 'ASSERT|ordered_limit_topk|id=4|k=20']"
ordered_limit_topk,Ordered top-k retrieval over an indexed sort key with deterministic limit output.,scratchbird_emulated_postgresql,postgresql,emulated,ref_postgresql,postgresql,emulation_parity,ScratchBird emulation parser/listener is compared directly against the matching donor dialect.,False,0.8,True,True,False,7.12,
ordered_limit_topk,Ordered top-k retrieval over an indexed sort key with deterministic limit output.,scratchbird_native,native,native,ref_duckdb,duckdb,native_intent,ScratchBird native uses v3 ORDER BY and LIMIT syntax chosen to preserve the same top-k intent as the donor dialect statements.,False,0.35,False,True,False,31.875,exec status mismatch sb=ok donor=error
ordered_limit_topk,Ordered top-k retrieval over an indexed sort key with deterministic limit output.,scratchbird_native,native,native,ref_mysql,mysql,native_intent,ScratchBird native uses v3 ORDER BY and LIMIT syntax chosen to preserve the same top-k intent as the donor dialect statements.,False,0.35,False,True,False,9.107143,"assertion mismatch lhs=[] rhs=['ASSERT|ordered_limit_topk|id=3|k=10', 'ASSERT|ordered_limit_topk|id=5|k=10', 'ASSERT|ordered_limit_topk|id=8|k=10', 'ASSERT|ordered_limit_topk|id=4|k=20']"
ordered_limit_topk,Ordered top-k retrieval over an indexed sort key with deterministic limit output.,scratchbird_emulated_mysql,mysql,emulated,ref_mysql,mysql,emulation_parity,ScratchBird emulation parser/listener is compared directly against the matching donor dialect.,False,0.8,True,True,False,4.25,
ordered_limit_topk,Ordered top-k retrieval over an indexed sort key with deterministic limit output.,scratchbird_native,native,native,ref_firebird,firebird,native_intent,ScratchBird native uses v3 ORDER BY and LIMIT syntax chosen to preserve the same top-k intent as the donor dialect statements.,False,0.35,False,True,False,5.368421,"assertion mismatch lhs=[] rhs=['ASSERT|ordered_limit_topk|id=3|k=10', 'ASSERT|ordered_limit_topk|id=5|k=10', 'ASSERT|ordered_limit_topk|id=8|k=10', 'ASSERT|ordered_limit_topk|id=4|k=20']"
ordered_limit_topk,Ordered top-k retrieval over an indexed sort key with deterministic limit output.,scratchbird_emulated_firebird,firebird,emulated,ref_firebird,firebird,emulation_parity,ScratchBird emulation parser/listener is compared directly against the matching donor dialect.,False,0.35,False,True,False,4.663158,exec status mismatch sb=error donor=ok
merge_join_presorted,Equality join over indexed join keys with ordered output intended to exercise merge-capable planning.,scratchbird_native,native,native,ref_postgresql,postgresql,native_intent,ScratchBird native uses v3 join syntax with the same equality-join and ordered-output intent as the donor dialect statements.,False,0.35,False,True,False,24.346154,"assertion mismatch lhs=[] rhs=['ASSERT|merge_join_presorted|k=10|a=m10a|b=m10b', 'ASSERT|merge_join_presorted|k=20|a=m20a|b=m20b', 'ASSERT|merge_join_presorted|k=30|a=m30a|b=m30b']"
merge_join_presorted,Equality join over indexed join keys with ordered output intended to exercise merge-capable planning.,scratchbird_emulated_postgresql,postgresql,emulated,ref_postgresql,postgresql,emulation_parity,ScratchBird emulation parser/listener is compared directly against the matching donor dialect.,False,0.8,True,True,False,11.807692,
merge_join_presorted,Equality join over indexed join keys with ordered output intended to exercise merge-capable planning.,scratchbird_native,native,native,ref_duckdb,duckdb,native_intent,ScratchBird native uses v3 join syntax with the same equality-join and ordered-output intent as the donor dialect statements.,False,0.35,False,True,False,42.2,exec status mismatch sb=ok donor=error
merge_join_presorted,Equality join over indexed join keys with ordered output intended to exercise merge-capable planning.,scratchbird_native,native,native,ref_mysql,mysql,native_intent,ScratchBird native uses v3 join syntax with the same equality-join and ordered-output intent as the donor dialect statements.,False,0.35,False,True,False,10.55,"assertion mismatch lhs=[] rhs=['ASSERT|merge_join_presorted|k=10|a=m10a|b=m10b', 'ASSERT|merge_join_presorted|k=20|a=m20a|b=m20b', 'ASSERT|merge_join_presorted|k=30|a=m30a|b=m30b']"
merge_join_presorted,Equality join over indexed join keys with ordered output intended to exercise merge-capable planning.,scratchbird_emulated_mysql,mysql,emulated,ref_mysql,mysql,emulation_parity,ScratchBird emulation parser/listener is compared directly against the matching donor dialect.,False,0.8,True,True,False,7.033333,
merge_join_presorted,Equality join over indexed join keys with ordered output intended to exercise merge-capable planning.,scratchbird_native,native,native,ref_firebird,firebird,native_intent,ScratchBird native uses v3 join syntax with the same equality-join and ordered-output intent as the donor dialect statements.,False,0.35,False,True,False,6.956044,"assertion mismatch lhs=[] rhs=['ASSERT|merge_join_presorted|k=10|a=m10a|b=m10b', 'ASSERT|merge_join_presorted|k=20|a=m20a|b=m20b', 'ASSERT|merge_join_presorted|k=30|a=m30a|b=m30b']"
merge_join_presorted,Equality join over indexed join keys with ordered output intended to exercise merge-capable planning.,scratchbird_emulated_firebird,firebird,emulated,ref_firebird,firebird,emulation_parity,ScratchBird emulation parser/listener is compared directly against the matching donor dialect.,False,0.35,False,True,False,5.659341,exec status mismatch sb=error donor=ok
expression_lookup,Expression-index-backed equality lookup on LOWER(name) with deterministic ordered output.,scratchbird_native,native,native,ref_postgresql,postgresql,native_intent,ScratchBird native uses v3 syntax that preserves the same expression-lookup intent as the donor dialect statements.,False,0.8,True,True,False,24.095238,
expression_lookup,Expression-index-backed equality lookup on LOWER(name) with deterministic ordered output.,scratchbird_emulated_postgresql,postgresql,emulated,ref_postgresql,postgresql,emulation_parity,ScratchBird emulation parser/listener is compared directly against the matching donor dialect.,False,0.8,True,True,False,8.380952,
expression_lookup,Expression-index-backed equality lookup on LOWER(name) with deterministic ordered output.,scratchbird_native,native,native,ref_duckdb,duckdb,native_intent,ScratchBird native uses v3 syntax that preserves the same expression-lookup intent as the donor dialect statements.,False,0.3,False,True,False,38.923077,exec status mismatch sb=ok donor=error
expression_lookup,Expression-index-backed equality lookup on LOWER(name) with deterministic ordered output.,scratchbird_native,native,native,ref_mysql,mysql,native_intent,ScratchBird native uses v3 syntax that preserves the same expression-lookup intent as the donor dialect statements.,False,0.8,True,True,False,10.541667,
