ticket,title,status,depends_on,primary_evidence
PP-10-001,Scope target freeze and benchmark discipline bootstrap,active,-,"package README|target trackers|gap register"
PP-10-002,Reproducible benchmark runner and binary pinning closure,queued,PP-10-001,"pinned binary artifact root|runner metadata|comparison guard"
PP-10-003,Ordinary multi-row insert and client-batched VALUES bulk reuse,active,"PP-10-001|PP-10-002","load improvement evidence|bulk insert handle reuse|write-path proofs"
PP-10-004,INSERT SELECT producer and sink fusion,active,PP-10-003,"bulk_insert_select improvement|lane evidence|producer sink batch handoff"
PP-10-005,Heap multi-insert page reservation and filespace preallocation,active,PP-10-003,"table load improvements|preallocation evidence|heap multi-insert proofs"
PP-10-006,HOT-like update and unchanged-key DML elision,active,"PP-10-001|PP-10-002","bulk_update_with_case recovery|unchanged-key proofs|cheap modify path"
PP-10-007,Exact-secondary maintenance batching and deferred merge,active,"PP-10-003|PP-10-004|PP-10-005|PP-10-006","batched maintenance evidence|cleanup debt evidence|maintained-write proofs"
PP-10-008,Prepared-query fast-path bundles plan reuse and result-cache coordination,completed,"PP-10-001|PP-10-002","prepared bundle hit or miss evidence|plan cache hit evidence|result cache coordination|prepared DML proofs"
PP-10-009,Ordered-exact secondary-read locality ICP MRR and index-only,completed,"PP-10-001|PP-10-002","secondary-read path proofs|ordered semantics evidence|index-only visibility proofs|explicit fallback evidence"
PP-10-010,Indexed-join parity with BKA memoize runtime filters and adaptive build-side,active,"PP-10-008|PP-10-009","join runtime-plan proofs|specialized join benchmark gains|refusal bundle evidence"
PP-10-011,Structured-key hash spill and low-churn sort closure,completed,"PP-10-001|PP-10-002","spill and workfile proofs|structured-key runtime proofs|sort churn reduction"
PP-10-012,Incremental sort aggregate distinct and window specialization vectorization,active,"PP-10-010|PP-10-011","incremental sort proofs|vectorized upper-stage proofs|window partition evidence"
PP-10-013,Intra-query parallel execution worker grants and locality binding,active,"PP-10-009|PP-10-010|PP-10-011|PP-10-012","parallel runtime proofs|grant evidence|locality binding evidence"
PP-10-014,Final parity reruns residual waiver review and closeout,queued,"PP-10-002|PP-10-007|PP-10-008|PP-10-009|PP-10-010|PP-10-011|PP-10-012|PP-10-013","final clean rerun artifacts|all tracker rows met or waived|package 08 handoff"
