phase_id,phase_name,required_gate_sets,depends_on,blocks_if_failing,exit_criteria
PH0,Baseline Parser/Engine/Wire Readiness,"T23-A..T23-J|T26-A..T26-G|T28-A..T28-L|T25 required tests|T31-G1..T31-G9",none,all later phases,all baseline suites pass with required evidence
PH1,P1 Distributed Read and Telemetry + Operational Readiness,"T23-K|T25-P1-*|T25-CLOCK-*|T25-SLO-*|T26-H|T28-M|T31-G10-01..03|T31-G12-01..07",PH0,PH2,all P1 suites and game-day runbooks pass with replayable evidence
PH2,P2 Cost-Aware Scheduling and Stability,"T23-L|T25-P2-*|T28-N|T31-G10-04..06",PH1,optimization-track release approval,all P2 suites pass with replayable evidence

dependency_id,upstream_gate,downstream_gate,dependency_type,blocking_rule,evidence_requirement
D-001,T28-L,T23-A..T23-J,parser-to-engine normalization,fail in parser normalization blocks engine plan/cache validation,parser SBLR artifacts with normalization hash evidence
D-002,T23-A..T23-J,T26-A..T26-G,engine-to-wire result and error conformance,fail in engine result semantics blocks wire conformance signoff,engine result-shape and error mapping evidence
D-003,T26-A..T26-G,T31-G3,protocol integration,wire conformance failure blocks orchestration gates,frame and message transcript bundle
D-004,T23-K,T31-G10-01,P1 distributed-read correctness,any T23-K fail blocks GP1-A pass,distributed-read execution traces
D-005,T25-P1-*,T31-G10-01,runtime consistency and repair,any runtime P1 fail blocks GP1-A pass,cluster routing and repair evidence
D-006,T26-H,T31-G10-02..03,wire telemetry and event transport,any wire P1 fail blocks GP1-B and GP1-C,telemetry and event frame replay logs
D-007,T28-M,T31-G10-03,parser telemetry security,parser P1 telemetry or redaction fail blocks GP1-C,parser redaction trace and role-visibility evidence
D-008,T31-G10-01..03,PH2 start,phase barrier,any GP1 failure blocks all GP2 execution,GP1 gate summary bundle
D-009,T23-L,T31-G10-04,deterministic plan choice,any tie-break determinism failure blocks GP2-A,repeated-run deterministic selection evidence
D-010,T25-P2-*,T31-G10-05..06,runtime scheduler safety,runtime P2 safety fail blocks GP2-B and GP2-C,placement rebalance rollback evidence
D-011,T28-N,T31-G10-04,parser hint stability,parser P2 hint instability blocks GP2-A,canonical hint translation and shape-key evidence
D-012,T19-PKI-*,T31-G12-01,PKI lifecycle correctness,any PKI lifecycle failure blocks PKI game-day pass,cert rotation revocation anchor-rollover evidence
D-013,T25-CLOCK-*,T31-G12-02,clock policy correctness,any clock policy failure blocks clock game-day pass,clock state transition and fence evidence
D-014,T25-SLO-*,T31-G12-05,SLO and autoscale policy correctness,any SLO policy failure blocks overload game-day pass,burn-rate tuning autoscale action evidence

trigger_id,trigger_condition,required_rerun_scope
R-001,capability profile version change,"T28-A..N then dependent T23-* then T31-G10"
R-002,formula or scheduler policy version change,"T23-J..L and T25-P2-* and T31-G10-04..06"
R-003,distributed read or repair policy version change,"T23-K and T25-P1-* and T26-H and T28-M and T31-G10-01..03"
R-004,wire message schema or version change,"T26-A..H and T31-G3 and T31-G10"
R-005,telemetry or redaction policy change,"T26-H and T28-M and T31-G10-03"
R-006,PKI policy certificate or trust-anchor change,"T19-PKI-* and T31-G12-01"
R-007,clock policy or source topology change,"T25-CLOCK-* and T31-G12-02"
R-008,SLO autoscale or admission-tuning policy change,"T25-SLO-* and T31-G12-05"
