case_id,identity_scope,rule,expected_result,error_code
UID-001,database_uuid,generated_once_at_db_create_and_immutable,enforced,NONE
UID-002,catalog_table_uuid,generated_per_database_and_unique,enforced,NONE
UID-003,row_uuid,assigned_on_insert_and_stable_across_versions,enforced,NONE
UID-004,system_domain_uuid,fixed_registry_uuid_must_match,enforced,NONE
UID-005,user_domain_uuid_workgroup,assigned_by_workgroup_master_and_shared,enforced,NONE
UID-006,user_domain_uuid_cluster,assigned_by_consensus_and_shared,enforced,NONE
UID-007,row_uuid_surface,uuid_pk_column_surfaces_row_uuid_without_duplicate_storage,enforced,NONE
UID-008,database_uuid_mutation_attempt,immutable_violation,reject,INVALID_UUID_MAPPING
UID-009,row_uuid_reassignment_attempt,stability_violation,reject,INVALID_UUID_MAPPING
UID-010,system_domain_uuid_mismatch,fixed_uuid_violation,reject,INVALID_UUID_MAPPING
