bucket_id,scope,donor_engines,scratchbird_evidence,donor_evidence,required_change,sblr_impact,priority,notes
DESUGAR_ONLY_NATIVE_REFUSALS,native_parser_alias_and_prefix_coverage,"Apache Ignite, Cassandra, MySQL, MariaDB, Vitess, TiDB, PostgreSQL","parser_v3.cpp hard-refuses APPLY, CREATE MATERIALIZED VIEW prefix, REPLACE INTO, INSERT IGNORE, ON DUPLICATE KEY UPDATE","Ignite APPLY; Cassandra materialized view; MySQL-family insert aliases; PostgreSQL materialized view prefix","Replace PRS_0505 hard-refusals with canonical lowering into existing AST nodes","No new opcode required if lowering lands in existing nodes","P0","This is the cheapest work and removes the most visible native-v3 incompatibilities."
SELECT_QUALIFY,select_post_window_filter,"Apache Ignite, ClickHouse, DuckDB, MySQL, Vitess","SelectStmt in ast_v3.h:3581-3635 has no qualify field","Ignite QUALIFY; ClickHouse QUALIFY; DuckDB QUALIFY; MySQL QUALIFY; Vitess QUALIFY","Add SelectStmt.qualify plus parser and pretty-printer support","Generic boolean expression only; no new executor opcode needed","P0","QUALIFY is a shared select-stage gap across multiple SQL donors."
TABLE_JSON_TABLE,table_function_with_column_projection,"PostgreSQL, MySQL, MariaDB, Vitess","TableRefNode supports TABLE, SUBQUERY, FUNCTION, JOIN only","PostgreSQL JSON_TABLE; MySQL JSON_TABLE; MariaDB JSON_TABLE; Vitess JSON_TABLE","Add a table-source carrier for JSON_TABLE path expression, column definitions, ON EMPTY/ON ERROR, and aliasing","Needs executor/table-source contract for JSON_TABLE expansion","P0","JSON_TABLE is present across both PostgreSQL-family and MySQL-family donors."
TABLE_PIVOT_UNPIVOT,table_shape_transform,"Apache Ignite, DuckDB","parser_v3.cpp:10663-10665 explicitly refuses PIVOT/UNPIVOT and ast_v3.h has no pivot node","Ignite PIVOT/UNPIVOT; DuckDB PIVOT/UNPIVOT","Add pivot and unpivot table-source structures and native parser support","Needs lowering contract from pivot model into SBLR relational plan","P0","User explicitly called out PIVOT/UNPIVOT as a no-longer-acceptable hard refusal."
TABLE_MATCH_RECOGNIZE,row_pattern_table_source,"Apache Ignite","No current MATCH_RECOGNIZE token or AST carrier","Ignite MATCH_RECOGNIZE","Add row-pattern clause structure and attach it to table-source or select pipeline","Needs new executor/planner representation for row-pattern recognition","P1","Single-donor today, but structurally isolated."
TABLE_ROWS_FROM_MULTI_FUNCTION,multi_function_table_source,"PostgreSQL and inherited Citus/YugabyteDB","Current TableRefNode can carry one function source only","PostgreSQL ROWS FROM (...)","Add rows_from vector plus per-function column-definition and ordinality handling","Needs executor support for multi-table-function source assembly","P1","Do not include DuckDB in this bucket until donor transform stops rejecting ROWS FROM."
TABLE_TEMPORAL_AS_OF_VALID_SYSTEM,temporal_table_or_statement_ornaments,"CockroachDB, Dolt, TiDB, XTDB","No AS OF / VALID_TIME / SYSTEM_TIME fields in ast_v3.h or parser_v3.cpp","Cockroach AS OF SYSTEM TIME; Dolt AS OF; TiDB AS OF TIMESTAMP; XTDB FOR VALID_TIME and FOR SYSTEM_TIME","Add temporal clause model reusable on table refs, calls, and statement scopes","Needs SBLR or planner payload for time-slice resolution","P0","This is the main shared temporal gap outside PostgreSQL SEARCH/CYCLE."
TABLE_CLICKHOUSE_SELECT_MODIFIERS,clickhouse_query_pipeline_ornaments,"ClickHouse","No PREWHERE, ARRAY JOIN, LIMIT BY, FINAL, or query SETTINGS fields in current select AST","ClickHouse PREWHERE, ARRAY JOIN, LIMIT BY, FINAL, SETTINGS","Add ClickHouse-specific select modifier carrier or a generalized query modifier block","Needs planner and executor to preserve modifier order and semantics","P1","TableSampleMethod is not sufficient for ClickHouse table modifiers."
FUNC_VARIADIC_AND_NAMED_ARGS,function_argument_modes,"PostgreSQL and inherited Citus/YugabyteDB; DuckDB","FunctionCallExpr.arguments is positional-only and there is no arg-mode or arg-name metadata","PostgreSQL VARIADIC and named args; DuckDB variadic grammar","Replace raw Expression* argument list with structured argument items carrying mode and optional name","Generic function-call payload must preserve mode and name","P1","Required for full PostgreSQL call syntax and ordered-set direct-arg modeling."
FUNC_ORDERED_SET_WITHIN_GROUP,ordered_set_and_inverse_distribution_aggregates,"PostgreSQL, FirebirdSQL, MariaDB, DuckDB, Apache Ignite","FunctionCallExpr has aggregate order_by but no WITHIN GROUP marker or direct-arg split","PostgreSQL WITHIN GROUP; Firebird WITHIN GROUP; MariaDB percentile WITHIN GROUP; DuckDB WITHIN GROUP; Ignite WITHIN GROUP decision logic","Add ordered-set aggregate metadata with direct_args plus within_group sort list","Needs new aggregate lowering payload to preserve ordered-set semantics","P1","Current aggregate order_by is not enough for ordered-set aggregates."
WINDOW_EXTRA_FUNCTION_IDENTITY,generic_window_function_preservation,"PostgreSQL, FirebirdSQL, MySQL, MariaDB, TiDB, Vitess","v3_emitter.cpp:5955-5958 collapses unknown window functions to SBLR3_WIN_ROW_NUMBER","PostgreSQL ntile/cume_dist/percent_rank; Firebird CUME_DIST/PERCENT_RANK/NTILE; MySQL-family same","Replace whitelist-only window opcode selection with generic window-call identity payload or broadened opcode table","Yes: emitter/runtime must stop erasing function identity","P0","This is the main correctness blocker for several donor window functions."
WINDOW_NULL_TREATMENT_AND_NTH_DIRECTION,window_function_modifiers,"MySQL, TiDB, Vitess, FirebirdSQL","No null-treatment or nth-direction fields in FunctionCallExpr or WindowSpec","MySQL IGNORE NULLS and FROM FIRST/LAST; TiDB OptNullTreatment and OptFromFirstLast; Vitess same; Firebird FROM FIRST/LAST","Add null_treatment and nth_value_direction metadata to window function calls","Yes: runtime and planner must receive modifier semantics","P1","PostgreSQL does not need this bucket because donor source explicitly rejects null-treatment on these functions."
COMMAND_EXPOSURE_EXISTING_MULTI_MODEL,canonical_parser_entry_points_for_existing_opcodes,"Cassandra, MongoDB, Neo4j, Redis PubSub, Milvus","v3_emitter.cpp already has nosql.cql.*, nosql.mongo.*, nosql.cypher.*, nosql.redis.pubsub, nosql.milvus.* but parser_v3.cpp rejects or hides them","Cassandra batch/ttl/writetime; Mongo find/aggregate/findAndModify/bulkWrite; Neo4j match/merge/unwind/call; Redis PubSub; Milvus core commands","Expose canonical parser surfaces or direct AST builders for the already-existing key-text and opcode paths","No new opcode required for the existing covered operations","P0","This is exposure work, not new runtime design."
COMMAND_ENVELOPE_NEW_MULTI_MODEL,new_multi_model_request_families,"FoundationDB, MongoDB, Neo4j, OpenSearch, Redis transactions, Milvus HybridSearch","No current canonical envelope or opcode set for these families","FoundationDB fdbcli commands; Mongo count/distinct/createIndexes/listCollections; Neo4j FOREACH/USE; OpenSearch bulk/msearch/index-admin; Redis MULTI/EXEC/WATCH/UNWATCH; Milvus HybridSearch","Add new canonical command envelopes and new executor/opcode coverage","Yes: new opcodes or equivalent runtime dispatch are required","P1","These are true missing command families, not parser exposure-only work."
DDL_KEYSPACE_PLACEMENT_RANGE_POLICY,distribution_and_policy_ddl,"Cassandra, CockroachDB, TiDB, YugabyteDB","Current CreateTableStmt/CreateDatabaseStmt lack generic policy or distribution option bags","Cassandra KEYSPACE; Cockroach LOCALITY/PLACEMENT/ALTER RANGE; TiDB PLACEMENT POLICY and split-region surfaces; Yugabyte TABLEGROUP/TABLETS/COLOCATION/HASH","Add reusable policy/distribution metadata blocks for database and table DDL plus admin statement nodes","No direct SBLR opcode if lowered into existing DDL op framework; executor metadata must expand","P1","One reusable DDL-policy design can cover several donor families."
