spec_path,spec_element,ticket,implementation_status,implementation_path,unique_search_key,notes
docs/specifications/19_Security_Model/AUTH_PLUGIN_ADMISSION_HBA_AND_RUNTIME_AUTH_COORDINATION_MODEL.md,HBA auth-manager coordination and signed plugin admission,B1-06-003,implemented,src/security/auth_manager.cpp|src/security/auth_plugin_manager.cpp,registerBuiltinPhase1Plugins(,Signed builtin plugin admission remains code-backed and the bounded Beta 1 runtime now keeps non-admitted enterprise method families fail-closed
docs/specifications/19_Security_Model/AUTH_PLUGIN_METHOD_SPECIFICATIONS.md,Bounded Beta 1 admitted auth families and fail-closed refusal,B1-06-003,implemented,src/core/auth_provider.cpp|src/security/auth_plugin_manager.cpp,LocalAuthProvider::authenticate(,Beta 1 support is bounded to local password compatibility SCRAM token authkey peer certificate and manager-control token flows while ldap kerberos and oidc plugin payload methods fail closed
docs/specifications/19_Security_Model/AUTH_PROVIDER_CHAIN_AND_MFA_POLICY_RUNTIME_MODEL.md,Provider-chain policy MFA and lockout runtime,B1-06-003,implemented,src/core/catalog_manager.cpp|src/server/server_session.cpp,evaluateAuthProviderRuntime(,Auth policy lockout MFA catalog rows runtime decisions and admitted-method negotiation are code-backed for the bounded local-engine families
docs/specifications/19_Security_Model/CLOUD_SECRET_CERT_ROTATION_AND_SIGNED_ARTIFACT_DELIVERY_MODEL.md,Single-node secret cert reload and explicit key rotation boundary,B1-06-003,implemented,src/security/tls_context.cpp|src/core/encryption_key_manager.cpp,reloadCertificates(,Current Beta 1 refresh set is code-backed as TLSContext-driven certificate reload plus explicit database-key rotation and the reload path now refreshes cached operator-facing certificate metadata while cluster rollout stays excluded
docs/specifications/24_Catalog_Model_and_Virtual_Overlays/IDENTITY_AUTH_PROVIDER_AND_MFA_SECURITY_CATALOG_MODEL.md,Identity auth-provider policy and MFA catalog families,B1-06-003,implemented,src/core/catalog_manager.cpp,upsertAuthPolicyCatalogEntry(,Current catalog rows already back local principal resolution auth-provider policy chains MFA policy MFA enrollment and recovery-code state
docs/specifications/19_Security_Model/USER_ROLE_GROUP_AND_SHARED_RIGHTS_AUTHORIZATION_MODEL.md,Local principal graph and authorization epoch enforcement,B1-06-003,implemented,src/core/catalog_manager.cpp|src/core/permission_cache.cpp,PermissionCache::checkPermission(,Package 06 now closes local user role group membership identity-account resolution and epoch-aware permission-cache behavior while cluster-shared rights remain excluded
docs/specifications/19_Security_Model/ROW_COLUMN_DOMAIN_MASKING_AND_SANDBOX_SECURITY_MODEL.md,Masking row column domain and sandbox runtime substrate,B1-06-003,implemented,src/core/data_masking.cpp|src/core/domain_manager.cpp|src/security/view_security.cpp,DataMasking::applyMasking(,Masking primitives domain security hooks and fail-closed view-security sandbox checks are code-backed for the bounded Beta 1 surface
docs/specifications/19_Security_Model/AUDIT_AND_FORENSIC_ACCESS_POLICY.md,Security audit evidence and privileged forensic boundary,B1-06-004,implemented,src/core/audit_logger.cpp|src/core/secure_diagnostics.cpp,createPermissionDeniedEvent(,Local append-only audit evidence redaction and privileged forensic replay boundaries are code-backed for the bounded Beta 1 surface and denied access remains auditable
docs/specifications/20_Diagnostics_Audit_and_Observability/AUDIT_EXPORT_SINKS_RETENTION_AND_IMMUTABILITY.md,Append-only audit chain export validation legal hold and retention,B1-06-004,implemented,src/core/audit_logger.cpp,exportAuditPackage(,Local append-only audit chain package export package validation legal hold and retention are current authority and remote sinks remain fail-closed
docs/specifications/20_Diagnostics_Audit_and_Observability/SECURE_DIAGNOSTIC_REDACTION_FIELD_AND_TEXT_MODEL.md,Secret-bearing field and text redaction,B1-06-004,implemented,src/core/secure_diagnostics.cpp,redactSensitiveDiagnosticText(,Redaction markers and sensitive-field handling are code-backed operator surfaces used by audit logging structured logging and support bundles
docs/specifications/20_Diagnostics_Audit_and_Observability/MGA_OBSERVABILITY_AND_OPERATOR_DIAGNOSTICS.md,MGA operator diagnostics and health outputs,B1-06-004,implemented,src/core/observability_contract.cpp,"makeMetricDefinition(""sb_mga_ost"",",MGA counters live SQL views and operator metrics are normalized on OIT OAT and OST and are code-backed for the bounded local operator surface
docs/specifications/20_Diagnostics_Audit_and_Observability/SUPPORT_BUNDLE_READINESS_REDACTION_AND_OPERATIONAL_EVIDENCE_MODEL.md,Support-bundle readiness redaction and operator evidence,B1-06-004,implemented,src/core/support_bundle_builder.cpp,generateSupportBundle(,Support-bundle generation readiness safety summary restart continuity and redaction-enforced evidence packaging are current operator evidence surfaces for package 06
