case_id,gate_id,statement_or_fixture,family_key,feature_key,result_shape_id,required_artifact,status,source_spec,notes
E2E-001,P21-LANG-GATE-01,"Lexical token class stability corpus",FG_DDL_SQL,F_DDL_CREATE_TABLE,RS_COMMAND_STATUS,LD-001/TOKEN_RULES_AUDIT.csv,PASS,21_V3_Dialect_Surface/NORMATIVE_ADMIN_DDL_DML_PSQL_TSQL_IMPLEMENTATION_CHECKLIST.md,Token stream deterministic
E2E-002,P21-LANG-GATE-01,"Grammar production index",FG_ADMIN,F_CONFIG_SHOW,RS_KEY_VALUE_SET,LD-002/GRAMMAR_PRODUCTION_INDEX.csv,PASS,21_V3_Dialect_Surface/NORMATIVE_ADMIN_DDL_DML_PSQL_TSQL_IMPLEMENTATION_CHECKLIST.md,Grammar registration completeness
E2E-003,P21-LANG-GATE-01,"Admin feature-key map",FG_ADMIN,F_ADMIN_VALIDATE,RS_DIAGNOSTIC_REPORT,LD-003/ADMIN_FEATURE_KEY_MAP.csv,PASS,21_V3_Dialect_Surface/TEST_CONTRACT.md,Admin feature keys deterministic
E2E-004,P21-LANG-GATE-02,"CREATE TABLE/INDEX accept-reject matrix",FG_DDL_SQL,F_DDL_CREATE_TABLE,RS_COMMAND_STATUS,LD-004/GRAMMAR_ACCEPT_REJECT_MATRIX.csv,PASS,21_V3_Dialect_Surface/TEST_CONTRACT.md,DDL clause-order and conflict checks
E2E-005,P21-LANG-GATE-02,"DML result-shape matrix",FG_DML_SQL,F_DML_SELECT,RS_ROWSET,LD-005/DML_RESULT_SHAPE_AUDIT.csv,PASS,21_V3_Dialect_Surface/TEST_CONTRACT.md,DML result-shape contract
E2E-006,P21-LANG-GATE-02,"DML accept-reject matrix",FG_DML_SQL,F_DML_UPDATE,RS_MUTATION_SUMMARY,LD-005/DML_ACCEPT_REJECT_MATRIX.csv,PASS,21_V3_Dialect_Surface/TEST_CONTRACT.md,DML deterministic errors
E2E-007,P21-LANG-GATE-02,"PSQL controlflow corpus",FG_TRANSACTION,F_TXN_BEGIN,RS_COMMAND_STATUS,LD-006/PSQL_CONTROLFLOW_CASES.csv,PASS,21_V3_Dialect_Surface/TEST_CONTRACT.md,PSQL controlflow and alias behavior
E2E-008,P21-LANG-GATE-02,"PSQL cursor lifecycle matrix",FG_TRANSACTION,F_TXN_SAVEPOINT,RS_COMMAND_STATUS,LD-006/PSQL_CURSOR_STATE_MATRIX.csv,PASS,21_V3_Dialect_Surface/TEST_CONTRACT.md,Cursor state transitions deterministic
E2E-009,P21-LANG-GATE-02,"Normalization corpus",FG_ADMIN,F_IDX_LIGHT_SCAN,RS_COMMAND_STATUS,LD-007/NORMALIZATION_CORPUS_RESULTS.csv,PASS,21_V3_Dialect_Surface/NATIVE_PARSER_NORMALIZATION_AND_REJECTION_MATRIX.md,Transform order deterministic
E2E-010,P21-LANG-GATE-02,"Clause-order negative matrix",FG_DDL_SQL,F_DDL_CREATE_INDEX,RS_COMMAND_STATUS,LD-007/CLAUSE_ORDER_NEGATIVE_CASES.csv,PASS,21_V3_Dialect_Surface/TEST_CONTRACT.md,Clause-order conflicts deterministic
E2E-011,P21-LANG-GATE-03,"Parameter binding audit",FG_DML_SQL,F_EXECUTE_PREPARED,RS_ROWSET_OR_MUTATION,LD-008/PARAM_BINDING_AUDIT.csv,PASS,21_V3_Dialect_Surface/TEST_CONTRACT.md,Bind slot normalization deterministic
E2E-012,P21-LANG-GATE-03,"Type coercion matrix",FG_DML_SQL,F_DML_SELECT,RS_ROWSET,LD-008/TYPE_COERCION_CASES.csv,PASS,13_Operator_Model_and_Coercion/CAST_MATRIX.md,Coercion allow/deny deterministic
E2E-013,P21-LANG-GATE-03,"TSQL alias rewrite results",FG_TRANSACTION,F_TXN_ROLLBACK,RS_COMMAND_STATUS,LD-009/TSQL_ALIAS_REWRITE_RESULTS.csv,PASS,21_V3_Dialect_Surface/NATIVE_PSQL_TSQL_LANGUAGE_DEFINITION.md,TSQL alias rewrite deterministic
E2E-014,P21-LANG-GATE-03,"TSQL alias rejection results",FG_TRANSACTION,F_TXN_BEGIN,RS_COMMAND_STATUS,LD-009/TSQL_ALIAS_REJECTION_RESULTS.csv,PASS,21_V3_Dialect_Surface/NATIVE_PSQL_TSQL_LANGUAGE_DEFINITION.md,TSQL alias disabled deterministic reject
E2E-015,P21-LANG-GATE-03,"UUID bind and feature-key audit",FG_DDL_SQL,F_DDL_CREATE_TRIGGER,RS_COMMAND_STATUS,LD-010/UUID_BIND_AND_FEATURE_KEY_AUDIT.csv,PASS,24_Catalog_Model_and_Virtual_Overlays/CATALOG_OBJECT_PARENTAGE_AND_NAME_UNIQUENESS.md,Parent-scope UUID binding deterministic
E2E-016,P21-LANG-GATE-03,"SQL-SBLR envelope audit",FG_DML_SQL,F_DML_INSERT,RS_MUTATION_SUMMARY,LD-011/SQL_SBLR_ENVELOPE_AUDIT.csv,PASS,22_SBLR_Canonical_Model_and_Opcodes/SBLR_STATEMENT_PAYLOAD_SCHEMAS.md,Envelope integrity and rule-set coverage
E2E-017,P21-LANG-GATE-03,"Diagnostic trace audit",FG_DML_SQL,F_DML_SELECT,RS_ROWSET,LD-011/DIAGNOSTIC_TRACE_AUDIT.csv,PASS,22_SBLR_Canonical_Model_and_Opcodes/SBLR_VERIFIER_AND_VALIDATION_RULES.md,Verifier diagnostics output contract
E2E-018,P21-LANG-GATE-04,"Aggregate gate replay corpus row 1",FG_SESSION,F_CONFIG_SHOW,RS_KEY_VALUE_SET,LD-012/E2E_CORPUS_MATRIX.csv,PASS,21_V3_Dialect_Surface/TEST_CONTRACT.md,End-to-end replay anchor
E2E-019,P21-LANG-GATE-04,"Aggregate gate replay corpus row 2",FG_SESSION,F_CONFIG_RESOURCE_BUNDLE_VALIDATE,RS_DIAGNOSTIC_REPORT,LD-012/E2E_CORPUS_MATRIX.csv,PASS,21_V3_Dialect_Surface/TEST_CONTRACT.md,Resource bundle UUID validation gate
E2E-020,P21-LANG-GATE-04,"Aggregate gate replay corpus row 3",FG_ADMIN,F_LISTENER_SHOW,RS_ROWSET,LD-012/E2E_CORPUS_MATRIX.csv,PASS,21_V3_Dialect_Surface/TEST_CONTRACT.md,Listener surface gate
E2E-021,P21-LANG-GATE-04,"Aggregate gate replay corpus row 4",FG_ADMIN,F_STORAGE_SPLIT_PARTITION_BOUNDARY,RS_COMMAND_STATUS,LD-012/E2E_CORPUS_MATRIX.csv,PASS,21_V3_Dialect_Surface/TEST_CONTRACT.md,Storage split boundary gate
E2E-022,P21-LANG-GATE-04,"Aggregate gate replay corpus row 5",FG_DDL_SQL,F_DDL_BIND_BLOB_FILTER,RS_COMMAND_STATUS,LD-012/E2E_CORPUS_MATRIX.csv,PASS,21_V3_Dialect_Surface/TEST_CONTRACT.md,BLOB filter SQL gate
E2E-023,P21-LANG-GATE-04,"Aggregate gate replay corpus row 6",FG_ADMIN,F_CLUSTER_SHOW_ROUTING_PLAN,RS_ROWSET,LD-012/E2E_CORPUS_MATRIX.csv,PASS,21_V3_Dialect_Surface/TEST_CONTRACT.md,Cluster routing gate
E2E-024,P21-LANG-GATE-04,"Aggregate gate replay corpus row 7",FG_ADMIN,F_ALERT_SHOW,RS_ROWSET,LD-012/E2E_CORPUS_MATRIX.csv,PASS,21_V3_Dialect_Surface/TEST_CONTRACT.md,Alerting gate
E2E-025,P21-LANG-GATE-04,"Aggregate gate replay corpus row 8",FG_ADMIN,F_HEALING_SHOW_RUNS,RS_ROWSET,LD-012/E2E_CORPUS_MATRIX.csv,PASS,21_V3_Dialect_Surface/TEST_CONTRACT.md,Healing gate
E2E-026,P21-LANG-GATE-04,"Aggregate gate replay corpus row 9",FG_JOB_CONTROL,F_JOB_SHOW,RS_ROWSET,LD-012/E2E_CORPUS_MATRIX.csv,PASS,21_V3_Dialect_Surface/TEST_CONTRACT.md,Job control gate
E2E-027,P21-LANG-GATE-04,"Aggregate gate replay corpus row 10",FG_CLUSTER_CONTROL,F_SHARD_SHOW,RS_ROWSET,LD-012/E2E_CORPUS_MATRIX.csv,PASS,21_V3_Dialect_Surface/TEST_CONTRACT.md,Sharding gate
E2E-028,P21-LANG-GATE-04,"Aggregate gate replay corpus row 11",FG_CLUSTER_CONTROL,F_CUBE_SHOW_STATS,RS_ROWSET,LD-012/E2E_CORPUS_MATRIX.csv,PASS,21_V3_Dialect_Surface/TEST_CONTRACT.md,OLAP cube gate
E2E-029,P21-LANG-GATE-04,"Aggregate gate replay corpus row 12",FG_SECURITY_ADMIN,F_SECURITY_SHOW_STATUS,RS_ROWSET,LD-012/E2E_CORPUS_MATRIX.csv,PASS,21_V3_Dialect_Surface/TEST_CONTRACT.md,Security gate
E2E-030,P21-LANG-GATE-04,"Aggregate gate replay corpus row 13",FG_SERVICE_CHANNEL,F_SERVICE_CHANNEL_EVENTS,RS_STREAM_STATUS,LD-012/E2E_CORPUS_MATRIX.csv,PASS,21_V3_Dialect_Surface/TEST_CONTRACT.md,Service channel gate
E2E-031,T31-G1,"Schema/static validation evidence presence",FG_DML_SQL,F_DML_SELECT,RS_ROWSET,LD-011/SQL_SBLR_ENVELOPE_AUDIT.csv,PASS,31_Conformance_Performance_and_Reliability_Gates/TEST_CONTRACT.md,T31 static gate dependency satisfied
E2E-032,T31-G4,"VM/compiler/executor validation evidence presence",FG_DML_SQL,F_DML_SELECT,RS_ROWSET,LD-011/DIAGNOSTIC_TRACE_AUDIT.csv,PASS,31_Conformance_Performance_and_Reliability_Gates/TEST_CONTRACT.md,T31 verifier correctness dependency satisfied
E2E-033,T31-G5,"System integration language surface evidence",FG_ADMIN,F_LISTENER_START,RS_COMMAND_STATUS,LD-003/ADMIN_ACCEPT_REJECT_MATRIX.csv,PASS,31_Conformance_Performance_and_Reliability_Gates/TEST_CONTRACT.md,Listener/pool integration language contracts available
E2E-034,T31-G8,"Security and audit language evidence",FG_SECURITY_ADMIN,F_SECURITY_ENCRYPTION_KEY,RS_COMMAND_STATUS,LD-003/ADMIN_FEATURE_KEY_MAP.csv,PASS,31_Conformance_Performance_and_Reliability_Gates/TEST_CONTRACT.md,Security control language mapping present
E2E-035,T31-G9,"Release candidate language evidence completeness",FG_DDL_SQL,F_DDL_CREATE_TABLE,RS_COMMAND_STATUS,LD-012/E2E_LANGUAGE_GATE_RESULTS.md,PASS,31_Conformance_Performance_and_Reliability_Gates/TEST_CONTRACT.md,All P21 gates summarized
E2E-036,T31-G9,"Deterministic replay verification requirement",FG_DDL_SQL,F_DDL_CREATE_INDEX,RS_COMMAND_STATUS,LD-011/DIAGNOSTIC_TRACE_AUDIT.csv,PASS,31_Conformance_Performance_and_Reliability_Gates/TEST_CONTRACT.md,Deterministic replay check captured in DT-025
