optimization_key,area,current_scratchbird_state,local_preliminary_shape,web_refinement,recommended_option,priority,fit_with_mga,risk_notes
OPT-01,Exact update churn,Missing same-key suppression in audited update paths,HOT-like exact-family no-churn updates,Add stable-head or page-local redirect choice and hot-page fallback,Hybrid stable-head plus same-page redirect for exact families,P0,High,"Requires careful unique-conflict and lineage traversal proof"
OPT-02,Exact cleanup and reclaim,Partial family-local cleanup already exists,Bottom-up reclaim queues and page-local compaction,Use debt-driven scheduling and auto compaction thresholds,Background exact cleanup queues keyed by reclaim proof and page debt,P0,High,"Must not outrun heap reclaim legality"
OPT-03,Cold-page secondary maintenance,Missing,Narrow cold-page secondary delta buffer,Compare with fractal-tree/message-buffer alternatives,Bounded non-unique exact-secondary delta buffer with hard backlog limits,P1,Medium,"Complexity similar to historical change-buffer risk if scope expands"
OPT-04,Inverted and many-key maintenance,Partial GIN pending list already exists,Pending-list and batch-merge lanes,Separate boolean inverted from ranked immutable segments,Keep GIN pending for boolean families and add segment-based ranked text publish,P0,High,"Need coherent read view across mutable and sealed layers"
OPT-05,Online build and rebuild,Partial shadow-index metadata and APIs already exist,Shadow-build then publish,Add resumability, side-log drain phases, and invisible candidate states,Standardize shadow-build side-log drain validate publish contract,P0,High,"Needs one generic cutover guard and restart-safe state model"
OPT-06,Immutable heavy-family publication,Partial by family,Adopt generation publish for summary and ANN families,Use delta-merge and merge-policy guidance from HANA and OpenSearch,Generation-based publish for summary columnar ANN and ranked text families,P0,High,"Do not let generation visibility replace MGA visibility"
OPT-07,Checkpoint or sweep reconciliation,Partial small recovery markers and bloom rebuilds exist,Checkpoint-time delta merge,Add tiny publication markers and resumable post-boundary merge,Use mini-manifest markers plus post-boundary delta reconciliation,P2,High,"Apply only to non-commit-critical structures"
OPT-08,Batched apply,Missing,Combine transaction output into per-family apply jobs,Use locality and hot-leaf awareness,Commit-group batch apply for exact families and async batch apply for lag-tolerant families,P0,High,"Exact families still need commit-bound correctness"
OPT-09,Insert hotspot mitigation,Missing,Rightmost-leaf and monotonic-key mitigation,Add last-page contention and latch-free alternative review,Use hot-leaf reservation plus split-aware batch writer before structural replacement,P1,Medium,"Over-salting semantic keys would damage range behavior"
OPT-10,Bulk ingest,Partial B-tree bulkLoad exists but no unified bulk contract,Sorted bulk load and append-friendly ingest lanes,Use direct-path and compact staging ideas without donor NOLOGGING semantics,Three lanes: retail micro-batch, sorted bulk exact, shadow-load then cutover,P1,High,"Bulk path must still stamp lineage and catalog state transactionally"
OPT-11,Online DDL and schema evolution,Partial bounded Beta1 model already exists,Expand metadata-only and backfill-cutover classes,Add metadata MVCC discipline, invisible indexes, resumable jobs,Extend existing schema epoch and cutover-guard model instead of replacing it,P0,High,"Do not weaken transactional DDL or savepoint refusal rules"
OPT-12,Maintenance scheduler and transient structures,Partial scattered rebuild and metrics hooks exist,Debt-driven maintenance scheduler plus compact temp structures,Use automatic compaction and adaptive encoding lessons,Central debt scheduler plus adaptive transient encodings and lazy free,P1,High,"Scheduler must stay observable and workload-aware"
