spec_path,spec_element,ticket,implementation_status,implementation_path,unique_search_key,notes
docs/specifications/12_Temporary_Tables/README.md,Temporary-table lifecycle and planner spill boundary,B1-03-003,implemented,src/core/connection_context.cpp,ConnectionContext::cleanupTempTablesOnCommit(,Lane A closure is proven by temp-table cleanup and restart tests plus dedicated planner spill metadata and refusal integration tests.
docs/specifications/12_Temporary_Tables/TEMP_WORKFILE_AND_OPERATOR_SPILL_CONTRACT.md,Planner spill policy and refusal metadata,B1-03-003,implemented,src/optimizer/query_planner.cpp,plannerSpillPolicyName(,Current spill authority is proven on the planner-side policy and explain metadata surface and remains intentionally bounded away from a standalone runtime workfile subsystem.
docs/specifications/13_Operator_Model_and_Coercion/README.md,Explicit and implicit coercion runtime,B1-03-003,implemented,src/core/typed_value.cpp,TypedValue::convertTo(,Explicit cast truth is centered on TypedValue conversion and is now closed with executor strict-mode and numeric-widening runtime proof.
docs/specifications/13_Operator_Model_and_Coercion/IMPLICIT_COERCION_RULES.md,Write-path coercion and strict-mode gating,B1-03-003,implemented,src/sblr/executor.cpp,coerceValueForColumn(,Lane A closes column-target coercion and operator.strict_mode behavior through the executor seam and query-compiler runtime assertions.
docs/specifications/14_Base_Scalar_Types/README.md,Scalar serialization and emulated type mapping,B1-03-003,implemented,src/core/type_serialization.cpp,TypeSerializer::serialize(,Scalar runtime ownership is proven on TypeSerializer TypedValue and TypeSystem with direct serialization and mapping coverage across the current scalar families.
docs/specifications/15_Complex_Types/README.md,Complex-domain lifecycle and validation,B1-03-003,implemented,src/core/domain_manager.cpp,DomainManager::createRecordDomain(,Complex-type and domain closure is proven on DomainManager plus shared TypedValue and extraction seams through domain integration and complex-value round-trip coverage.
docs/specifications/16_Context_Variables/README.md,Session-variable and SHOW-state boundary,B1-03-003,implemented,src/core/connection_context.cpp,ConnectionContext::setSessionVariable(,Context-variable ownership is proven on ConnectionContext session state with direct current-schema and context-keyword runtime assertions.
docs/specifications/17_Functions_and_Procedures/README.md,Routine catalog and execution admission,B1-03-003,implemented,src/core/catalog_manager.cpp,CatalogManager::registerFunction(,Lane A closes function and procedure registration schema-resolution and executor dispatch while keeping deferred blob-filter runtime parity fail-closed.
docs/specifications/17_Functions_and_Procedures/BLOB_FILTER_RUNTIME_AND_UDR_CONTRACT.md,Blob-filter and remote-runtime fail-closed boundary,B1-03-003,implemented,src/core/catalog_manager.cpp,upsertBlobFilterCatalogEntry(,Package 03 now proves blob-filter remote-connector and cluster-fabric catalog or UDR-readiness seams directly while keeping runtime invocation parity intentionally deferred by canon.
docs/specifications/21_V3_Dialect_Surface/README.md,Native V3 parser front door and lowering boundary,B1-03-003,implemented,src/parser/parser_v3.cpp,ParseResult Parser::parseStatement(),Lane A closes the native parser front door and bounded handoff boundary on parser_v3 through direct parser rejection and UDR compile-emitter contract proof while ticket 004 owns deeper lowering and render closure.
docs/specifications/22_SBLR_Canonical_Model_and_Opcodes/SBLR_CANONICAL_SERIALIZATION_AND_CONTAINER.md,SBLR container and serialization,B1-03-004,implemented,src/sblr/v3_container.cpp,SECTION_RETAINED_SYMBOLS,Container round-trip now includes the versioned retained-symbol section and is proven in retained_symbol_focus.log.
docs/specifications/22_SBLR_Canonical_Model_and_Opcodes/SBLR_NAME_SYMBOL_AND_CONTEXT_RETENTION_EXPANSION.md,Normalized retained-symbol substrate,B1-03-004,implemented,src/sblr/v3_container.cpp,buildNormalizedRetainedSymbolPayload(,The shared retained-symbol builder now emits symbol scope display-name output-label and source-order registries for the current native-V3 lowering surfaces and both lowerers call it before container publication.
docs/specifications/22_SBLR_Canonical_Model_and_Opcodes/SBLR_VERIFIER_AND_VALIDATION_RULES.md,SBLR verifier and validation,B1-03-004,implemented,src/sblr/v3_validator.cpp,validateRetainedSymbolPayload(,Verifier closure now rejects malformed retained-symbol registries and dangling scope or display-name references before bytecode execution.
docs/specifications/23_SBLR_VM_Compiler_and_Executor/PLANNER_FRONT_DOOR_AND_STATEMENT_PLANNING_API.md,Compiler front door and execution handoff,B1-03-004,implemented,include/scratchbird/sblr/query_compiler_v3.h,class QueryCompilerV3,QueryPlannerIntegrationTest compiler-front-door proof is recorded in lane_b_contracts.log and closes bytecode production through the current QueryCompilerV3 entrypoint.
docs/specifications/23_SBLR_VM_Compiler_and_Executor/PLANNER_FRONT_DOOR_AND_STATEMENT_PLANNING_API.md,Compiler finalize pipeline and planner handoff,B1-03-004,implemented,src/sblr/query_compiler_v3_optimizer_support.cpp,finalizeQueryCompilerV3Compilation(,Lane-B evidence now proves finalize-pipeline planner handoff and statistics-version-sensitive cache bypass behavior through the query planner integration contract sweep.
docs/specifications/23_SBLR_VM_Compiler_and_Executor/EXECUTION_CACHE_AND_INVALIDATION.md,Plan cache and invalidation ownership,B1-03-004,implemented,src/optimizer/vnext_plan_cache.cpp,VNextPlanCache::put(,Plan-cache key formation reuse localized invalidation and reject-path metrics are now closed by the VNextPlanCache and QueryPlannerIntegrationTest proof set in lane_b_contracts.log.
docs/specifications/28_Parser_Implementations/PARSER_ISOLATION_AND_DIALECT_LOCAL_SBLR_LOWERING_RULE.md,Parser isolation and dialect-local lowering,B1-03-004,implemented,src/sblr/ast_sblr_lowerer.cpp,buildNormalizedRetainedSymbolPayload(,AstSblrLowerer remains schema-equivalent with V3Emitter and now publishes the same normalized retained-symbol carrier without cross-parser dependencies.
docs/specifications/28_Parser_Implementations/SBLR_TO_V3_CONVERTER_AND_NAME_RECOVERY_RULES.md,V3-only converter and name-recovery contract,B1-03-004,implemented,src/sblr/native_sql_render_contract.cpp,nativeSqlRenderContractForInstruction(,Deterministic opcode-to-V3 render contracts and the language-UDR render endpoint are proven in lane_b_contracts.log while the normalized retained-symbol carrier is now emitted and verified upstream.
docs/specifications/28_Parser_Implementations/SBLR_TO_V3_RENDERING_AND_CONTEXT_RECONSTRUCTION_MODEL.md,V3 reverse rendering and context reconstruction,B1-03-004,implemented,src/sblr/native_sql_renderer.cpp,renderNativeSqlInstruction(,The native renderer and render endpoint pass the bounded native-V3 reverse-render contract sweep while the new retained-symbol carrier preserves compatibility for current shipped statement families.
