spec_path,spec_element,ticket,implementation_status,implementation_path,unique_search_key,notes
docs/specifications/36_Query_Rewrite_and_Planner/BETA2_CROSS_MACHINE_QUERY_DECOMPOSITION_DATA_MOTION_AND_RESULT_STITCHING_MODEL.md,cross_machine_query_planner_contract,DQO-11-003,missing,docs/specifications/25_Runtime_Modes/CLUSTER_ROUTING_AND_ADMISSION.md,full distributed route selection algorithms,Current canon stops at bounded routing and admission metadata
docs/specifications/25_Runtime_Modes/BETA2_CLUSTER_REMOTE_FRAGMENT_EXECUTION_EXCHANGE_AND_ADMISSION_MODEL.md,remote_fragment_execution_contract,DQO-11-003,missing,docs/specifications/36_Query_Rewrite_and_Planner/PLANNER_UNIFICATION_PHYSICAL_PROPERTY_AND_ACCESS_TRUST_BETA2_MODEL.md,exchange and gather posture,Exchange is named in planner canon but not defined as a cluster-member execution model
docs/specifications/24_Catalog_Model_and_Virtual_Overlays/BETA2_DISTRIBUTED_QUERY_FRAGMENT_LOCATION_COST_AND_EXCHANGE_CATALOG_MODEL.md,distributed_query_catalog_contract,DQO-11-003,missing,docs/specifications/24_Catalog_Model_and_Virtual_Overlays/METADATA_AND_STATISTICS_SUBSYSTEM_CONTRACT.md,metadata and statistics helper contracts,Need a catalog home for fragment location cost and exchange capabilities
docs/specifications/25_Runtime_Modes/BETA2_HIGH_PERFORMANCE_OLTP_SERVICE_CLASS_AND_NODE_SPECIALIZATION_MODEL.md,oltp_service_class_and_node_specialization_contract,DQO-11-005,partial_substrate,docs/specifications/25_Runtime_Modes/CLUSTER_OLTP_NODE_LIFECYCLE.md,Current source evidence does not prove a full cluster OLTP node lifecycle,Need a real Beta 2 OLTP service model rather than an unsupported boundary note
docs/specifications/36_Query_Rewrite_and_Planner/BETA2_HIGH_PERFORMANCE_OLTP_PLAN_SHAPES_CONTENTION_AVOIDANCE_AND_PREPARED_EXECUTION_MODEL.md,oltp_plan_shape_and_prepared_execution_contract,DQO-11-005,partial_substrate,docs/specifications/18_Index_Framework/DML_WRITE_PATH_AND_INDEX_OPTIMIZATION_MODEL.md,commit-group batch apply,Current write-path canon exists but no unified OLTP planning and contention model
docs/specifications/31_Conformance_Performance_and_Reliability_Gates/BETA2_HIGH_PERFORMANCE_OLTP_BENCHMARK_AND_CONTENTION_GATE_MODEL.md,oltp_benchmark_and_contention_gate,DQO-11-005,missing,docs/specifications/31_Conformance_Performance_and_Reliability_Gates/PERFORMANCE_SLO_AND_BENCHMARK_METHOD.md,Benchmark corpus,Need explicit Beta 2 OLTP workload and contention gates
docs/specifications/25_Runtime_Modes/BETA2_SHARD_PLACEMENT_REBALANCE_SPLIT_MERGE_AND_READ_ROUTING_MODEL.md,shard_lifecycle_and_read_routing_contract,DQO-11-007,partial_substrate,docs/specifications/25_Runtime_Modes/SHARD_ROUTING_MULTI_SHARD_GUARD_AND_COMMIT_LOG_MODEL.md,deterministic shard routing,Current shard substrate does not define full placement and rebalancing lifecycle
docs/specifications/24_Catalog_Model_and_Virtual_Overlays/BETA2_SHARD_POLICY_RANGE_PLACEMENT_AND_MIGRATION_CATALOG_MODEL.md,shard_catalog_and_migration_contract,DQO-11-007,partial_substrate,docs/specifications/24_Catalog_Model_and_Virtual_Overlays/SHARDING_CATALOG_SCHEMA.md,support sharding, cluster membership, and shard placement,Current catalog substrate exists but needs Beta 2 operator lifecycle and migration state closure
docs/specifications/42_Failure_Model_and_Fault_Tolerance/BETA2_SHARD_FAILURE_REBALANCE_AND_OWNERSHIP_RECOVERY_CLASSIFICATION_MODEL.md,shard_failure_and_ownership_recovery_contract,DQO-11-007,missing,docs/specifications/42_Failure_Model_and_Fault_Tolerance/CLUSTER_IDENTITY_KEY_SHARD_AND_WRITE_FENCE_FAILURE_MODEL.md,missing shard custody rows,Need client-visible and operator-visible shard failure and rebalancing classifications
docs/specifications/18_Index_Framework/BETA2_OLAP_STORAGE_SEGMENT_PRUNING_VECTOR_SCAN_AND_CUBE_ACCELERATION_MODEL.md,olap_storage_and_acceleration_contract,DQO-11-009,partial_substrate,docs/specifications/18_Index_Framework/COLUMNSTORE_SPEC.md,scan acceleration, aggregation support, and summary pruning,Current columnstore substrate is narrower than full OLAP and cube acceleration
docs/specifications/24_Catalog_Model_and_Virtual_Overlays/BETA2_OLAP_CUBE_MATERIALIZATION_REFRESH_AND_JOB_CATALOG_MODEL.md,olap_cube_catalog_and_job_contract,DQO-11-009,partial_substrate,docs/specifications/24_Catalog_Model_and_Virtual_Overlays/OLAP_CUBE_CATALOG_SCHEMA.md,OLAP processing nodes and cube support,Current catalog schema exists but no full Beta 2 materialization and refresh canon
docs/specifications/36_Query_Rewrite_and_Planner/BETA2_OLAP_QUERY_REWRITE_ROLLUP_CUBE_MATCHING_AND_HTAP_SEPARATION_MODEL.md,olap_rewrite_and_cube_matching_contract,DQO-11-009,missing,docs/specifications/36_Query_Rewrite_and_Planner/PLANNER_UNIFICATION_PHYSICAL_PROPERTY_AND_ACCESS_TRUST_BETA2_MODEL.md,point-lookup OLTP work,Need explicit analytical rewrite and OLTP versus OLAP separation rules
docs/specifications/31_Conformance_Performance_and_Reliability_Gates/BETA2_OLAP_CUBE_REFRESH_AND_ANALYTICAL_BENCHMARK_GATE_MODEL.md,olap_and_cube_gate_contract,DQO-11-009,missing,docs/specifications/31_Conformance_Performance_and_Reliability_Gates/PERFORMANCE_SLO_AND_BENCHMARK_METHOD.md,Benchmark corpus,Need analytical scan refresh and cube benchmark gates
