spec_path,spec_element,ticket,implementation_status,implementation_path,unique_search_key,notes
docs/specifications/07_Catalog_Bootstrap_and_UUID_Mapping/README.md,UUID identity and bootstrap ownership,B1-02-003,implemented,include/scratchbird/core/ondisk.h,SBDatabaseHeader,Database header UUID and bootstrap-root identity remain the canonical durable anchor while package 02 expands catalog-backed configuration families.
docs/specifications/07_Catalog_Bootstrap_and_UUID_Mapping/README.md,UUID identity and bootstrap ownership,B1-02-003,implemented,src/core/uuidv7.cpp,UuidV7Generator::generate,Current UUIDv7 generation remains the durable identity substrate for database and catalog-managed row families proved in lane A.
docs/specifications/24_Catalog_Model_and_Virtual_Overlays/METADATA_AND_STATISTICS_SUBSYSTEM_CONTRACT.md,Transactional metadata publication and durable schema-change lineage,B1-02-004,implemented,src/core/connection_context.cpp,flushCommittedTransactionalDdl(,Committed transactional DDL now emits schema epochs plus durable schema-change plan and event lineage from the connection-context publication seam.
docs/specifications/37_Statistics_Metadata_and_Schema_DDL/SCHEMA_DDL_STATE_MACHINE.md,Transactional DDL publication and visibility,B1-02-004,implemented,src/core/connection_context.cpp,flushCommittedTransactionalDdl(,Schema-changing commits publish one committed schema epoch together with durable transactional DDL lineage while rollback remains fail-closed and non-publishing.
docs/specifications/01_Configuration_Subsystem/CONFIG_SQL_SURFACE.md,Configuration SQL surface and persistence,B1-02-003,implemented,src/sblr/executor.cpp,appendConfigChangeLogCatalogEntry(,ALTER SYSTEM SET and RESET now persist catalog-managed scalar rows and durable change history while SHOW CONFIG and CONFIG HISTORY read the catalog-backed truth.
docs/specifications/01_Configuration_Subsystem/README.md,Bootstrap precedence and service parser ownership,B1-02-002,implemented,src/core/config.cpp,Config::loadFile(,File and environment precedence remain the canonical bootstrap import substrate beneath the post-mount catalog-managed authority closed in lane A.
docs/specifications/01_Configuration_Subsystem/README.md,Listener-profile bootstrap parsing substrate,B1-02-002,implemented,src/server/service_controller.cpp,Extended listener profile sections:,Service bootstrap parsing remains the source bootstrap seam and now feeds dedicated listener-topology catalog reconciliation instead of remaining listener-local truth.
docs/specifications/24_Catalog_Model_and_Virtual_Overlays/LISTENER_TOPOLOGY_PARSER_POOL_AND_EMULATION_BINDING_CATALOG_MODEL.md,Dedicated listener topology and parser-pool row families,B1-02-003,implemented,src/core/catalog_manager.cpp,upsertListenerProfileCatalogEntry(,Dedicated listener profile binding emulation parser-pool runtime-target and generation row families are now physically materialized and writable through the catalog-manager seam.
docs/specifications/24_Catalog_Model_and_Virtual_Overlays/REMOTE_MANAGEMENT_CATALOG_AND_DEPLOYMENT_RECORDS.md,Remote-management target-local persistence split,B1-02-003,implemented,src/core/database.cpp,bootstrapConfigurationCatalog(,Accepted target-local durable state now lands in either scalar config rows or dedicated listener-topology rows with bootstrap reconciliation preserving the split.
docs/specifications/24_Catalog_Model_and_Virtual_Overlays/README.md,Virtual overlay and catalog ownership anchors,B1-02-002,implemented,src/catalog/sys_catalog.cpp,SysCatalogHandler::queryTables,Virtual overlay exposure remains live and package 02 preserved the catalog-manager versus overlay routing boundary while expanding catalog-owned row families.
docs/specifications/37_Statistics_Metadata_and_Schema_DDL/ONLINE_SCHEMA_CHANGE_AND_BACKFILL_MODEL.md,Online schema change durable phase records,B1-02-004,implemented,src/core/catalog_manager.cpp,appendSchemaChangePlanCatalogEntry(,Bounded Beta 1 schema changes now persist plan event backfill-progress and cutover-guard rows with fail-closed classification across the live executor paths.
docs/specifications/37_Statistics_Metadata_and_Schema_DDL/README.md,Schema epoch and transactional DDL audit anchors,B1-02-002,implemented,src/core/connection_context.cpp,Failed to persist transactional DDL lineage/schema epoch,The fail-closed epoch-publication boundary remains current authority and now guards the fully implemented transactional DDL lineage and schema-change catalog emission path.
