spec_path,spec_element,ticket,implementation_status,implementation_path,unique_search_key,notes
docs/specifications/39_Backup_Restore_and_Bulk_Data_Paths/BACKUP_AND_RESTORE_BOUNDARY.md,Primary backup restore and shadow authority,B1-07-003,implemented,src/core/backup_manager.cpp|src/core/database.cpp,Status BackupManager::createBackup(,Current code proves MGA-first backup restore and shadow filespace operations with explicit promotion gates
docs/specifications/39_Backup_Restore_and_Bulk_Data_Paths/LOGICAL_AND_PHYSICAL_BACKUP_CONSISTENCY_AND_OPTIONAL_WAL_ROLLFORWARD_MODEL.md,Restore validation rehearsal and bounded backup-chain advancement,B1-07-003,implemented,src/core/backup_manager.cpp,Status BackupManager::runDisasterRecoveryRehearsal(,Logical and physical backup boundaries are code-backed through restore validation rehearsal and chained backup application without promoting WAL to primary truth
docs/specifications/39_Backup_Restore_and_Bulk_Data_Paths/CLOUD_OBJECT_STORAGE_SNAPSHOT_AND_RESTORE_AUTOMATION_MODEL.md,Cloud artifact automation bounded to local and block-storage targets,B1-07-003,implemented,src/core/backup_manager.cpp|src/core/support_bundle_builder.cpp,Status BackupManager::runRestoreValidation(,Package 07 closes this file by making remote object-store transport future-only while current runtime proves local artifact validation and support-bundle-backed refusal context
docs/specifications/39_Backup_Restore_and_Bulk_Data_Paths/ONLINE_TABLESPACE_MIGRATION_AND_PROXY_CUTOVER_MODEL.md,Online tablespace migration and local cutover discipline,B1-07-003,implemented,src/core/catalog_manager.cpp,auto CatalogManager::startOnlineMigration(,Current code proves local online migration phases catch-up swap and durable migration history
docs/specifications/39_Backup_Restore_and_Bulk_Data_Paths/DATA_PROXY_AND_MIGRATION_RUNTIME_MODEL.md,Remote passthrough policy and bounded donor-migration substrate,B1-07-003,implemented,src/core/catalog_manager.cpp|src/sblr/executor.cpp,auto CatalogManager::upsertRemotePassthroughPolicyCatalogEntry(,Catalog-backed passthrough policy plus fail-closed executor fallback closes the bounded Beta 1 substrate without claiming a full listener-driven donor cutover runtime
docs/specifications/39_Backup_Restore_and_Bulk_Data_Paths/WEAK_DONOR_RECONCILIATION_AND_CUTOVER_STATE_MACHINE.md,Weak-donor reconciliation remains explicit fail-closed policy surface,B1-07-003,implemented,src/sblr/executor.cpp|src/core/catalog_manager.cpp,No passthrough policy is bound to remote connector,Current runtime closes this file at the bounded Beta 1 fail-closed line by preserving donor-policy metadata and refusing overclaimed remote-runtime behavior
docs/specifications/30_Client_Tooling/REMOTE_ADMIN_AND_DEPLOYMENT_CONTROL_SURFACE.md,Local single-target remote-admin status and control subset,B1-07-003,implemented,src/server/sb_manager_main.cpp|tests/unit/test_manager_proxy_mcp.cpp,entries.push_back({\"shadow_group_state\",,Manager status rows already prove bounded server-status and instruction-posture surfaces for the single-target lane
docs/specifications/25_Runtime_Modes/REMOTE_MANAGEMENT_DEPLOYMENT_QUEUE_ASSESSMENT_AND_APPLY_RUNTIME_MODEL.md,Single-target assess and apply queue boundary,B1-07-003,implemented,src/server/sb_manager_main.cpp,entries.push_back({\"last_instruction_state\",,Package 07 closes this file at the single-target status and apply-posture boundary while multi-target cluster fanout remains explicitly out of scope
docs/specifications/25_Runtime_Modes/CLOUD_SUPPORT_SCOPE_AND_BETA1_BETA2_PROGRAM_MODEL.md,Beta 1 cloud-operability promise set,B1-07-004,implemented,artifacts/cross_os/p6s3w2/package_manifests/README.md|docs/TEST.md,linux-runtime-manifest.txt,The bounded Beta 1 promise is now explicit and is backed by Linux and Windows runtime package artifacts plus maintained single-node operational test lanes
docs/specifications/41_Platform_Interface_and_Lifecycle_Management/CLOUD_PACKAGING_SUPPORT_MATRIX_AND_DEPLOYMENT_AUTOMATION_MODEL.md,Linux and Windows runtime package support matrix,B1-07-004,implemented,scripts/cross_os/generate_package_manifests.sh|artifacts/cross_os/p6s3w2/package_manifests/README.md,linux-runtime-manifest.txt,Current packaging artifact set and generator prove the bounded Linux and Windows runtime package matrix
docs/specifications/41_Platform_Interface_and_Lifecycle_Management/BUILD_PACKAGING_AND_DEPLOYMENT_LIFECYCLE.md,Bounded build packaging and rollout lifecycle,B1-07-004,implemented,scripts/cross_os/run_portable_lane.sh|scripts/release/verify_repro_build.py,run_portable_lane.sh,Current build and rollout tooling proves bounded non-interactive package and portability workflows without claiming universal installer parity
docs/specifications/41_Platform_Interface_and_Lifecycle_Management/SYSTEM_COMPATIBILITY_MANIFEST_AND_OPERATIONAL_ROLLOUT_MODEL.md,Backup and restore compatibility-floor refusal boundary,B1-07-003,implemented,src/core/backup_manager.cpp|tests/unit/test_database_format_compatibility.cpp,Backup chain crosses compatibility-floor boundary,Current backup metadata and restore compatibility checks enforce the bounded rollout and refusal model for storage-affecting package 07 surfaces
docs/specifications/31_Conformance_Performance_and_Reliability_Gates/CLOUD_READINESS_AND_BETA2_CLUSTER_CERTIFICATION_MODEL.md,Beta 1 cloud-readiness evidence mapping for package 07,B1-07-005,implemented,docs/completed-work-plans/07-Backup_Restore_Migration_Cloud_Beta1_Ops/evidence/B1-07-005/portability_benchmark.log|artifacts/cross_os/p6s3w2/xos-063-package-manifests.md,mean_ms=,Package 07 closes on current lane-A and lane-B proof logs plus preserved Linux and Windows package-manifest artifacts rather than a missing fresh Windows build tree
