case_id,required_check,expected_result,error_code
T25-ND-001,startup_joining_syncing_warming_online_ordered,pass,
T25-ND-002,shutdown_online_draining_offline_ordered,pass,
T25-ND-003,node_rejects_traffic_unless_online,pass,
T25-ND-004,drain_timeout_aborts_long_running_transactions,pass,
T25-ND-005,shard_leadership_transfer_before_offline,pass,
T25-ND-006,start_stop_events_persisted_in_lifecycle_event_catalog,pass,
T25-ND-007,specialized_nodes_reject_out_of_role_workloads,pass,
T25-ND-008,olap_ingest_and_compute_node_behavior_deterministic,pass,
T25-ND-009,quorum_loss_sets_partitioned_and_blocks_writes,pass,
T25-ND-010,alerts_healing_quarantine_silence_behavior_deterministic,pass,
T25-ND-011,scheduler_job_parameter_validation_and_job_locking,pass,
T25-ND-012,cluster_fabric_parserless_and_multi_session_isolation,pass,
T25-ND-013,fabric_link_state_transition_rules_and_heartbeat_degradation,pass,
