case_id,suite,required_check,expected_result,error_code
T23-J00,J,o00_policy_snapshot_freeze_and_missing_policy_rejects,pass,
T23-J01,J,o01_o02_plan_cache_state_transition_rules,pass,
T23-J02,J,o03_cache_key_order_includes_norm_hash,pass,
T23-J03,J,o04_o05_trial_metrics_promotion_deactivation_rules,pass,
T23-J04,J,o06_replan_trigger_coverage,pass,
T23-J05,J,o07_formula_profile_coverage_mandatory,pass,
T23-J06,J,o08_o09_cost_formula_term_persistence,pass,
T23-J07,J,o10_o11_join_legality_and_hash_overflow_guardrail,pass,
T23-J08,J,o12_limit_sensitive_spill_gating,pass,
T23-J09,J,o13_ordered_output_semantics_enforced,pass,
T23-J10,J,o14_fragment_graph_exchange_explicit_ids,pass,
T23-J11,J,o15_o16_backpressure_fairness_limits,pass,
T23-J12,J,o17_cancel_timeout_propagation_all_fragments,pass,
T23-J13,J,o18_runtime_metrics_emission_mandatory,pass,
T23-J14,J,o19_persistence_invalidation_on_profile_changes,pass,
