"native_family_id","native_capability_family","microsoft_features_collapsed","current_scratchbird_spec_status","current_scratchbird_impl_status","classification","open_reference_model","key_scratchbird_evidence","recommended_native_direction"
"1","Microsoft wire protocol adapter family","Native TDS endpoint parser and bridge client","not required for native product design","none","DONOR_ONLY_NOT_REQUIRED","n/a","docs/specifications/28_Parser_Implementations/BETA2_EMULATION_FAMILY_SQLSERVER_AZURESQL_MODEL.md","Keep this outside the native roadmap unless SQL Server family emulation is explicitly chosen."
"2","Microsoft catalog and admin compatibility overlays","sys.* catalog views DMVs and system procedures","not required for native product design","partial catalog subset only","DONOR_ONLY_NOT_REQUIRED","n/a","include/scratchbird/catalog/mssql_catalog.h","Prefer ScratchBird-native admin and observability surfaces instead of donor catalog cloning."
"3","Microsoft login object and token semantics","SQL logins Windows-integrated auth token semantics Microsoft Entra object exposure","not required for native product design","partial generic auth plugin substrate","DONOR_ONLY_NOT_REQUIRED","n/a","docs/specifications/19_Security_Model/AUTH_PLUGIN_METHOD_SPECIFICATIONS.md","Implement ScratchBird-native federated auth plugins and role mapping instead of donor identity object semantics."
"4","Transactional event bus and durable queues","Service Broker Query Notifications Event Notifications","absent","none","NEW_NATIVE_SPEC_REQUIRED","PostgreSQL LISTEN/NOTIFY; pgmq; CloudEvents","docs/specifications/20_Diagnostics_Audit_and_Observability/BETA2_WORKLOAD_TRACE_CAPTURE_PRIVACY_AND_REDACTION_MODEL.md","Create a native transactional event and durable queue subsystem with activation workers consumer offsets and policy-gated publication."
"5","Scheduled jobs alerting and notification sinks","SQL Server Agent Azure Elastic Jobs Database Mail","absent","none","NEW_NATIVE_SPEC_REQUIRED","pg_cron; CloudEvents","docs/specifications/30_Client_Tooling/LINUX_SINGLE_FILE_INSTALLER_WIZARD_AND_RELEASE_STAGE_MODEL.md","Create a native database scheduler alerting subsystem and operator message sink model instead of SQL Agent or Database Mail compatibility."
"6","Managed safe extensibility runtime","CLR integration Machine Learning Services external script execution","partial generic UDR canon exists but no managed runtime host","none","EXPAND_EXISTING_GENERIC_SPEC","WebAssembly; WASI","docs/specifications/17_Functions_and_Procedures/BETA2_PYTHON_INSPIRED_UDR_PROGRAM_AND_STAGING_MODEL.md; docs/specifications/17_Functions_and_Procedures/BETA2_DOMAIN_FINANCE_SCIENCE_AND_EDUCATION_UDR_PROGRAM_MODEL.md","Define a WASM/WASI-based managed UDR runtime for safe packaged extensibility and external analytical execution."
"7","Native changefeed and consumer offset model","CDC Change Tracking","migration and replay capture canon only","none","NEW_NATIVE_SPEC_REQUIRED","PostgreSQL logical decoding; Debezium; CloudEvents","docs/specifications/39_Backup_Restore_and_Bulk_Data_Paths/WEAK_DONOR_CHANGE_CAPTURE_REPLAY_QUARANTINE_AND_RESUME_MODEL.md; docs/specifications/24_Catalog_Model_and_Virtual_Overlays/CATALOG_TABLE_SCHEMA_LIVE_MIGRATION_AND_PASSTHROUGH.md","Create a native changefeed family with commit envelopes consumer slots row filters schema versioning and replay-safe offsets."
"8","Temporal relational versioning and time-travel queries","System-versioned temporal tables FOR SYSTEM_TIME","partial temporal lineage and temporal clause canon exists","partial","EXPAND_EXISTING_GENERIC_SPEC","XTDB time semantics","docs/specifications/21_V3_Dialect_Surface/BETA2_DONOR_DIALECT_AST_GRAMMAR_AND_DESUGAR_EXPANSION_MODEL.md; docs/specifications/39_Backup_Restore_and_Bulk_Data_Paths/BETA2_ARCHIVE_REPLAY_AND_RESTORE_MODEL.md","Expand current temporal lineage into a first-class relational temporal table model with history binding and deterministic time-travel query lowering."
"9","Tamper-evident lineage ledger and attestation","Ledger","absent","none","NEW_NATIVE_SPEC_REQUIRED","Trillian; immudb auditor","docs/specifications/20_Diagnostics_Audit_and_Observability/ERROR_REFERENCE_UUID_REGISTRY_AND_TEXT_EXTERNALIZATION_MODEL.md","Create a native digest chain attestation and verifier model bound to MGA commit truth rather than donor ledger semantics."
"10","Property graph storage overlay and pattern matching","SQL Graph tables MATCH surface","graph analytics UDR canon only","partial analytics only","EXPAND_EXISTING_GENERIC_SPEC","Apache AGE; openCypher","docs/specifications/17_Functions_and_Procedures/BETA2_GRAPH_SCIENCE_AND_NETWORK_ANALYSIS_UDR_MODEL.md","Extend graph analytics into stored graph catalogs graph edges and graph pattern matching over native relational identity."
