engine,dominant_memory_model,best_ideas_for_scratchbird,fit_level,main_caution
PostgreSQL,"Hierarchical memory contexts with reset/delete lifetimes and multiple context implementations","Statement, operator, and compiler context trees plus live context dumps","high","Context misuse can hide leaks until reset points fire"
Firebird,"Owner-bound pools and pool statistics groups","Strict ownership, parent-child pool boundaries, and low-friction pool accounting","high","Pools alone do not provide hard global or per-tenant limits"
MySQL and InnoDB,"MEM_ROOT short-lifetime heaps plus scan-resistant buffer pool management","Parser/planner MEM_ROOT-style arenas and old/new buffer-pool treatment","medium_high","Subsystem-local allocators become opaque unless charged into one global tree"
DuckDB,"Buffer-manager-aware allocator and unified treatment of temporary and persistent memory","Shared control plane for spillable operator pages and persistent pages","high","Operator page layouts must be purpose-built to avoid serialization overhead"
ClickHouse,"Hierarchical memory trackers with hard and soft limits, sampling, and overcommit hooks","Global-to-local budget tree, query kill or wait policy, and memory profiling","high","Tracker noise increases if domains are not isolated and spillability is not modeled"
Cassandra,"Global and local pools, sharded memtables, off-heap controls","Sharded write-memory lanes and independently configurable mutable structures","medium","JVM assumptions and memtable-only focus are not directly portable"
Redis,"Allocator-aware fragmentation management and compact encodings for small aggregates","Background defrag for caches and compact transient structures","medium_high","These tactics fit caches and metadata, not the core MGA row store"
Neo4j,"Split heap, native, page-cache, and code-cache accounting with scoped trackers","Native or off-heap isolation, page-cache separation, and local grab-size batching","high","Sizing heuristics are workload-sensitive and page-cache pressure is not enough by itself"
OpenSearch,"Parent-child circuit breakers with real-memory and request protection","Admission control for request, fielddata, and in-flight work","high","Heap-centric defaults must be adapted for native, off-heap, and JIT memory"
MongoDB and WiredTiger,"Shared cache with checkpoint-oriented durability and operation memory tracking","Shared cache pressure signals, checkpoint-aware retention, and per-operation tracking","medium_high","Journal-oriented assumptions differ from ScratchBird MGA and anti-WAL direction"
Milvus,"Memory-aware segment loading and global allocator gates for vector workloads","Vector and ANN segment budgeting, load planning, and blocking admission","medium_high","Highly specialized toward vector segments rather than general database runtime memory"
