spec_path,spec_element,ticket,implementation_status,implementation_path,unique_search_key,notes
docs/specifications/02_Filespace_Lifecycle/README.md,Tablespace placement and lifecycle owner split,B1-01-003,implemented,src/core/tid_resolver.cpp,TIDResolver::resolveTablespace,Resolver-driven source or target tablespace selection remains the lane-A lookup anchor and the custom-tablespace placement path is now directly exercised by tests/unit/test_storage_engine.cpp
docs/specifications/02_Filespace_Lifecycle/README.md,Catalog-backed tablespace binding,B1-01-003,implemented,src/core/catalog_manager.cpp,CatalogManager::resolveTablespaceBindings,Tablespace ID or UUID ownership stays centralized in catalog bindings and is consumed by the tablespace-aware createTable or getTable path used in tests/unit/test_storage_engine.cpp
docs/specifications/03_Disk_Allocator_and_Free_Space/README.md,Page-level FSM allocation authority,B1-01-003,implemented,src/core/page_manager.cpp,PageManager::allocatePageInTablespace,PageManager::allocatePageInTablespace is the implemented allocation authority for primary and custom tablespaces and direct autoextend coverage exists in tests/unit/test_tablespace_autoextend.cpp
docs/specifications/03_Disk_Allocator_and_Free_Space/README.md,Shared-frame dirty-generation and writeback anchor,B1-01-003,implemented,src/core/buffer_pool.cpp,BufferPool::publishDirtyGeneration,Dirty-generation publication remains the writeback anchor and custom-tablespace GPID allocation is now directly exercised by tests/unit/test_storage_engine.cpp
docs/specifications/03_Disk_Allocator_and_Free_Space/README.md,Fail-closed write-admission boundary,B1-01-004,implemented,include/scratchbird/core/database.h,AUDIT CONTRACT: when write_admission_fenced() is true,The shared write-admission fence is now directly proven by tests/unit/test_executor_transaction_payload.cpp and tests/unit/test_transaction_manager.cpp
docs/specifications/04_Page_Size_Policy/README.md,Database page-size validation,B1-01-005,implemented,src/core/database.cpp,Invalid page size in database header,Section 04 header validation is now directly gated by tests/unit/test_storage_recovery_gate_contract.cpp together with tests/unit/test_error_paths.cpp and tests/unit/test_extended_page_sizes.cpp with preserved artifacts under gates/B1-01-GATE-03/20260330T132542Z
docs/specifications/04_Page_Size_Policy/README.md,Tablespace page-size mismatch refusal,B1-01-005,implemented,src/core/page_manager.cpp,Cannot open tablespace with different page size,Tablespace-open mismatch refusal is now directly gated by tests/unit/test_storage_recovery_gate_contract.cpp with preserved artifacts under gates/B1-01-GATE-03/20260330T132542Z
docs/specifications/05_Page_Taxonomy_and_Binary_Layouts/README.md,Canonical page-type enum root,B1-01-003,implemented,include/scratchbird/core/ondisk.h,PAGE_TYPE_DATABASE_HEADER,Page-type ownership remains implemented in ondisk.h and custom-tablespace heap publication continues to consume this shared enum root
docs/specifications/05_Page_Taxonomy_and_Binary_Layouts/README.md,Common page-header layout authority,B1-01-003,implemented,include/scratchbird/core/ondisk.h,PageHeader must publish the canonical section-05 field set,PageHeader remains the common durable header contract and custom-tablespace heap publication verified page_id and page_type through tests/unit/test_storage_engine.cpp
docs/specifications/06_Fixed_Bootstrap_Page_Map/README.md,Bootstrap page-map validation,B1-01-003,implemented,src/core/database.cpp,Database::validate_bootstrap_page_map,Database::validate_bootstrap_page_map remains implemented for the fixed bootstrap map and the dedicated corruption-matrix gate is now preserved under gates/B1-01-GATE-03/20260330T132542Z through tests/unit/test_storage_recovery_gate_contract.cpp
docs/specifications/06_Fixed_Bootstrap_Page_Map/README.md,Bootstrap system-state layout anchor,B1-01-003,implemented,include/scratchbird/core/ondisk.h,BootstrapSystemStatePage,BootstrapSystemStatePage remains the implemented system-state payload contract and the bootstrap-map gate now exercises wrong-type or wrong-id refusal across supported page sizes in tests/unit/test_storage_recovery_gate_contract.cpp
docs/specifications/08_Transaction_Core/MGA_RECORD_STATE_AND_PUBLICATION_MODEL.md,Transaction publication durability anchor,B1-01-004,implemented,src/core/transaction_manager.cpp,TransactionManager::flushTransactionPublicationState,Section 08 publication refusal and crash-window durability are now directly proven by tests/unit/test_transaction_manager.cpp and tests/unit/test_mga_failpoint_replay.cpp
docs/specifications/09_Lock_Manager_Core/MGA_CONFLICT_AND_LOCKING_POLICY.md,Lock conflict matrix anchor,B1-01-004,implemented,src/core/lock_manager.cpp,conflict_matrix_,The lock-manager conflict matrix and deadlock handling are directly exercised by tests/unit/test_deadlock_detection.cpp and tests/unit/test_virtual_catalogs.cpp
