order,ticket_id,title,depends_on,spec_inputs,required_gates,artifact_directory,ticket_specific_artifacts,exit_criteria
1,WF-001,Freeze input specs and lock traceability,NONE,17/NORMATIVE_UDR_SB_CLUSTER_FABRIC_CHECKLIST.md;21/NATIVE_CLUSTER_FABRIC_SQL.md;24/CATALOG_TABLE_SCHEMA_SB_CLUSTER_FABRIC.md;25/CLUSTER_UDR_FABRIC_RUNTIME_MODEL.md;26/CLUSTER_UDR_FABRIC_CHANNEL_SPEC.md;27/HANDSHAKE_MESSAGE_SCHEMAS.md;28/NORMATIVE_PARSER_CLUSTER_FABRIC_CONTROL_CHECKLIST.md;29/NORMATIVE_SERVER_CLUSTER_UDR_FABRIC_CHECKLIST.md,NONE,docs/specifications/work/implementation_tracks/cluster_fabric_workpack/evidence/WF-001/,INPUT_SPEC_LOCK.md;SPEC_SHA256SUMS.txt;TICKET_SEQUENCE_LOCK.csv,All input spec hashes and ticket order are frozen
2,WF-002,Implement catalog enums and domain prerequisites,WF-001,24/CATALOG_TABLE_SCHEMA_SB_CLUSTER_FABRIC.md,NONE,docs/specifications/work/implementation_tracks/cluster_fabric_workpack/evidence/WF-002/,CATALOG_ENUM_DOMAIN_DDL.sql;CATALOG_ENUM_DOMAIN_APPLY.log;CATALOG_ENUM_DOMAIN_VERIFY.csv,All required enum/domain objects exist and validate
3,WF-003,Implement cluster_fabric catalog tables and constraints,WF-002,24/CATALOG_TABLE_SCHEMA_SB_CLUSTER_FABRIC.md,NONE,docs/specifications/work/implementation_tracks/cluster_fabric_workpack/evidence/WF-003/,CATALOG_FABRIC_TABLES_DDL.sql;CATALOG_FABRIC_TABLES_APPLY.log;CATALOG_FABRIC_CONSTRAINT_VERIFY.csv,All required tables constraints and indexes exist exactly per spec
4,WF-004,Implement required cluster_fabric system views,WF-003,24/CATALOG_TABLE_SCHEMA_SB_CLUSTER_FABRIC.md,NONE,docs/specifications/work/implementation_tracks/cluster_fabric_workpack/evidence/WF-004/,CATALOG_FABRIC_VIEWS_DDL.sql;CATALOG_FABRIC_VIEWS_VERIFY.csv;CATALOG_FABRIC_VIEW_SHAPE_AUDIT.csv,All required system views return fixed schemas
5,WF-005,Implement 0x08xx wire message codec and validation,WF-004,26/CLUSTER_UDR_FABRIC_CHANNEL_SPEC.md,T26-I,docs/specifications/work/implementation_tracks/cluster_fabric_workpack/evidence/WF-005/,FABRIC_MESSAGE_CODEC_MATRIX.csv;FABRIC_FRAME_ROUNDTRIP.ndjson;FABRIC_PROTOCOL_ERROR_MAP.csv,All fabric message types round-trip with deterministic validation failures
6,WF-006,Implement handshake profile and channel_purpose enforcement,WF-005,27/HANDSHAKE_MESSAGE_SCHEMAS.md;27/TEST_CONTRACT.md,T27-G,docs/specifications/work/implementation_tracks/cluster_fabric_workpack/evidence/WF-006/,HANDSHAKE_FABRIC_PROFILE_RULES.md;HANDSHAKE_FABRIC_NEGATIVE_CASES.csv;HANDSHAKE_CHANNEL_PURPOSE_AUDIT.csv,Cluster profile requires mTLS and group profile rules are enforced
7,WF-007,Implement UDR ABI symbol contract and loader checks,WF-006,17/NORMATIVE_UDR_SB_CLUSTER_FABRIC_CHECKLIST.md,P17-FABRIC-01,docs/specifications/work/implementation_tracks/cluster_fabric_workpack/evidence/WF-007/,UDR_FABRIC_SYMBOL_TABLE.csv;UDR_FABRIC_LOADER_TEST.md;UDR_FABRIC_MODULE_FINGERPRINT.txt,All mandatory UDR symbols resolve before link registration
8,WF-008,Implement fabric manager startup and state restore in sb_ipc_server,WF-007,25/CLUSTER_UDR_FABRIC_RUNTIME_MODEL.md;29/NORMATIVE_SERVER_CLUSTER_UDR_FABRIC_CHECKLIST.md,R29-FABRIC-01,docs/specifications/work/implementation_tracks/cluster_fabric_workpack/evidence/WF-008/,FABRIC_MANAGER_STARTUP_FLOW.md;FABRIC_STATE_RESTORE_AUDIT.csv;RUNTIME_CONFIG_BINDING.csv,Fabric manager restores persisted link and task state deterministically
9,WF-009,Implement link lifecycle and mode_version CAS transitions,WF-008,17/NORMATIVE_UDR_SB_CLUSTER_FABRIC_CHECKLIST.md;24/CATALOG_TABLE_SCHEMA_SB_CLUSTER_FABRIC.md;29/NORMATIVE_SERVER_CLUSTER_UDR_FABRIC_CHECKLIST.md,P17-FABRIC-01;R29-FABRIC-01,docs/specifications/work/implementation_tracks/cluster_fabric_workpack/evidence/WF-009/,LINK_STATE_TRANSITION_TABLE.csv;MODE_VERSION_CAS_TESTS.csv;LINK_LIFECYCLE_TEST_RESULTS.md,Allowed transitions pass and forbidden transitions fail deterministically
10,WF-010,Implement session multiplexing and identity isolation,WF-009,17/NORMATIVE_UDR_SB_CLUSTER_FABRIC_CHECKLIST.md;25/CLUSTER_UDR_FABRIC_RUNTIME_MODEL.md;29/NORMATIVE_SERVER_CLUSTER_UDR_FABRIC_CHECKLIST.md,P17-FABRIC-02;R29-FABRIC-02,docs/specifications/work/implementation_tracks/cluster_fabric_workpack/evidence/WF-010/,SESSION_ISOLATION_MATRIX.csv;SESSION_IDENTITY_BINDING_AUDIT.csv;MULTIPLEX_CONCURRENCY_RESULTS.md,Many concurrent sessions on one link run without identity bleed
