lever,status,mysql_source,scratchbird_live_source,scratchbird_spec_source,assessment
"statement_level_multi_row_bulk_setup","IMPLEMENTED_WITH_BETA1_EXPANSION","sql_insert.cc:581-603","engine_ipc_session_handler.cpp:2006-2062","BULK_INGEST_LANES_AND_SHADOW_LOAD_CUTOVER_MODEL.md:52-60","ScratchBird proves parser-side multi-row lowering today, but not a comparable exact-family commit-time coalescing path for ordinary retail inserts."
"batched_identity_allocation","NOT_PROVED","handler.cc:3954-4005","","BULK_INGEST_LANES_AND_SHADOW_LOAD_CUTOVER_MODEL.md:56-58","This is less central for ScratchBird because row identity is UUID-first, but donor identity and sequence-heavy emulations may still want a batched sequence/identity allocator."
"prebuilt_insert_conversion_machinery","NOT_PROVED","ha_innodb.cc:9362-9379; row0mysql.cc:1557-1582","executor.cpp:117818-118040","","Current proof shows direct executor routing to per-index runtime insert, not a proved whole-row insert graph cache."
"deferred_exact_secondary_maintenance_for_cold_pages","BETA1_SPEC_ONLY","ibuf0ibuf.ic:116-129; row0ins.cc:2957-2960; srv0srv.cc:2347-2352","","DML_WRITE_PATH_AND_INDEX_OPTIMIZATION_MODEL.md:350-406","This is the closest ScratchBird analogue to MySQL's biggest retail insert advantage, and it is still canon-only."
"deferred_mutable_lane_for_many_key_indexes","IMPLEMENTED_WITH_BETA1_EXPANSION","","gin_index.h:44-45; gin_index.cpp:690-727","DML_WRITE_PATH_AND_INDEX_OPTIMIZATION_MODEL.md:408-420","ScratchBird already has the pattern for many-key families, but not yet for exact secondaries where MySQL gets the biggest OLTP insert gain."
"optimistic_insert_first_heavier_path_only_on_failure","IMPLEMENTED_WITH_BETA1_EXPANSION","row0ins.cc:3070-3089","btree.cpp:1479-1760","DML_WRITE_PATH_AND_INDEX_OPTIMIZATION_MODEL.md:612-644","ScratchBird already has a fast-first exact insert path, though its future batch and deferred-lane canon should reduce more foreground work."
"approximate_stats_instead_of_exact_protected_counters","IMPLEMENTED","row0mysql.cc:1684-1688","table_stats_manager.cpp:112-148","","ScratchBird already matches the low-overhead stats-maintenance pattern."
"hot_right_edge_monotonic_insert_mitigation","IMPLEMENTED_WITH_BETA1_EXPANSION","","btree.cpp:1197-1208; btree.cpp:1571-1596","DML_WRITE_PATH_AND_INDEX_OPTIMIZATION_MODEL.md:612-644","ScratchBird is already stronger and more explicit here than the MySQL evidence reviewed in this pass."
"exact_bulk_build_path","IMPLEMENTED_WITH_BETA1_EXPANSION","","btree.cpp:4962-5068; catalog_manager.cpp:33039-33213","BULK_INGEST_LANES_AND_SHADOW_LOAD_CUTOVER_MODEL.md:61-99","ScratchBird has the main substrate for large sorted loads and online rebuilds, but this does not yet prove equivalent retail insert acceleration."
"commit_time_coalescing_of_exact_family_deltas","BETA1_SPEC_ONLY","","","DML_WRITE_PATH_AND_INDEX_OPTIMIZATION_MODEL.md:252-297","This is the main ScratchBird planned mechanism that should reduce exact-family foreground overhead below the current direct-per-transaction path."
"same_key_exact_update_suppression","BETA1_SPEC_ONLY","","table_stats_manager.cpp:120-147","DML_WRITE_PATH_AND_INDEX_OPTIMIZATION_MODEL.md:155-239","This is an important ScratchBird-side write reduction, but it is about updates rather than pure insert throughput."
