order,ticket_id,title,depends_on,spec_inputs,required_gates,artifact_directory,ticket_specific_artifacts,exit_criteria
1,HCN-001,Freeze spec inputs and proof baseline,NONE,SB-CLUSTER-SWS-MGA-01.md;SB-CLUSTER-IMPLEMENTATION-WORKPLAN .md;SB-CLUSTER-THREAT-MODEL-AND-FAILURE-ANALYSIS.md;SB-OBS-METRICS-MONITORING-01.md;23/NATIVE_COMPILATION_AND_ARTIFACT_LIFECYCLE.md,NONE,docs/specifications/work/implementation_tracks/sblr_cluster_native_alignment_workpack/evidence/HCN-001/,INPUT_SPEC_LOCK.md;SPEC_SHA256SUMS.txt;PROOF_ANCHOR_LEDGER.csv,Input specs and proof anchors are immutable and checksummed
2,HCN-002,Publish executable gap ledger and acceptance mapping,HCN-001,SB_CLUSTER_NATIVE_ALIGNMENT_GAP_ANALYSIS_2026-02-23.md,HCN-GATE-00,docs/specifications/work/implementation_tracks/sblr_cluster_native_alignment_workpack/evidence/HCN-002/,GAP_TO_TICKET_TRACE.csv;RISK_PRIORITIZATION.csv;ACCEPTANCE_MAPPING.csv,Every critical gap is ticketized with acceptance contract
3,HCN-003,Finalize license and notice packaging controls,HCN-002,LICENSE_COMPATIBILITY_LLVM_IDPL_REVIEW_2026-02-23.md,HCN-GATE-00,docs/specifications/work/implementation_tracks/sblr_cluster_native_alignment_workpack/evidence/HCN-003/,LICENSE_NOTICE_MATRIX.csv;THIRD_PARTY_NOTICE_BUNDLE.txt;RELEASE_COMPLIANCE_CHECKLIST.md,License obligations are explicit and release-gated
4,HCN-010,Persist cluster identity in database header,HCN-003,SB-CLUSTER-IMPLEMENTATION-WORKPLAN .md,HCN-GATE-01,docs/specifications/work/implementation_tracks/sblr_cluster_native_alignment_workpack/evidence/HCN-010/,DB_HEADER_LAYOUT_DIFF.md;HEADER_COMPAT_TEST_RESULTS.md;MIGRATION_COMPAT_MATRIX.csv,Header includes cluster_id node_id cluster_config_epoch with backward compatibility
5,HCN-011,Implement injectable TimeSource abstraction,HCN-010,SB-CLUSTER-IMPLEMENTATION-WORKPLAN .md,HCN-GATE-01,docs/specifications/work/implementation_tracks/sblr_cluster_native_alignment_workpack/evidence/HCN-011/,TIME_SOURCE_INTERFACE.md;UUID_CLOCK_BINDING_AUDIT.csv;DETERMINISTIC_TIME_TEST_RESULTS.md,Clock-dependent logic runs through injectable source and deterministic tests pass
6,HCN-012,Implement StorageLockProvider abstraction,HCN-010,SB-CLUSTER-IMPLEMENTATION-WORKPLAN .md,HCN-GATE-01,docs/specifications/work/implementation_tracks/sblr_cluster_native_alignment_workpack/evidence/HCN-012/,LOCK_PROVIDER_API.md;PLATFORM_LOCK_AUDIT.csv;LOCK_FAILURE_TEST_RESULTS.md,Direct flock dependencies removed from business paths
7,HCN-013,Implement control-plane configuration log service,HCN-010,SB-CLUSTER-SWS-MGA-01.md,HCN-GATE-01,docs/specifications/work/implementation_tracks/sblr_cluster_native_alignment_workpack/evidence/HCN-013/,CONTROL_PLANE_LOG_SCHEMA.md;LOG_APPEND_REPLAY_TEST_RESULTS.md;CONFIG_EPOCH_TRACE.ndjson,Control-plane updates are durable replayable and epoch-versioned
8,HCN-014,Implement node membership and shard metadata workflows,HCN-013,SB-CLUSTER-SWS-MGA-01.md,HCN-GATE-01,docs/specifications/work/implementation_tracks/sblr_cluster_native_alignment_workpack/evidence/HCN-014/,JOIN_REJOIN_FLOW.md;NODE_MEMBERSHIP_AUDIT.csv;SHARD_METADATA_VALIDATION.csv,Join and rejoin workflows are deterministic and catalog-consistent
9,HCN-020,Implement leader term and fencing token enforcement,HCN-014,SB-CLUSTER-SWS-MGA-01.md;SB-CLUSTER-THREAT-MODEL-AND-FAILURE-ANALYSIS.md,HCN-GATE-02,docs/specifications/work/implementation_tracks/sblr_cluster_native_alignment_workpack/evidence/HCN-020/,FENCING_WRITE_PATH_AUDIT.csv;STALE_LEADER_REJECTION_RESULTS.md;TERM_TRANSITION_TRACE.ndjson,No write commits without valid current fencing token
10,HCN-021,Implement deterministic shard router with routing epoch validation,HCN-020,SB-CLUSTER-SWS-MGA-01.md,HCN-GATE-02,docs/specifications/work/implementation_tracks/sblr_cluster_native_alignment_workpack/evidence/HCN-021/,ROUTER_DECISION_MATRIX.csv;STALE_ROUTING_REJECT_RESULTS.md;ROUTING_EPOCH_AUDIT.csv,Router output is deterministic and stale epoch writes are rejected
