case_id,expression_or_sql,lhs_type,rhs_or_target_type,operator_or_cast,coercion_mode,expected_decision,expected_result_or_error,source_spec,notes
TC-001,"SELECT '3' + 3;",TEXT,INT32,+,implicit,ACCEPT,6,13_Operator_Model_and_Coercion/IMPLICIT_COERCION_RULES.md,Native text-to-numeric coercion
TC-002,"SELECT '3' || 3;",TEXT,INT32,||,implicit,ACCEPT,"33",13_Operator_Model_and_Coercion/IMPLICIT_COERCION_RULES.md,Concatenation to text
TC-003,"SELECT 'abc' + 1;",TEXT,INT32,+,implicit,REJECT,INVALID_TEXT_REPRESENTATION,13_Operator_Model_and_Coercion/IMPLICIT_COERCION_RULES.md,Numeric parse failure
TC-004,"SELECT CAST('550e8400-e29b-41d4-a716-446655440000' AS UUID);",TEXT,UUID,CAST,explicit,ACCEPT,UUID_VALUE,13_Operator_Model_and_Coercion/CAST_MATRIX.md,Canonical UUID parse
TC-005,"SELECT CAST('not-uuid' AS UUID);",TEXT,UUID,CAST,explicit,REJECT,INVALID_TEXT_REPRESENTATION,13_Operator_Model_and_Coercion/CAST_MATRIX.md,UUID parse reject
TC-006,"SELECT uuid_col || '';",UUID,TEXT,||,implicit,ACCEPT,TEXT_UUID_HEX,13_Operator_Model_and_Coercion/IMPLICIT_COERCION_RULES.md,UUID to text formatting
TC-007,"SELECT CAST('2026-02-11' AS DATE);",TEXT,DATE,CAST,explicit,ACCEPT,DATE_VALUE,13_Operator_Model_and_Coercion/CAST_MATRIX.md,Date parse success
TC-008,"SELECT CAST('bad-date' AS DATE);",TEXT,DATE,CAST,explicit,REJECT,INVALID_TEXT_REPRESENTATION,13_Operator_Model_and_Coercion/CAST_MATRIX.md,Date parse failure
TC-009,"SELECT TRUE::INT8;",BOOLEAN,INT8,CAST,explicit,ACCEPT,1,13_Operator_Model_and_Coercion/CAST_MATRIX.md,Boolean explicit cast
TC-010,"SELECT CAST('true' AS BOOLEAN);",TEXT,BOOLEAN,CAST,explicit,ACCEPT,TRUE,13_Operator_Model_and_Coercion/CAST_MATRIX.md,Text boolean parse
TC-011,"SELECT CAST('maybe' AS BOOLEAN);",TEXT,BOOLEAN,CAST,explicit,REJECT,INVALID_TEXT_REPRESENTATION,13_Operator_Model_and_Coercion/CAST_MATRIX.md,Invalid boolean token
