engine,planner_model,stats_and_costing,index_model,transaction_or_visibility_model,strongest_differentiators,highest_value_borrow_points,main_current_limit
PostgreSQL,"dynamic-programming cost-based planner with GEQO fallback","rich per-rel/path costing, selectivity, pathkeys, bitmap costing","btree, hash, GiST, SP-GiST, GIN, BRIN, bitmap, index-only","MVCC with heap visibility, proc array, clog, visibility map","planner completeness and exact/recheck-aware AM contract","canonical planner front door, mature path/property model, exact-vs-lossy AM contract, visibility map/index-only discipline","less family-specialized than some newer engines and still centered on heap recheck for many AMs"
FirebirdSQL,"cost-based stream/rivers optimizer tied tightly to retrieval and MGA semantics","selectivity and cardinality driven stream ordering, index-driven navigation, unique-index short-circuit","compressed B-tree with jump nodes, compound matching, navigation, inversion composition","native MGA with savepoints, snapshots, VIO-owned version chase/backout","tight retrieval-index-visibility ownership","single semantic owner for visibility/backout, index use inside MGA-native record lifecycle","narrower AM family breadth than PostgreSQL-class systems"
MySQL,"hypergraph join optimizer layered over classic optimizer and range subsystem","interesting orders, hypergraph cost model, range estimates, ICP/MRR-aware costing","clustered InnoDB PK, secondary B-trees, ref/range/index merge/skip scans, ICP, MRR","InnoDB consistent-read via read views, undo/version chain, purge","broad access-path menu and strong interesting-order handling","hypergraph join search, interesting order framework, ICP/MRR, clustered/secondary split discipline","still split between newer hypergraph front end and older optimizer subsystems"
MariaDB,"classic cost/range optimizer with strong range/index_merge machinery and engine-specific delegation","SEL_TREE interval analysis, partition pruning, filesort and min-max shortcuts","InnoDB B-tree baseline plus engine/plugin-specific alternatives","InnoDB visibility for transactional engines, plugin-specific behaviors elsewhere","very mature range and partition pruning machinery","range tree formalism, group-by-minmax, partition pruning, storage-engine contract separation","less unified than MySQL hypergraph path and highly dependent on chosen storage engine"
DuckDB,"logical-plan optimizer with query graph join ordering and vectorized execution coherence","statistics propagation, join-order cost model, row-group pruning, late materialization","storage statistics, row-group pruning, ART/storage index use where available","single-node transactional engine but major win is vectorized scan/prune coherence","optimizer-executor-storage alignment","row-group pruning, late materialization, stats propagation, vectorized-aware planning","index family breadth is intentionally smaller than general-purpose SQL engines"
ClickHouse,"query-tree planner plus storage-driven pruning and pipeline planning","primary-key and skip-index condition evaluation, projection and read-algorithm selection","MergeTree sparse primary key, partition pruning, minmax/set/bloom/text/vector skip indexes, projections","part-level atomicity and refresh/publication, not row-MVCC","storage-aware pruning before data read","primary-key condition interpreter, skip index framework, projections, approximate vector within storage","not a fully general row-MVCC optimizer and many indices are pruning aids rather than exact tuple locators"
Cassandra,"read-path and index-plan selection, not full relational cost-based optimization","index plan selection is driven by query form, token range, repair strictness, and SSTable coverage","LSM/SSTable-attached indexes, SAI, SASI, memtable + SSTable query views","timestamp/tombstone/repair semantics with compaction-published visibility","storage-attached index discipline under compaction","segment/SSTable-attached index publication, strict vs non-strict filtering, memtable+disk merge semantics","no broad cost-based relational join/order optimizer"
MongoDB,"query canonicalization plus index tagging, plan enumeration, multiplanning and cost-based ranking","heuristic rewrites, memo enumeration, plan cache, cost-based ranker, SBE lowering","B-tree, multikey, sparse, partial, wildcard, text, geo, clustered scan, index intersection","storage snapshot consistency and multikey/index metadata semantics","plan enumeration plus runtime plan competition","index-tagging pipeline, memo plan enumeration, multikey/wildcard handling, plan cache discipline","still split between classic query planner, multiplanner, and newer cost-based/SBE layers"
OpenSearch,"per-shard query rewrite and collector planning over Lucene","rewrite pipeline, collector selection, index-sort early termination, aggregation rewrites","inverted index, postings, doc values, BKD/point trees, star-tree, vector and completion families","near-real-time refresh and PIT/search contexts, not MGA MVCC","search rewrite and collector orchestration","query rewrite pipeline, index-sort early termination, collector specialization, per-family query builders","not a relational cost-based optimizer with join search"
Redis,"command-specialized execution, not cost-based planning","no generic planner; each command owns its own algorithm","native data structures, sorted-set/geohash for GEO, modules for custom indexes","single-threaded command serialization with MULTI/EXEC, not MVCC","extremely fast command-specific paths","hard specialization, partial sort, encoded-score search, module extension boundary","no general optimizer or native multi-index plan search in core server"
Neo4j,"cost-based Cypher logical planner with graph statistics and IDP-style connectors","statistics-backed cardinality, interesting orders, graph-pattern costing","range/text/fulltext/vector families routed through node/relationship index seek/scan runtimes and GB+Tree-backed schema indexes","transaction-state-aware graph indexes and uniqueness/locking semantics","graph-pattern-aware plan search","interesting-order graph planning, nested index joins, node/relationship specific seek operators, tx-state index visibility","planner is graph-centric rather than broad relational-family"
Milvus,"plan parsing plus coordinator-driven ANN/scalar execution routing","segment state, coordinator routing, top-k merging, search-iterator tuning","per-segment ANN indexes, scalar filters, text/tantivy bindings, offset-mapped vector search","timestamp/segment visibility with guarantee-ts, not MGA MVCC","segment-native ANN/search execution","asynchronous index build/publication, sealed vs growing segment routing, vector+bitset execution discipline","not a general SQL cost-based optimizer and exact relational semantics are secondary"
InfluxDB,"delegation to DataFusion/IOx planner with time-series rewrite layers","chunk statistics, chunk filters, query rewrites, cache-assisted chunk selection","table/chunk indexes over parquet and buffered data, time/series pruning, cache-backed metadata","snapshot and persisted-file sequencing, not row-MVCC","time-series chunk pruning and cache integration","chunk filter derivation, buffer+parquet union planning, metadata-driven pruning","index semantics are metadata and chunk oriented, not broad secondary-access-method planning"
