surface_layer,field_or_component,source_basis,shape,canonical_for_future_parser_conversion,notes
contract,version_and_contract_ids,include/scratchbird/optimizer/plan_payload.h,scalar_envelope,yes,"Defines stable plan contract identity and companion planner contracts"
contract,plan_hash,include/scratchbird/optimizer/plan_payload.h,string,yes,"Stable plan identity must survive donor-specific rendering"
contract,explain_text,include/scratchbird/optimizer/plan_payload.h,derived_text,no,"Useful compatibility surface but not the full plan contract"
execution_tree,root,include/scratchbird/optimizer/plan_payload.h,structured_tree_root,yes,"Canonical execution tree entry point"
execution_tree,RuntimePlanNode.children,include/scratchbird/optimizer/plan_payload.h,nested_children,yes,"Drives tree renderers such as PostgreSQL, DuckDB, Neo4j, ClickHouse, and MongoDB-style shapes"
execution_tree,node_type_relation_index_join_condition_detail,include/scratchbird/optimizer/plan_payload.h,operator_metadata,yes,"Carries operator labels and donor-facing detail fields"
execution_tree,cost_and_actual_fields,include/scratchbird/optimizer/plan_payload.h,cost_metrics,yes,"Supports analyze/profile rowsets and property-rich explain outputs"
execution_tree,parallel_memory_spill_fields,include/scratchbird/optimizer/plan_payload.h,resource_metrics,yes,"Needed for donor surfaces that expose execution detail"
relation_surface,relations,include/scratchbird/optimizer/plan_payload.h,relation_inventory,yes,"Needed for rowset donors and relation-scoped explain sections"
join_surface,join_steps,include/scratchbird/optimizer/plan_payload.h,join_order_inventory,yes,"Supports join-order explain and donor-specific plan narratives"
search_surface,search_summary,include/scratchbird/optimizer/plan_payload.h,search_summary_object,yes,"Useful for optimizer-oriented donors and proof surfaces"
trace_surface,considered_paths,include/scratchbird/optimizer/plan_payload.h,trace_list,yes,"Can feed donors that expose chosen vs considered alternatives"
trace_surface,rejected_paths,include/scratchbird/optimizer/plan_payload.h,trace_list,yes,"Can feed donors that expose rejected alternatives"
statistics_surface,statistics_provenance,include/scratchbird/optimizer/plan_payload.h,statistics_list,yes,"Supports explain/proof outputs that mention stats source and staleness"
feedback_surface,adaptive_feedback,include/scratchbird/optimizer/plan_payload.h,feedback_object,yes,"Supports analyze/profile or advisor-style surfaces"
control_surface,optimizer_controls,include/scratchbird/optimizer/plan_payload.h,control_list,yes,"Supports verbose explain and diagnostics output"
advisor_surface,advisor_signals_and_recommendations,include/scratchbird/optimizer/plan_payload.h,advisor_lists,yes,"Optional donor extensions or internal proof surfaces"
proof_surface,proof_surface_json_and_diagnostics_payload_json,include/scratchbird/optimizer/plan_payload.h,json_payloads,yes,"Critical for rich diagnostics and proof-driven plan explain"
planner_emission,toRuntimePlanNode_and_runtime_plan_population,src/optimizer/query_planner.cpp,plan_assembly,yes,"Actual optimizer lowers chosen plan and search data into RuntimePlan"
payload_transport,plan_plan_text_plan_hash_in_payloads,src/sblr/query_compiler_v3_optimizer_support.cpp,payload_transport,yes,"Bridge between planner output and parser-facing explain execution"
executor_rendering,SBLR3_EXPLAIN_PLAN_structured_renderer,src/sblr/executor.cpp,multi_format_renderer,yes,"Current canonical renderer over RuntimePlan"
executor_rendering,text_output_from_RuntimePlan,src/sblr/executor.cpp,text_tree_lines,yes,"Needed for FirebirdSQL and text-tree donors"
executor_rendering,json_output_from_RuntimePlan,src/sblr/executor.cpp,json_tree,yes,"Needed for JSON-object and property-rich donors"
executor_rendering,xml_output_from_RuntimePlan,src/sblr/executor.cpp,xml_tree,yes,"Available current render profile"
executor_rendering,yaml_output_from_RuntimePlan,src/sblr/executor.cpp,yaml_tree,yes,"Available current render profile"
legacy_surface,Executor_executeExplainPlan,src/sblr/executor.cpp,bytecode_summary_text,no,"Legacy lossy summarizer over limited root opcodes only"
