engine,evidence_basis,client_visible_surface_class,primary_shape,known_formats_or_profiles,reverse_request_mapping_rule,from_runtime_plan_render_strategy,confidence,notes
Apache Ignite,modules/calcite prepare and parser sources,SINGLE_TEXT_CELL,text_plan_in_PLAN_column,TEXT_parser_proven_XML_JSON_DOT_tokens_seen,"Lower donor EXPLAIN syntax to ScratchBird explain profile and return single PLAN cell","Render RuntimePlan into Calcite-like text plan string",high,"Current sampled execution path returns text only"
Cassandra,source_authority_matrix points to statements and ClientState,NOT_PROVEN_FROM_SAMPLED_LOCAL_SOURCE,unknown,unknown,"Do not spec exact donor render until a client-visible explain contract is proved","Follow-up reference work required",low,"Current sample proves planner-related code only"
Citus,distributed planner authority directory,POSTGRESQL_FAMILY_EXTENSION_NOT_SEPARATELY_PROVEN,distributed_planner_extension,postgresql_family_not_separately_sampled,"Treat incoming EXPLAIN as PostgreSQL-family until a separate Citus output layer is proved","Render via PostgreSQL-family tree plus later distributed extensions",medium,"Current local sample did not inspect a dedicated Citus explain serializer"
ClickHouse,src/Interpreters/InterpreterExplainQuery.cpp,MULTI_PROFILE_EXPLAIN_FAMILY,multiple_explain_profiles,AST|QUERY_TREE|PLAN|PIPELINE|ESTIMATES|JSON_option,"Map donor explain kind and options to a ScratchBird render profile family","Render RuntimePlan into per-profile text or JSON views",high,"Explain is a family not a single output"
CockroachDB,pkg/sql/opt/exec/execbuilder/statement.go,TEXT_TREE_OR_MEMO_TEXT,text_tree_and_memo_text,EXPLAIN_OPT|catalog|memo|env,"Lower donor explain mode to text-profile selection","Render RuntimePlan into treeprinter or memo-style text",high,"Current sampled output path is text-oriented"
Dolt,go/libraries/doltcore/sqle/enginetest/dolt_query_plans.go,TEXT_TREE,text_tree,expected_plan_strings,"Lower donor explain to text-tree request","Render RuntimePlan into Dolt-style indented tree text",medium,"Local sample proves expected plan text rather than a rowset contract"
DuckDB,ExplainStatement and ExplainFormat sources,MULTI_FORMAT_STRUCTURED_EXPLAIN,structured_explain_statement,TEXT|JSON|HTML|GRAPHVIZ|YAML|MERMAID,"Map donor EXPLAIN type and format to ScratchBird render profile","Render RuntimePlan into requested format from one canonical tree",high,"Strong fit for profile-driven rendering"
FirebirdSQL,donor plan authorities plus current ScratchBird firebird agent,TEXT_PLAN,text_plan,GET_PLAN|EXPLAIN_PLAN_text,"Lower donor plan request to text-plan surface","Render RuntimePlan or plan_text into Firebird text plan",medium,"Current local ScratchBird path already consumes plan_text"
FoundationDB,fdbcli sampled sources,NOT_PROVEN_FROM_SAMPLED_LOCAL_SOURCE,unknown,unknown,"Do not invent SQL explain behavior","Follow-up reference work required",low,"No stable client-visible plan output proved in sampled local source"
immudb,embedded/sql sampled sources,NOT_PROVEN_FROM_SAMPLED_LOCAL_SOURCE,unknown,unknown,"Do not invent explain shape","Follow-up reference work required",low,"Current sample proves SQL engine internals but not a client explain contract"
