corpus_id,family,input_sql,expected_feature_key,expected_decision,expected_error_code,expected_normalization_transforms,canonical_output,source_spec,notes
N-001,FG_DDL_SQL,"create table Orders (ID INT) with (B=2,A=1);",F_DDL_CREATE_TABLE,ACCEPT,,"TR_CASE_NORMALIZE_IDENTIFIERS|TR_RESOLVE_DIALECT_ALIASES|TR_NORMALIZE_LITERAL_TYPES|TR_EXPAND_IMPLICIT_DEFAULTS|TR_CANONICALIZE_OPTION_KEYS","CREATE TABLE orders (id INT) WITH (a=1,b=2);",21_V3_Dialect_Surface/NATIVE_PARSER_NORMALIZATION_AND_REJECTION_MATRIX.md,Option keys canonicalized and sorted
N-002,FG_DDL_SQL,"CREATE VIEW V1 AS SELECT 1;",F_DDL_CREATE_VIEW,ACCEPT,,"TR_CASE_NORMALIZE_IDENTIFIERS|TR_RESOLVE_DIALECT_ALIASES|TR_NORMALIZE_LITERAL_TYPES|TR_EXPAND_IMPLICIT_DEFAULTS|TR_CANONICALIZE_OPTION_KEYS","CREATE VIEW v1 AS SELECT 1;",21_V3_Dialect_Surface/NATIVE_DDL_LANGUAGE_DEFINITION.md,Identifier normalization
N-003,FG_DML_SQL,"SELECT * FROM Orders WHERE ID = 1;",F_DML_SELECT,ACCEPT,,"TR_CASE_NORMALIZE_IDENTIFIERS|TR_RESOLVE_DIALECT_ALIASES|TR_NORMALIZE_LITERAL_TYPES|TR_EXPAND_IMPLICIT_DEFAULTS|TR_CANONICALIZE_OPTION_KEYS","SELECT * FROM orders WHERE id = 1;",21_V3_Dialect_Surface/NATIVE_DML_LANGUAGE_DEFINITION.md,Basic DML normalization
N-004,FG_DML_SQL,"INSERT INTO orders(id,total) VALUES (1,10) ON CONFLICT (id) DO UPDATE SET total=excluded.total;",F_DML_INSERT,REWRITE_ACCEPT,,"TR_CASE_NORMALIZE_IDENTIFIERS|TR_RESOLVE_DIALECT_ALIASES|TR_NORMALIZE_LITERAL_TYPES|TR_EXPAND_IMPLICIT_DEFAULTS|TR_CANONICALIZE_OPTION_KEYS|TR_REWRITE_DIALECT_UPSERT","INSERT INTO orders (id,total) VALUES (1,10) ON CONFLICT (id) DO UPDATE SET total = excluded.total;",21_V3_Dialect_Surface/NATIVE_PARSER_FEATURE_FAMILIES.md,Upsert rewrite path
N-005,FG_DML_SQL,"UPDATE orders SET total=total+1 RETURNING id;",F_DML_RETURNING,REWRITE_ACCEPT,,"TR_CASE_NORMALIZE_IDENTIFIERS|TR_RESOLVE_DIALECT_ALIASES|TR_NORMALIZE_LITERAL_TYPES|TR_EXPAND_IMPLICIT_DEFAULTS|TR_CANONICALIZE_OPTION_KEYS|TR_REWRITE_DIALECT_RETURNING","UPDATE orders SET total = total + 1 RETURNING id;",21_V3_Dialect_Surface/NATIVE_PARSER_FEATURE_FAMILIES.md,Returning rewrite path
N-006,FG_DML_SQL,"COPY orders FROM '/tmp/o.csv' WITH (FORMAT='csv');",F_DML_COPY_BULK,REWRITE_ACCEPT,,"TR_CASE_NORMALIZE_IDENTIFIERS|TR_RESOLVE_DIALECT_ALIASES|TR_NORMALIZE_LITERAL_TYPES|TR_EXPAND_IMPLICIT_DEFAULTS|TR_CANONICALIZE_OPTION_KEYS|TR_REWRITE_DIALECT_BULK_COPY","COPY orders FROM '/tmp/o.csv' WITH (format='csv');",21_V3_Dialect_Surface/NATIVE_PARSER_FEATURE_FAMILIES.md,Copy rewrite path
N-007,FG_NOTIFICATION,"NOTIFY order_events, 'new';",F_NOTIFY_PUBLISH,REWRITE_ACCEPT,,"TR_CASE_NORMALIZE_IDENTIFIERS|TR_RESOLVE_DIALECT_ALIASES|TR_NORMALIZE_LITERAL_TYPES|TR_EXPAND_IMPLICIT_DEFAULTS|TR_CANONICALIZE_OPTION_KEYS|TR_REWRITE_DIALECT_NOTIFICATION","NOTIFY order_events,'new';",21_V3_Dialect_Surface/NATIVE_PARSER_FEATURE_FAMILIES.md,Notification rewrite path
N-008,FG_TRANSACTION,"BEGIN TRANSACTION tx1;",F_TXN_BEGIN,REWRITE_ACCEPT,,"TR_CASE_NORMALIZE_IDENTIFIERS|TR_RESOLVE_DIALECT_ALIASES|TR_NORMALIZE_LITERAL_TYPES|TR_EXPAND_IMPLICIT_DEFAULTS|TR_CANONICALIZE_OPTION_KEYS","BEGIN /*alias tx1*/;",21_V3_Dialect_Surface/NATIVE_PSQL_TSQL_LANGUAGE_DEFINITION.md,TSQL alias rewrite when enabled
N-009,FG_ADMIN,"SCAN PAGES LIGHT;",F_ADMIN_VALIDATE,REWRITE_ACCEPT,,"TR_CASE_NORMALIZE_IDENTIFIERS|TR_RESOLVE_DIALECT_ALIASES|TR_NORMALIZE_LITERAL_TYPES|TR_EXPAND_IMPLICIT_DEFAULTS|TR_CANONICALIZE_OPTION_KEYS","VALIDATE DATABASE MODE LIGHT;",21_V3_Dialect_Surface/NATIVE_ADMIN_LANGUAGE_DEFINITION.md,Admin alias rewrite
N-010,FG_ADMIN,"SCAN PAGES DIAGNOSTIC;",F_ADMIN_VALIDATE,REWRITE_ACCEPT,,"TR_CASE_NORMALIZE_IDENTIFIERS|TR_RESOLVE_DIALECT_ALIASES|TR_NORMALIZE_LITERAL_TYPES|TR_EXPAND_IMPLICIT_DEFAULTS|TR_CANONICALIZE_OPTION_KEYS","VALIDATE DATABASE MODE DIAGNOSTIC;",21_V3_Dialect_Surface/NATIVE_ADMIN_LANGUAGE_DEFINITION.md,Admin alias rewrite
