spec_path,spec_element,ticket,implementation_status,implementation_path,unique_search_key,notes
docs/specifications/work/implementation_tracks/competitive_performance_parity_workpack/README.md,package-level 3 percent donor parity rule,PP-10-001,implemented,docs/specifications/work/implementation_tracks/competitive_performance_parity_workpack/README.md,## Goal,governing parity rule for package 10
docs/specifications/23_SBLR_VM_Compiler_and_Executor/QUERY_PERFORMANCE_ORCHESTRATION_AND_CROSS_LAYER_COORDINATION_MODEL.md,cross-layer ordering and runtime performance contract,PP-10-001,partial,src/optimizer/query_planner.cpp,memory_grant_feedback,planner and executor work must eventually emit the full orchestration contract
docs/specifications/36_Query_Rewrite_and_Planner/HIGH_PERFORMANCE_OLTP_PLAN_SHAPES_CONTENTION_AVOIDANCE_AND_PREPARED_EXECUTION_MODEL.md,prepared fast-path bundle and result-cache coordination,PP-10-008,partial,src/sblr/executor.cpp,QueryResultCacheManager::getInstance(),current cache substrate exists but prepared fast-path closure remains open
docs/specifications/23_SBLR_VM_Compiler_and_Executor/EXECUTION_CACHE_AND_INVALIDATION.md,prepared bundle plan cache and result cache separation,PP-10-008,partial,src/optimizer/vnext_plan_cache.cpp,buildPlanCacheKey(,plan cache exists; package 10 must close prepared-bundle separation and invalidation
docs/specifications/36_Query_Rewrite_and_Planner/PLAN_CACHE_AND_INVALIDATION_RULES.md,prepared bundle is not the plan cache,PP-10-008,partial,src/optimizer/vnext_plan_cache.cpp,recordOptimizerEvent(,invalidations exist; package 10 must align them with prepared bundles
docs/specifications/34_Table_Storage_and_Access_Methods/HEAP_MULTI_INSERT_AND_HEAP_ONLY_UPDATE_PERFORMANCE_MODEL.md,heap multi-insert and HOT-like update parity,PP-10-005|PP-10-006,partial,src/core/storage_engine.cpp,beginBulkInsert(,bulk insert handle exists but full parity closure remains open
docs/specifications/18_Index_Framework/DML_WRITE_PATH_AND_INDEX_OPTIMIZATION_MODEL.md,batched exact-secondary maintenance and unchanged-key elision,PP-10-006|PP-10-007,partial,src/core/storage_engine.cpp,captureUnchangedStableTidIndexEffects(,current unchanged-key path is still too expensive on benchmarked updates
docs/specifications/18_Index_Framework/SECONDARY_ACCESS_LOCALITY_PUSHDOWN_AND_COVERING_EXECUTION_MODEL.md,ICP MRR BKA and index-only closure,PP-10-009|PP-10-010,partial,src/optimizer/query_planner.cpp,buildBaseRelationCandidates,package 10 must land the admitted path families end to end
docs/specifications/36_Query_Rewrite_and_Planner/MEMOIZE_INCREMENTAL_SORT_RUNTIME_FILTER_AND_ADAPTIVE_JOIN_MODEL.md,memoize incremental sort runtime filters and adaptive hash build-side,PP-10-010|PP-10-012,partial,src/optimizer/query_planner.cpp,recordP08BundleRejection,planner substrate exists but full dominant runtime closure remains open
docs/specifications/23_SBLR_VM_Compiler_and_Executor/VECTORIZED_PIPELINED_AND_INTRA_QUERY_PARALLEL_EXECUTION_MODEL.md,vector batches pipelines and intra-query parallel execution,PP-10-012|PP-10-013,partial,src/sblr/executor.cpp,executeCanonicalV3(,executor substrate exists but benchmark-dominant vector and parallel closure remains open
docs/specifications/33_Memory_Management/MEMORY_GRANT_FEEDBACK_AND_OPERATOR_RESERVATION_MODEL.md,grant feedback and worker-aware reservation,PP-10-011|PP-10-013,partial,src/core/catalog_manager.cpp,memory_grant_feedback,current durable feedback exists and package 10 must widen it across all governed operators
docs/specifications/12_Temporary_Tables/TEMP_WORKFILE_AND_OPERATOR_SPILL_CONTRACT.md,bounded spill and workfile closure,PP-10-011|PP-10-012,partial,src/sblr/executor.cpp,persist_memory_grant_feedback,package 10 must ensure planner metadata and runtime workfile behavior match
docs/specifications/03_Disk_Allocator_and_Free_Space/NUMA_LOCALITY_AND_FRAME_OWNERSHIP.md,worker affinity and locality binding,PP-10-013,partial,src/sblr/executor.cpp,executeCanonicalV3(,package 10 must add explicit worker locality behavior and evidence
docs/specifications/03_Disk_Allocator_and_Free_Space/ALLOCATION_ALGORITHMS.md,page-run and extent-window reservation,PP-10-005,partial,src/core/storage_engine.cpp,insertTupleWithHandle(,package 10 must eliminate repeated avoidable growth calls in hot write loops
docs/specifications/02_Filespace_Lifecycle/FILESPACE_OPERATIONS.md,ahead-of-demand filespace growth for hot write paths,PP-10-005,partial,src/core/storage_engine.cpp,performPostInsertMaintenance(,write path must reserve growth before hot loops instead of reacting per row
docs/specifications/39_Backup_Restore_and_Bulk_Data_Paths/BULK_INGEST_LANES_AND_SHADOW_LOAD_CUTOVER_MODEL.md,set-sourced and file-backed bulk lane classification,PP-10-004,partial,src/sblr/executor.cpp,bulk_load_plan,bulk lane substrate exists and package 10 must extend it to the remaining dominant write shapes
