legacy_internal_name,legacy_alias_record,canonical_table,canonical_branch,mapping_kind,migration_action,notes,spec_ref
schemas,sys.schemarecord,schema,root.sys.system.catalog.core,direct_rename,rename,Plural legacy name normalized to canonical singular,24_Catalog_Model_and_Virtual_Overlays/CATALOG_TABLE_INVENTORY.md
tables,sys.tableinfo,table,root.sys.system.catalog.relations,direct_rename,rename,Plural legacy name normalized to canonical singular,24_Catalog_Model_and_Virtual_Overlays/CATALOG_TABLE_INVENTORY.md
columns,sys.columnrecord,column,root.sys.system.catalog.relations,direct_rename,rename,Plural legacy name normalized to canonical singular,24_Catalog_Model_and_Virtual_Overlays/CATALOG_TABLE_INVENTORY.md
indexes,sys.indexinfo,index,root.sys.system.catalog.index,direct_rename,rename,Plural legacy name normalized to canonical singular,24_Catalog_Model_and_Virtual_Overlays/CATALOG_TABLE_INVENTORY.md
index_versions,sys.indexversioninfo,index_build_delta;index_maintenance_delta,root.sys.system.catalog.index,one_to_many_split,split,Legacy index version log is split into deterministic build and maintenance delta catalogs,24_Catalog_Model_and_Virtual_Overlays/CATALOG_TABLE_INVENTORY.md
constraints,sys.constraintinfo,table_constraint,root.sys.system.catalog.relations,direct_rename,rename,Legacy generic constraint table normalized to table_constraint,24_Catalog_Model_and_Virtual_Overlays/CATALOG_TABLE_INVENTORY.md
foreign_keys,sys.foreignkeyrecord,fk_constraint,root.sys.system.catalog.relations,direct_rename,rename,Legacy foreign key table normalized to fk_constraint,24_Catalog_Model_and_Virtual_Overlays/CATALOG_TABLE_INVENTORY.md
sequences,sys.sequencerecord,sequence,root.sys.system.catalog.relations,direct_rename,rename,Plural legacy name normalized to canonical singular,24_Catalog_Model_and_Virtual_Overlays/CATALOG_TABLE_INVENTORY.md
views,sys.viewrecord,view,root.sys.system.catalog.relations,direct_rename,rename,Plural legacy name normalized to canonical singular,24_Catalog_Model_and_Virtual_Overlays/CATALOG_TABLE_INVENTORY.md
triggers,sys.triggerrecord,trigger,root.sys.system.catalog.relations,direct_rename,rename,Plural legacy name normalized to canonical singular,24_Catalog_Model_and_Virtual_Overlays/CATALOG_TABLE_INVENTORY.md
permissions,sys.permissionrecord,permission,root.sys.security.catalog.authorization,direct_rename,rename,Legacy permissions table normalized to permission,24_Catalog_Model_and_Virtual_Overlays/CATALOG_TABLE_INVENTORY.md
column_permissions,,column_permission,root.sys.security.catalog.authorization,direct_rename,rename,Legacy plural form normalized to singular,24_Catalog_Model_and_Virtual_Overlays/CATALOG_TABLE_INVENTORY.md
default_privileges,,default_privilege,root.sys.security.catalog.authorization,direct_rename,rename,Legacy plural form normalized to singular,24_Catalog_Model_and_Virtual_Overlays/CATALOG_TABLE_INVENTORY.md
object_permissions,,object_permission,root.sys.security.catalog.authorization,direct_rename,rename,Legacy plural form normalized to singular,24_Catalog_Model_and_Virtual_Overlays/CATALOG_TABLE_INVENTORY.md
policies,,policy,root.sys.security.catalog.authorization,direct_rename,rename,Legacy plural form normalized to singular,24_Catalog_Model_and_Virtual_Overlays/CATALOG_TABLE_INVENTORY.md
statistics,sys.statisticrecord,table_stats;column_stats;index_stats,root.sys.monitor.catalog.metrics,one_to_many_split,split,Legacy generic stats table split into per-entity metrics catalogs,24_Catalog_Model_and_Virtual_Overlays/CATALOG_TABLE_INVENTORY.md
charsets,sys.charsetrecord,charset,root.sys.system.catalog.types,direct_rename,rename,Plural legacy name normalized to canonical singular,24_Catalog_Model_and_Virtual_Overlays/CATALOG_TABLE_INVENTORY.md
collations,sys.collationrecord,collation,root.sys.system.catalog.types,direct_rename,rename,Plural legacy name normalized to canonical singular,24_Catalog_Model_and_Virtual_Overlays/CATALOG_TABLE_INVENTORY.md
collation_defs,,collation_tailoring,root.sys.system.catalog.types,direct_rename,rename,Legacy collation definitions table normalized to canonical tailoring payload table,24_Catalog_Model_and_Virtual_Overlays/CATALOG_TABLE_INVENTORY.md
timezones,sys.timezonerecord,timezone,root.sys.system.catalog.types,direct_rename,rename,Plural legacy name normalized to canonical singular,24_Catalog_Model_and_Virtual_Overlays/CATALOG_TABLE_INVENTORY.md
dependencies,,dependency,root.sys.system.catalog.relations,direct_rename,rename,Legacy plural form normalized to singular,24_Catalog_Model_and_Virtual_Overlays/CATALOG_TABLE_INVENTORY.md
comments,sys.commentrecord,object_comment,root.sys.system.catalog.relations,direct_rename,rename,Legacy comments table normalized to object_comment with object UUID linkage,24_Catalog_Model_and_Virtual_Overlays/CATALOG_TABLE_INVENTORY.md
object_definitions,sys.objectdefinitionrecord,object_definition,root.sys.system.catalog.relations,direct_rename,rename,Legacy plural form normalized to singular,24_Catalog_Model_and_Virtual_Overlays/CATALOG_TABLE_INVENTORY.md
jobs,,job,root.sys.jobs.catalog.scheduler,direct_rename,rename,Legacy plural form normalized to singular,24_Catalog_Model_and_Virtual_Overlays/CATALOG_TABLE_INVENTORY.md
job_runs,,job_run,root.sys.jobs.catalog.scheduler,direct_rename,rename,Legacy plural form normalized to singular,24_Catalog_Model_and_Virtual_Overlays/CATALOG_TABLE_INVENTORY.md
job_dependencies,,job_dependency,root.sys.jobs.catalog.scheduler,direct_rename,rename,Legacy plural form normalized to singular,24_Catalog_Model_and_Virtual_Overlays/CATALOG_TABLE_INVENTORY.md
job_secrets,,job_secret,root.sys.jobs.catalog.scheduler,direct_rename,rename,Legacy plural form normalized to singular,24_Catalog_Model_and_Virtual_Overlays/CATALOG_TABLE_INVENTORY.md
users,sys.userrecord,user,root.sys.security.catalog.principals,direct_rename,rename,Legacy plural form normalized to singular,24_Catalog_Model_and_Virtual_Overlays/CATALOG_TABLE_INVENTORY.md
roles,sys.rolerecord,role,root.sys.security.catalog.principals,direct_rename,rename,Legacy plural form normalized to singular,24_Catalog_Model_and_Virtual_Overlays/CATALOG_TABLE_INVENTORY.md
groups,sys.grouprecord,group,root.sys.security.catalog.principals,direct_rename,rename,Legacy plural form normalized to singular,24_Catalog_Model_and_Virtual_Overlays/CATALOG_TABLE_INVENTORY.md
role_memberships,sys.rolemembershiprecord,role_membership,root.sys.security.catalog.principals,direct_rename,rename,Legacy plural form normalized to singular,24_Catalog_Model_and_Virtual_Overlays/CATALOG_TABLE_INVENTORY.md
group_memberships,sys.groupmembershiprecord,group_membership,root.sys.security.catalog.principals,direct_rename,rename,Legacy plural form normalized to singular,24_Catalog_Model_and_Virtual_Overlays/CATALOG_TABLE_INVENTORY.md
group_mappings,sys.groupmappingrecord,group_mapping,root.sys.security.catalog.mapping,direct_rename,rename,Legacy plural form normalized to singular,24_Catalog_Model_and_Virtual_Overlays/CATALOG_TABLE_INVENTORY.md
