optimization_key,topic,recommended_path,alternative_paths,priority,expected_benefit,risk
MM-01,Hierarchical budget tree,"Process to database to schema-root to connection to statement to operator budget tree with soft and hard limits","Global-only budget; thread-local-only budgets","P0","Prevents runaway consumers and enables tenant-safe governance","Medium"
MM-02,Typed allocator suite,"Use ScratchBird-owned arenas, slabs, page-backed arenas, and code heaps by lifetime and object class","Single general-purpose allocator; fully custom per subsystem","P0","Cuts allocation overhead and leak surface for transient workloads","Medium"
MM-03,Unified persistent and temporary page control,"Charge spillable temp pages and persistent pages through one residency manager with class-aware quotas","Dedicated temp pool; VM-assisted mapping first","P0","Graceful larger-than-memory behavior without two competing controllers","High"
MM-04,Feedback-based grants,"Persist percentile-based operator and statement grants keyed by normalized plan shape","Static grants only; optimistic overcommit waits only","P0","Reduces spills and wasted reservation while improving concurrency","Medium"
MM-05,Pressure protocol,"Use staged soft-pressure shrink, spill, wait, then statement cancel before any process-level OOM","Deny-only; kill-on-hard-limit","P0","Protects reliability and keeps MGA publication safe under pressure","Medium"
MM-06,General allocator backend,"Keep backend pluggable and subordinate to ScratchBird allocators; benchmark mimalloc against tcmalloc, keep jemalloc as observability fallback","Pick one allocator globally and let it define the architecture","P1","Better small-object locality, lower fragmentation, and future portability","Medium"
MM-07,NUMA and hugepage policy,"Local-first NUMA placement with hugepages for buffer pool and other large stable arenas","Uniform interleave; no hugepage policy","P1","Lower cross-node traffic and better TLB behavior","High"
MM-08,Cache and residency segregation,"Separate page cache, resident indexes, statement caches, translation caches, result cache, and JIT artifacts but charge all into one tree","One global LRU for everything","P1","Preserves critical residency while shrinking optional caches first","Low"
MM-09,JIT memory isolation,"Separate compile arenas, non-executable object-link memory, executable code heap, and artifact cache with resource tracking","Interpreter only; untracked native-code allocations","P1","Prevents JIT memory leaks and protects the database from code-cache explosions","Medium"
MM-10,Background memory-debt scheduler,"Track fragmentation, reclaim, spill-merge, cache-shrink, and JIT-retire debt in one scheduler","Synchronous cleanup only; opportunistic cleanup only","P1","Smooths latency and avoids debt cliffs","Medium"
MM-11,Observability and fault injection,"Expose a live memory-context tree, pressure counters, spill metrics, and allocation-failure injection","Coarse process metrics only","P1","Makes tuning and failure analysis tractable","Low"
MM-12,Schema-tree quotas,"Make schema-root and nested schema quotas first-class in the budget tree","Database-only quotas","P1","Matches ScratchBird sandboxing and platform multi-tenancy goals","Low"
