engine,status,applies_gap_keys,review_basis,notes
Apache Ignite,no_uncovered_function_gap_identified_in_this_audit,,"remote/apache_ignite/modules/calcite parser authority plus Beta 2 shared buckets for APPLY/QUALIFY/PIVOT/UNPIVOT/MATCH_RECOGNIZE/ordered-set functions","Reviewed parser authority confirmed the major Ignite function and clause surfaces already admitted in Beta 2. This audit did not isolate an additional shared function carrier gap."
Cassandra,no_uncovered_function_gap_identified_in_this_audit,,"local_existing/cassandra parser authority plus prior Beta 2 multi-model and policy DDL coverage","No additional shared function carrier gap was isolated from the reviewed Cassandra parser slice in this audit."
Citus,uncovered_gap_identified,"xmltable_rich_table_function_model; rows_from_typed_column_definition_model","Citus reference packet parser_ast authority points at the distributed PostgreSQL-derived parser surface; Beta 2 mapping spec already classifies Citus as PostgreSQL-family","No Citus-unique function surface was isolated here, but PostgreSQL-family table-function gaps still block full Citus parity."
ClickHouse,uncovered_gap_identified,"clickhouse_parametric_function_parameters; lambda_expression_carrier","local_existing/clickhouse parser authority under src/Parsers","ClickHouse still needs a parametric-function parameter carrier and a shared lambda expression model."
CockroachDB,no_uncovered_function_gap_identified_in_this_audit,,"remote/cockroachdb parser authority plus Beta 2 temporal/policy coverage","No additional shared function carrier gap was isolated from the reviewed CockroachDB parser slice in this audit."
Dolt,uncovered_gap_identified,"mysql_family_insert_source_values_pseudofunction","dolt parser_ast authority plus Dolt SQL testcases using VALUES(col) in ON DUPLICATE KEY UPDATE","This audit found no Dolt-unique function syntax carrier, but the MySQL-family insert-source VALUES expression is still missing from shared canon."
DuckDB,uncovered_gap_identified,lambda_expression_carrier,"local_existing/duckdb parser authority and LambdaExpression source","DuckDB higher-order lambda syntax still lacks a shared AST/SBLR landing zone."
FirebirdSQL,no_uncovered_function_gap_identified_in_this_audit,,"local_existing/firebird parser authority plus Beta 2 ordered-set/window coverage","The reviewed Firebird function backlog is already covered by ordered-set and expanded window metadata in Beta 2."
FoundationDB,no_uncovered_function_gap_identified_in_this_audit,,"remote/foundationdb parser authority plus Beta 2 multi-model command carrier","No additional shared SQL-function carrier gap was isolated in this audit."
immudb,no_uncovered_function_gap_identified_in_this_audit,,"remote/immudb parser authority plus Beta 2 session/history coverage","No additional shared function carrier gap was isolated from the reviewed immudb parser slice in this audit."
InfluxDB,no_uncovered_function_gap_identified_in_this_audit,,"local_existing/influxdb parser authority plus Beta 2 metadata-show coverage","No additional shared function carrier gap was isolated from the reviewed InfluxDB parser slice in this audit."
MariaDB,uncovered_gap_identified,"aggregate_local_option_carrier; mysql_family_special_function_desugar_model; mysql_family_insert_source_values_pseudofunction","local_existing/mariadb sql_yacc.yy and item.h/item.cc","MariaDB extends the MySQL-family backlog with aggregate-local limits on GROUP_CONCAT and JSON_ARRAYAGG."
Milvus,no_uncovered_function_gap_identified_in_this_audit,,"local_existing/milvus parser authority plus Beta 2 multi-model command carrier","No additional shared function carrier gap was isolated from the reviewed Milvus command surface in this audit."
MongoDB,no_uncovered_function_gap_identified_in_this_audit,,"local_existing/mongodb parser authority plus Beta 2 multi-model command carrier","This audit did not identify a new shared scalar-function carrier gap beyond the existing multi-model command family."
MySQL,uncovered_gap_identified,"sql_json_function_clause_model; aggregate_local_option_carrier; mysql_family_special_function_desugar_model; mysql_family_insert_source_values_pseudofunction","local_existing/mysql sql_yacc.yy, item.h, and related parser sources","MySQL still needs structured SQL/JSON clause metadata, aggregate-local option carriers, special-function desugars, and an insert-source VALUES expression node."
Neo4j,no_uncovered_function_gap_identified_in_this_audit,,"local_existing/neo4j parser authority plus Beta 2 multi-model command carrier","No additional shared function carrier gap was isolated from the reviewed Cypher exposure slice in this audit."
