donor_engine,technique,benchmark_processes,controlling_specs,primary_tickets,blocking_rule,status
mysql,statement-level bulk insert setup,"load|bulk_insert_select","34 heap multi-insert|39 bulk ingest lanes",PP-10-003|PP-10-005,required while load remains slower than donor by more than 3 percent,open
mysql,reusable row-conversion and insert-row infrastructure,"load|bulk_insert_select","34 heap multi-insert|23 query orchestration",PP-10-003|PP-10-004,required while ordinary batched insert still behaves like repeated singleton insert,open
mysql,optimistic exact-page insert before pessimistic fallback,"load|prepared append insert","18 DML write path|34 heap multi-insert",PP-10-005|PP-10-007,required while append-heavy inserts still show excessive contention or page churn,open
mysql,deferred exact-secondary merge equivalent to change buffering,"load|bulk_insert_select|prepared micro-batch insert","18 DML write path|39 bulk ingest lanes",PP-10-007,required while secondary maintenance remains row-oriented,open
mysql,index condition pushdown,"inner_join_simple|inner_join_multiple_conditions|range-like exact reads","18 secondary access locality",PP-10-009,required while ordered exact secondary reads still fetch heap rows for pushdown-safe rejects,open
mysql,multi-range read rowid-ordered heap fetch,"inner_join_simple|inner_join_large_result|self_join_same_country","18 secondary access locality",PP-10-009,required while secondary reads still touch heap in arrival order instead of rowid locality order,open
mysql,batched key access joins,"inner_join_simple|inner_join_large_result|four_table_join","18 secondary access locality|36 memoize runtime filters adaptive join",PP-10-010,required while indexed joins still probe inner rows one key at a time,open
postgresql,heap multi-insert with one page pin or lock cycle for many tuples,"load|bulk_insert_select","34 heap multi-insert",PP-10-005,required while row-store insert still redoes page and lock work per row,open
postgresql,HOT-like non-indexed update behavior,"bulk_update_with_case","34 heap multi-insert and heap-only update|18 DML write path",PP-10-006,required while unchanged-key updates still enumerate index maintenance state per row,open
postgresql,set-sourced insert admission for INSERT SELECT,"bulk_insert_select","39 bulk ingest lanes|23 query orchestration",PP-10-004,required while INSERT SELECT still bypasses the real sink bulk lane,open
postgresql,bounded index-only scans with visibility proof,"inner_join_simple|inner_join_multiple_conditions|range-like exact reads","18 secondary access locality",PP-10-009,required while covering ordered exact paths still pay avoidable heap fetches,open
postgresql,memoize for parameterized rescans,"inner_join_simple|nested_subquery_agg","36 memoize runtime filters adaptive join",PP-10-010,required while parameterized inner paths rescan without bounded memoized reuse,open
postgresql,incremental sort on delivered-prefix inputs,"window_function_ranking|aggregation_daily_sales|order-sensitive joins","36 memoize runtime filters adaptive join|23 vectorized pipelined and parallel execution",PP-10-012,required while full sort remains dominant on prefix-ordered inputs,open
firebird,cheap MGA-native store or modify path,"load|bulk_update_with_case|prepared point DML","34 heap multi-insert and heap-only update|18 DML write path",PP-10-003|PP-10-006,required while ScratchBird modify cost remains materially above FirebirdSQL on MGA-compatible shapes,open
firebird,stream-oriented executor and DML path without donor client batching dependency,"load|bulk_insert_select|nested_subquery_agg","23 query orchestration|39 bulk ingest lanes",PP-10-004|PP-10-012,required while ScratchBird still depends on external client batching or heavy materialization to stay competitive,open
postgresql and mysql,structured-key hash join without stringified join-key fallback,"inner_join_large_result|four_table_join|aggregation_daily_sales","23 vectorized pipelined and parallel execution|33 memory grant feedback",PP-10-011,required while admitted hash paths still stringify keys or spill avoidably,open
postgresql and mysql,low-churn sort and bounded workfile spill,"window_function_ranking|aggregation_daily_sales|multi_dimensional_agg","12 spill contract|23 vectorized pipelined and parallel execution",PP-10-011|PP-10-012,required while sort and window paths still over-materialize or spill excessively,open
postgresql and mysql,aggregate and distinct state with minimal materialization,"agg_full_table_scan|agg_distinct_counts|multi_dimensional_agg","23 vectorized pipelined and parallel execution",PP-10-012,required while aggregate and distinct still trail donors materially,open
postgresql and mysql,partition-aware window execution,"window_function_ranking","23 vectorized pipelined and parallel execution",PP-10-012|PP-10-013,required while window ranking still exceeds target ceiling,open
postgresql and mysql,legal intra-query parallel execution with worker-aware memory and gather closure,"inner_join_large_result|four_table_join|multi_dimensional_agg|window_function_ranking","23 vectorized pipelined and parallel execution|33 memory grant feedback|03 locality",PP-10-013,required while donor engines win through legal multi-worker execution and ScratchBird stays serial or locality-blind,open
