case_id,suite,required_check,expected_result,error_code
T28-K001,K,p00_context_freeze_active_transaction_immutable_context,pass,
T28-K002,K,p01_ingress_decode_malformed_frame_rejects,pass,
T28-K003,K,p02_parse_decode_stable_source_span_map,pass,
T28-K004,K,p03_capability_gate_precedence_missing_row_reject,pass,
T28-K005,K,p04_canonicalization_traceability_preserved,pass,
T28-K006,K,p05_discoverability_safe_binding_no_default_leak,pass,
T28-K007,K,p06_parameter_extraction_signature_deterministic,pass,
T28-K008,K,p07_sblr_emission_norm_evidence_checksum_required,pass,
T28-K009,K,p08_preflight_rejects_invalid_sblr_before_dispatch,pass,
T28-K010,K,p09_engine_request_envelope_required_fields,pass,
T28-K011,K,p10_response_mapping_no_unmapped_statuses,pass,
T28-K012,K,p11_stale_plan_handle_reruns_deterministic_flow,pass,
T28-K013,K,p12_egress_render_case_quoting_language_fallback_rules,pass,
