feature_id,feature_family,sql_server,azure_sql_database,azure_sql_managed_instance,current_scratchbird_generic_spec,current_scratchbird_generic_impl,current_sqlserver_azure_family_spec,current_sqlserver_azure_family_impl,gap_class,current_scratchbird_evidence,official_microsoft_evidence,gap_summary
1,Native TDS endpoint parser and bridge client,yes,yes,yes,partial,no,yes,no,GENERIC_SPEC_ONLY_FAMILY_GAP,"docs/specifications/28_Parser_Implementations/BETA2_EMULATION_FAMILY_SQLSERVER_AZURESQL_MODEL.md; docs/specifications/28_Parser_Implementations/NORMATIVE_WIRE_PROTOCOL_SQLSERVER_TDS_CHECKLIST.md","https://learn.microsoft.com/en-us/openspecs/windows_protocols/ms-tds/b46a581a-39de-4745-b076-ec4dbb7d13ec","Family spec exists at high level, but no dedicated TDS adapter, parser worker, or internal TDS client is present."
2,System catalog views DMVs and system procedures,yes,partial,yes,partial,partial,partial,partial,PARTIAL_CATALOG_AND_FAMILY_GAP,"include/scratchbird/catalog/mssql_catalog.h; docs/specifications/28_Parser_Implementations/BETA2_EMULATION_FAMILY_SQLSERVER_AZURESQL_MODEL.md","https://learn.microsoft.com/en-us/azure/azure-sql/database/features-comparison?view=azuresql","Current code only exposes a small sys.* subset; DMVs, system procedures, and broader SQL Server or Azure metadata overlays are not covered."
3,Service Broker,yes,no,yes,no,no,no,no,FULL_GAP,"no current spec or runtime hit beyond family placeholder","https://learn.microsoft.com/en-us/sql/database-engine/configure-windows/sql-server-service-broker?view=sql-server-ver17; https://learn.microsoft.com/en-us/azure/azure-sql/database/features-comparison?view=azuresql","No messaging, dialog security, queue activation, or broker catalog surface is specified or implemented."
4,CLR integration assemblies and managed routines,yes,no,yes,no,no,no,no,FULL_GAP,"no current CLR integration canon beyond incidental enum text","https://learn.microsoft.com/en-us/sql/relational-databases/clr-integration/common-language-runtime-integration-overview?view=sql-server-ver17; https://learn.microsoft.com/en-us/azure/azure-sql/database/features-comparison?view=azuresql","No assembly catalog, CREATE ASSEMBLY surface, CLR host, or security model equivalent is present."
5,Change Data Capture donor feature surface,yes,yes,yes,partial,no,no,no,GENERIC_SPEC_ONLY_FAMILY_GAP,"docs/specifications/24_Catalog_Model_and_Virtual_Overlays/CATALOG_TABLE_SCHEMA_LIVE_MIGRATION_AND_PASSTHROUGH.md; docs/specifications/39_Backup_Restore_and_Bulk_Data_Paths/WEAK_DONOR_CHANGE_CAPTURE_REPLAY_QUARANTINE_AND_RESUME_MODEL.md","https://learn.microsoft.com/en-us/sql/relational-databases/track-changes/about-change-data-capture-sql-server?view=sql-server-ver17; https://learn.microsoft.com/en-us/azure/azure-sql/database/features-comparison?view=azuresql","ScratchBird has migration and replay CDC concepts, but not SQL Server or Azure CDC objects, LSN semantics, capture jobs, or donor catalog exposure."
6,Change Tracking donor feature surface,yes,yes,yes,no,partial,no,no,FULL_GAP,"include/scratchbird/core/backup_manager.h; src/core/catalog_manager.cpp comment that change tracking infrastructure is not yet implemented","https://learn.microsoft.com/en-us/sql/relational-databases/track-changes/about-change-tracking-sql-server?view=sql-server-ver17; https://learn.microsoft.com/en-us/azure/azure-sql/database/features-comparison?view=azuresql","Current tree has only incidental internal references; no SQL Server compatible change tracking model exists."
7,System-versioned temporal tables and FOR SYSTEM_TIME,yes,yes,yes,partial,partial,no,no,PLACEHOLDER_ONLY,"include/scratchbird/catalog/mssql_catalog.h temporal_type fields; docs/specifications/work/audits/SCRATCHBIRD_EMULATION_AST_V3_AND_SBLR_GAP_ANALYSIS_2026-04-02/EMULATION_AST_V3_AND_SBLR_GAP_ANALYSIS.md","https://learn.microsoft.com/en-us/sql/relational-databases/tables/temporal-tables?view=sql-server-ver17; https://learn.microsoft.com/en-us/azure/azure-sql/database/features-comparison?view=azuresql","ScratchBird has temporal lineage and archive concepts, but not SQL Server system-versioned tables, FOR SYSTEM_TIME syntax, or donor metadata behavior."
8,Ledger tables and digest verification,yes,yes,yes,no,no,no,no,FULL_GAP,"no SQL Server ledger canon or runtime detected; ledger hits are unrelated maintenance ledgers","https://learn.microsoft.com/en-us/sql/relational-databases/security/ledger/ledger-overview?view=sql-server-ver17; https://learn.microsoft.com/en-us/azure/azure-sql/database/features-comparison?view=azuresql","No tamper-evident table, digest chain, attestation, or donor catalog surface exists."
9,SQL Graph tables and MATCH surface,yes,yes,yes,partial,partial,no,no,PLACEHOLDER_ONLY,"include/scratchbird/catalog/mssql_catalog.h graph_type is_node is_edge fields; docs/specifications/17_Functions_and_Procedures/BETA2_GRAPH_SCIENCE_AND_NETWORK_ANALYSIS_UDR_MODEL.md","https://learn.microsoft.com/en-us/sql/relational-databases/graphs/sql-graph-overview?view=sql-server-ver17; https://learn.microsoft.com/en-us/azure/azure-sql/database/features-comparison?view=azuresql","ScratchBird has graph analytics plans and placeholder catalog columns, but not SQL Graph node or edge tables, MATCH grammar, or donor semantics."
10,PolyBase and Azure data virtualization,yes,yes,yes,yes,no,no,no,GENERIC_SPEC_ONLY_FAMILY_GAP,"docs/specifications/24_Catalog_Model_and_Virtual_Overlays/BETA2_EXTERNAL_TABLE_MANIFEST_AND_SNAPSHOT_CATALOG_MODEL.md; docs/specifications/39_Backup_Restore_and_Bulk_Data_Paths/BETA2_OPEN_TABLE_FORMAT_AND_OBJECT_STORE_TABLE_MODEL.md; docs/specifications/17_Functions_and_Procedures/BETA2_DELIMITED_TEXT_FILE_READ_WRITE_AND_OVERWRITE_UDR_MODEL.md; docs/specifications/17_Functions_and_Procedures/BETA2_ODBC_DATASOURCE_CRUD_AND_REMOTE_SQL_UDR_MODEL.md","https://learn.microsoft.com/en-us/sql/relational-databases/polybase/overview?view=sql-server-ver17; https://learn.microsoft.com/en-us/azure/azure-sql/database/features-comparison?view=azuresql","Generic external-data substrate exists in canon, but SQL Server PolyBase and Azure data virtualization syntax, credentials, pushdown rules, and catalogs are not covered."
11,FILESTREAM,yes,no,no,no,partial,no,no,PLACEHOLDER_ONLY,"include/scratchbird/catalog/mssql_catalog.h filestream_data_space_id and is_filestream fields","https://learn.microsoft.com/en-us/sql/relational-databases/blob/filestream-sql-server?view=sql-server-ver17","Only metadata placeholders exist; there is no FILESTREAM storage model or compatibility layer."
12,FileTable,yes,no,no,no,partial,no,no,PLACEHOLDER_ONLY,"include/scratchbird/catalog/mssql_catalog.h is_filetable field","https://learn.microsoft.com/en-us/sql/relational-databases/blob/filetables-sql-server?view=sql-server-ver17","Only placeholder metadata exists; filesystem-backed table behavior is not covered."
13,Query Store and plan forcing family surface,yes,yes,yes,yes,no,no,no,GENERIC_SPEC_ONLY_FAMILY_GAP,"docs/specifications/36_Query_Rewrite_and_Planner/COMMERCIAL_PLAN_STORE_BASELINES_AND_REGRESSION_GOVERNANCE_BETA2_MODEL.md","https://learn.microsoft.com/en-us/sql/relational-databases/performance/monitoring-performance-by-using-the-query-store?view=sql-server-ver17; https://learn.microsoft.com/en-us/azure/azure-sql/database/features-comparison?view=azuresql","ScratchBird has a generic query-store equivalent spec, but not SQL Server Query Store DMVs, T-SQL, hints, or Azure automatic-tuning bindings."
