Ticket,Phase,PluginOrScope,Milestone,AcceptanceTests,DependsOn,Status
AUTH-PROD-A01,A,Shared config parsing,"Strict per-plugin JSON schema validation layer replacing permissive flat parser","AT-A01-01 malformed config rejected with actionable error; AT-A01-02 valid configs accepted across all enterprise plugins",None,DONE
AUTH-PROD-A02,A,Audit/metrics utility,"Shared plugin utility for audit events and auth outcome metrics","AT-A02-01 allow/deny/challenge events emitted; AT-A02-02 per-plugin counters visible in diagnostics",AUTH-PROD-A01,DONE
AUTH-PROD-A03,A,Challenge state store,"Shared TTL exchange store plus replay cache","AT-A03-01 expired exchanges rejected; AT-A03-02 nonce replay attempt denied",AUTH-PROD-A02,DONE
AUTH-PROD-A04,A,Secret provider contract,"Keytab/shared-secret/signing-key retrieval contract","AT-A04-01 missing secret fails closed; AT-A04-02 rotated secret picked up without restart where supported",AUTH-PROD-A01,DONE
AUTH-PROD-A05,A,Plugin contract harness,"Reusable plugin ABI contract tests in CI","AT-A05-01 all plugin targets run through harness; AT-A05-02 CI fails on contract regressions",AUTH-PROD-A01,DONE
AUTH-PROD-B01,B,trust_reject,"Policy/audit instrumentation and conformance tests","AT-B01-01 trust path audited and policy-traceable; AT-B01-02 reject path deterministic with expected code","AUTH-PROD-A02;AUTH-PROD-A05",DONE
AUTH-PROD-B02,B,peer,"Harden peer-credential trust model across transport and OS semantics","AT-B02-01 inet transport denied; AT-B02-02 local or IPC peer creds validated on supported platforms","AUTH-PROD-A02;AUTH-PROD-A05",DONE
AUTH-PROD-B03,B,password_compat,"Real credential verification backend plus migration controls","AT-B03-01 compat success path validates credential store; AT-B03-02 md5 legacy rejected per policy","AUTH-PROD-A01;AUTH-PROD-A04;AUTH-PROD-A05",DONE
AUTH-PROD-B04,B,token_authkey,"Signature expiry issuer and audience verification","AT-B04-01 valid signed token accepted; AT-B04-02 expired or wrong-audience token denied","AUTH-PROD-A01;AUTH-PROD-A04;AUTH-PROD-A05",DONE
AUTH-PROD-B05,B,certificate_mtls,"Full x509 chain SAN and revocation checks","AT-B05-01 valid chain plus SAN accepted; AT-B05-02 revoked or untrusted chain denied","AUTH-PROD-A01;AUTH-PROD-A04;AUTH-PROD-A05",DONE
AUTH-PROD-B06,B,jwt_oidc,"JOSE verification claims policy and key rotation","AT-B06-01 signed JWT with valid claims accepted; AT-B06-02 invalid signature or claims denied","AUTH-PROD-A01;AUTH-PROD-A04;AUTH-PROD-A05",DONE
AUTH-PROD-B07,B,oauth_validator,"Introspection or local verification with cache strategy","AT-B07-01 active token accepted; AT-B07-02 revoked token denied within cache policy bounds","AUTH-PROD-A01;AUTH-PROD-A04;AUTH-PROD-A05",DONE
AUTH-PROD-B08,B,proxy_assertion,"Trust-boundary attestation and signed assertion verification","AT-B08-01 trusted proxy assertion accepted; AT-B08-02 unsigned or untrusted assertion denied","AUTH-PROD-A01;AUTH-PROD-A04;AUTH-PROD-A05",DONE
