case_id,family,input_sql,violation_type,expected_error_code,source_spec,notes
CO-001,FG_DDL_SQL,"CREATE TABLE t1 (id INT) PARTITION BY RANGE(id) WITH (fillfactor=90);",clause_order,E_CLAUSE_ORDER_INVALID,21_V3_Dialect_Surface/NATIVE_PARSER_NORMALIZATION_AND_REJECTION_MATRIX.md,PARTITION BY before WITH
CO-002,FG_DDL_SQL,"CREATE TABLE t1 (id INT) WITH (a=1) WITH (b=2);",clause_duplicate,E_CLAUSE_DUPLICATE,21_V3_Dialect_Surface/NATIVE_PARSER_NORMALIZATION_AND_REJECTION_MATRIX.md,Duplicate WITH
CO-003,FG_DDL_SQL,"CREATE INDEX ix ON t1(id) WITH (f=80) WHERE id>0;",clause_order,E_CLAUSE_ORDER_INVALID,21_V3_Dialect_Surface/NATIVE_PARSER_NORMALIZATION_AND_REJECTION_MATRIX.md,WHERE must precede WITH
CO-004,FG_DDL_SQL,"CREATE INDEX ix ON t1(id) WHERE id>0 WHERE id<10;",clause_duplicate,E_CLAUSE_DUPLICATE,21_V3_Dialect_Surface/NATIVE_PARSER_NORMALIZATION_AND_REJECTION_MATRIX.md,Duplicate WHERE
CO-005,FG_DDL_SQL,"CREATE VIEW v1 WITH (x=1) AS SELECT 1;",clause_conflict,E_CLAUSE_CONFLICT,21_V3_Dialect_Surface/NATIVE_PARSER_NORMALIZATION_AND_REJECTION_MATRIX.md,WITH forbidden for plain view
CO-006,FG_DDL_SQL,"CREATE FUNCTION f1() AS BEGIN RETURN 1; END;",clause_required_missing,E_CLAUSE_REQUIRED_MISSING,21_V3_Dialect_Surface/NATIVE_PARSER_NORMALIZATION_AND_REJECTION_MATRIX.md,Missing RETURNS
CO-007,FG_DDL_SQL,"CREATE PROCEDURE p1() RETURNS INT AS BEGIN END;",clause_conflict,E_CLAUSE_CONFLICT,21_V3_Dialect_Surface/NATIVE_PARSER_NORMALIZATION_AND_REJECTION_MATRIX.md,Procedure RETURNS conflict
CO-008,FG_DDL_SQL,"CREATE TRIGGER trg BEFORE INSERT EXECUTE PROCEDURE p();",clause_required_missing,E_CLAUSE_REQUIRED_MISSING,21_V3_Dialect_Surface/NATIVE_PARSER_NORMALIZATION_AND_REJECTION_MATRIX.md,Missing ON clause
CO-009,FG_DDL_SQL,"CREATE TRIGGER trg BEFORE INSERT ON t1 FOR EACH ROW FOR EACH STATEMENT EXECUTE PROCEDURE p();",clause_duplicate,E_CLAUSE_DUPLICATE,21_V3_Dialect_Surface/NATIVE_PARSER_NORMALIZATION_AND_REJECTION_MATRIX.md,Duplicate FOR EACH
CO-010,FG_DDL_SQL,"CREATE POLICY pol USING (id>0);",clause_required_missing,E_CLAUSE_REQUIRED_MISSING,21_V3_Dialect_Surface/NATIVE_PARSER_NORMALIZATION_AND_REJECTION_MATRIX.md,Missing ON target
CO-011,FG_DDL_SQL,"ALTER TABLE t1 RELOCATE TO FILESPACE fs1 ONLINE OFFLINE;",clause_conflict,E_CLAUSE_CONFLICT,21_V3_Dialect_Surface/NATIVE_PARSER_NORMALIZATION_AND_REJECTION_MATRIX.md,ONLINE/OFFLINE conflict
CO-012,FG_DDL_SQL,"ALTER TABLE t1 SPLIT PARTITION p1 INTO (PARTITION p2 FILESPACE fs2, PARTITION p3 FILESPACE fs3);",clause_required_missing,E_CLAUSE_REQUIRED_MISSING,21_V3_Dialect_Surface/NATIVE_PARSER_NORMALIZATION_AND_REJECTION_MATRIX.md,Missing AT clause
CO-013,FG_DDL_SQL,"ALTER TABLE t1 ALTER COLUMN blob_col SET BLOB FILTER fb ON READ ON WRITE;",clause_duplicate,E_CLAUSE_DUPLICATE,21_V3_Dialect_Surface/NATIVE_PARSER_NORMALIZATION_AND_REJECTION_MATRIX.md,Duplicate direction
CO-014,FG_DML_SQL,"SELECT id FROM t1 HAVING count(*)>1;",clause_required_missing,E_CLAUSE_REQUIRED_MISSING,21_V3_Dialect_Surface/NATIVE_PARSER_NORMALIZATION_AND_REJECTION_MATRIX.md,HAVING without GROUP BY
CO-015,FG_DML_SQL,"SELECT id FROM t1 FOR UPDATE WHERE id>1;",clause_order,E_CLAUSE_ORDER_INVALID,21_V3_Dialect_Surface/NATIVE_PARSER_NORMALIZATION_AND_REJECTION_MATRIX.md,Lock clause not terminal
CO-016,FG_DML_SQL,"SELECT id FROM t1 WHERE id>1 WHERE id<10;",clause_duplicate,E_CLAUSE_DUPLICATE,21_V3_Dialect_Surface/NATIVE_PARSER_NORMALIZATION_AND_REJECTION_MATRIX.md,Duplicate WHERE
CO-017,FG_DML_SQL,"INSERT INTO t1(id) VALUES (1) DEFAULT VALUES;",clause_conflict,E_CLAUSE_CONFLICT,21_V3_Dialect_Surface/NATIVE_PARSER_NORMALIZATION_AND_REJECTION_MATRIX.md,Multiple source forms
CO-018,FG_DML_SQL,"INSERT INTO t1(id) VALUES (1) RETURNING id ON CONFLICT (id) DO NOTHING;",clause_order,E_CLAUSE_ORDER_INVALID,21_V3_Dialect_Surface/NATIVE_PARSER_NORMALIZATION_AND_REJECTION_MATRIX.md,ON CONFLICT order violation
CO-019,FG_DML_SQL,"UPDATE t1 WHERE id=1;",clause_required_missing,E_CLAUSE_REQUIRED_MISSING,21_V3_Dialect_Surface/NATIVE_PARSER_NORMALIZATION_AND_REJECTION_MATRIX.md,Missing SET
CO-020,FG_DML_SQL,"DELETE FROM t1 RETURNING id WHERE id=1;",clause_order,E_CLAUSE_ORDER_INVALID,21_V3_Dialect_Surface/NATIVE_PARSER_NORMALIZATION_AND_REJECTION_MATRIX.md,RETURNING terminal violation
CO-021,FG_DML_SQL,"MERGE INTO t USING s ON t.id=s.id RETURNING t.id;",clause_required_missing,E_CLAUSE_REQUIRED_MISSING,21_V3_Dialect_Surface/NATIVE_PARSER_NORMALIZATION_AND_REJECTION_MATRIX.md,Missing WHEN clause
CO-022,FG_DML_SQL,"COPY t1 FROM '/tmp/in.csv' TO '/tmp/out.csv';",clause_conflict,E_CLAUSE_CONFLICT,21_V3_Dialect_Surface/NATIVE_PARSER_NORMALIZATION_AND_REJECTION_MATRIX.md,FROM/TO conflict
CO-023,FG_PREPARED,"EXECUTE p1 USING 1 USING 2;",clause_duplicate,E_CLAUSE_DUPLICATE,21_V3_Dialect_Surface/NATIVE_PARSER_NORMALIZATION_AND_REJECTION_MATRIX.md,Duplicate USING
