gap_key,gap_class,affected_engines,donor_surface,donor_evidence,current_beta2_gap,current_sb_code_evidence,recommended_follow_on
sql_xml_function_clause_model,SHARED_SPEC_GAP,"PostgreSQL; YugabyteDB","SQL/XML constructor and serialize family: XMLCONCAT, XMLELEMENT, XMLEXISTS, XMLFOREST, XMLPARSE, XMLPI, XMLROOT, XMLSERIALIZE","postgresql/src/backend/parser/gram.y search keys: XMLCONCAT '(' expr_list ')'; XMLELEMENT '(' NAME_P; XMLEXISTS '(' c_expr; XMLSERIALIZE '(' document_or_content. yugabytedb/src/postgres/src/backend/parser/gram.y search keys: XMLCONCAT '(' expr_list ')'; XMLELEMENT '(' NAME_P; XMLEXISTS '(' c_expr; XMLSERIALIZE '(' document_or_content.","The Beta 2 grammar and payload quartet has no SQL/XML function carrier. The canonical `FunctionCallExpr` model in section 21 only carries positional or named or variadic args, aggregate metadata, and window metadata; it does not define XML option carriers such as document or content mode, XMLATTRIBUTES, whitespace mode, root version, or serialize target type.","`rg` across ast_v3.h and parser_v3.cpp for XMLPARSE, XMLSERIALIZE, XMLEXISTS, XMLFOREST, XMLELEMENT, XMLPI, XMLROOT, XMLCONCAT returned no matches.","Add a shared `SqlXmlExpr` family with structured mode enums and payloads, then wire it through section 22 and section 23 as first-class expressions."
xmltable_rich_table_function_model,SHARED_SPEC_GAP,"PostgreSQL; YugabyteDB; Citus","XMLTABLE with XMLNAMESPACES, row expression, document expression, typed column list, path/default/nullability options, and ordinality","postgresql/src/backend/parser/gram.y search keys: XMLTABLE '(' c_expr xmlexists_argument COLUMNS xmltable_column_list ')'; XMLTABLE '(' XMLNAMESPACES '(' xml_namespace_list ')' ','; only one PATH value per column; ColId FOR ORDINALITY. yugabytedb/src/postgres/src/backend/parser/gram.y search keys: XMLTABLE '(' c_expr xmlexists_argument COLUMNS xmltable_column_list ')'; XMLTABLE '(' XMLNAMESPACES '(' xml_namespace_list ')' ','.","Section 21 expands table sources for JSON_TABLE, ROWS_FROM, PIVOT, UNPIVOT, and MATCH_RECOGNIZE, but it does not define any XMLTABLE carrier. `JsonTableSpec` is not enough because donor XMLTABLE uses XML-specific namespaces, document-vs-content semantics, and typed column options that do not fit the current JSON_TABLE schema.","`rg` across ast_v3.h and parser_v3.cpp for XMLTABLE returned no matches.","Add `XmlTableSpec` and a table-source kind for XMLTABLE, plus SBLR payloads and executor bindings parallel to JSON_TABLE but with XML namespaces and XMLTABLE column options preserved."
rows_from_typed_column_definition_model,SHARED_SPEC_GAP,"PostgreSQL; YugabyteDB; Citus","ROWS FROM per-function typed column definition lists for record-returning table functions","postgresql/src/backend/parser/gram.y search keys: func_table represents a function invocation in a FROM list; In the ROWS FROM syntax, a column definition list can be given for each function; ROWS FROM (foo() AS (foo_res_a text, foo_res_b text), bar() AS (...)). yugabytedb/src/postgres/src/backend/parser/gram.y search keys: func_table represents a function invocation in a FROM list; column definition list can be given for each function.","Section 21 `RowsFromItem` only stores `FunctionCallExpr* function` and `column_aliases`. It has no typed column-definition carrier, no per-item record shape, and no place to preserve `AS (col type, ...)` metadata.","Section 21 current snippet search keys: struct RowsFromItem; std::vector<StringPool::StringId> column_aliases. Current code has no richer RowsFrom item carrier.","Extend `RowsFromItem` with typed column definitions and record-shape metadata so PostgreSQL-family record-returning table functions can lower without parser-private state."
sql_json_function_clause_model,SHARED_SPEC_GAP,"PostgreSQL; MySQL; Vitess","Clause-rich SQL/JSON function family: JSON_VALUE, JSON_QUERY, JSON_EXISTS, JSON_SERIALIZE, JSON_OBJECTAGG, JSON_ARRAYAGG, and related returning/on-empty/on-error/wrapper/quote/null behaviors","postgresql/src/backend/parser/gram.y search keys: JSON_QUERY '('; JSON_EXISTS '('; JSON_VALUE '('; JSON_SERIALIZE '('; json_behavior ON EMPTY_P; json_behavior ON ERROR_P; WITH UNIQUE KEYS; ABSENT ON NULL_P; JSON_OBJECTAGG '('; JSON_ARRAYAGG '('. mysql/sql/sql_yacc.yy search keys: JSON_VALUE_SYM '(' simple_expr ',' text_literal opt_returning_type opt_on_empty_or_error ')'; JSON_ARRAYAGG '(' in_sum_expr opt_json_constructor_null_clause ')'; JSON_OBJECTAGG '('. vitess/go/vt/sqlparser/sql.y search keys: JSON_VALUE openb expression ',' expression returning_type_opt; on_empty; on_error; JSON_ARRAYAGG openb expression; JSON_OBJECTAGG openb expression ',' expression. vitess/go/vt/sqlparser/ast.go search key: type JSONValueExpr struct { JSONDoc; Path; ReturningType; EmptyOnResponse; ErrorOnResponse }.","Beta 2 admits JSON_TABLE, but it does not define a clause carrier for SQL/JSON function options. The section 21 `FunctionCallExpr` model lacks fields for returning type, ON EMPTY, ON ERROR, wrapper behavior, quote behavior, UNIQUE KEYS, or ABSENT/NULL ON NULL policies.","Current parser_v3 has JSON existence and arrow extraction support only. Evidence search keys: ast_v3.h BinaryOp::JSON_EXISTS; parser_v3.cpp JSON_EXISTS and TokenType::ARROW => JSON_EXTRACT. There is no shared structured JSON function payload in the Beta 2 quartet.","Add a shared `SqlJsonFunctionSpec` attached to `FunctionCallExpr` so SQL/JSON constructor, query, and aggregate clauses survive parsing, SBLR encoding, execution, reverse rendering, and plan shaping."
aggregate_local_option_carrier,SHARED_SPEC_GAP,"MySQL; MariaDB; Vitess; TiDB","Aggregate-local options that are not plain ORDER BY: GROUP_CONCAT separator, aggregate-local limit, and constructor-local null behavior","mysql/sql/sql_yacc.yy search keys: GROUP_CONCAT_SYM '(' opt_distinct expr_list opt_gorder_clause opt_gconcat_separator ')'; SEPARATOR_SYM text_string. mariadb/sql/sql_yacc.yy search keys: GROUP_CONCAT_SYM '(' opt_distinct expr_list opt_gorder_clause opt_gconcat_separator opt_glimit_clause ')'; JSON_ARRAYAGG_SYM '(' opt_distinct expr_list opt_gorder_clause opt_glimit_clause ')'. vitess/go/vt/sqlparser/ast.go search key: type GroupConcatExpr struct { Distinct; Exprs; OrderBy; Separator; Limit }. tidb/pkg/parser/parser.y search keys: builtinGroupConcat '(' BuggyDefaultFalseDistinctOpt ExpressionList OrderByOptional OptGConcatSeparator ')'; OptGConcatSeparator.","Section 21 `FunctionCallExpr` has `order_by` but no aggregate-local separator, no aggregate-local limit, and no general option slot for donor aggregate behaviors that are not ordinary arguments. Beta 2 therefore cannot faithfully land GROUP_CONCAT or MariaDB JSON_ARRAYAGG limit semantics.","Section 21 current snippet search keys: class FunctionCallExpr; std::vector<OrderByItem*> order_by; OrderedSetAggregateSpec ordered_set. No separator or limit fields exist in the current spec or code.","Add a reusable `AggregateDialectOptions` carrier for separator, local limit, null-behavior flags, and other donor aggregate-local modifiers."
mysql_family_special_function_desugar_model,NATIVE_V3_DESUGAR_GAP,"MySQL; MariaDB; Vitess","Special function syntaxes that are not plain name(args): TRIM variants, POSITION(expr IN expr), SUBSTRING(expr FROM expr FOR expr), and WEIGHT_STRING","mysql/sql/sql_yacc.yy search keys: TRIM '(' LEADING expr FROM expr ')'; POSITION_SYM '(' bit_expr IN_SYM expr ')'; SUBSTRING '(' expr FROM expr FOR_SYM expr ')'; WEIGHT_STRING_SYM '(' expr AS CHAR_SYM. mariadb/sql/sql_yacc.yy search keys: WEIGHT_STRING_SYM '(' expr AS CHAR_SYM; GROUP_CONCAT comment block around dedicated grammar and TRIM special forms. vitess/go/vt/sqlparser/sql.y search keys: TRIM openb trim_type expression_opt FROM expression closeb; POSITION openb bit_expr IN expression closeb; SUBSTRING openb expression FROM expression FOR expression closeb; WEIGHT_STRING openb expression convert_type_weight_string closeb. vitess/go/vt/sqlparser/ast.go search keys: type TrimFuncExpr struct; type WeightStringFuncExpr struct; type SubstrExpr struct.","Beta 2 section 21 never defines a desugar contract for these non-parenthesized or clause-bearing function syntaxes. They are not covered by the current shared FunctionCallExpr metadata, and no donor-normalization rule exists in section 28 for them.","Current ScratchBird code has no dedicated carriers or parser admission for WEIGHT_STRING and no alternate-syntax TRIM/POSITION/SUBSTRING lowering rules in parser_v3.cpp or ast_v3.h.","Add a Beta 2 desugar bucket for clause-bearing MySQL-family special functions so donor parsers and native v3 can normalize them into shared call or special-expression nodes without donor-private AST."
mysql_family_insert_source_values_pseudofunction,SHARED_SPEC_GAP,"MySQL; MariaDB; TiDB; Vitess; Dolt","VALUES(col) insert-source pseudo-function used inside ON DUPLICATE KEY UPDATE / insert-conflict expressions","mysql/sql/sql_yacc.yy search key: VALUES '(' simple_ident_nospvar ')'. mysql/sql/item.h search keys: Item_insert_value -- an implementation of VALUES() function; VALUES(col_name) in the UPDATE clause refers to the value of col_name that would be inserted. mariadb/sql/item.h search keys: Item_insert_value -- an implementation of VALUES() function; VALUES(col_name) function in the UPDATE clause. tidb/pkg/parser/parser.y search key: VALUES '(' SimpleIdent ')' %prec lowerThanInsertValues. tidb/pkg/parser/ast/expressions.go search key: type ValuesExpr struct. vitess/go/vt/sqlparser/sql.y search key: &ValuesFuncExpr{Name: $3}. vitess/go/vt/sqlparser/ast.go search key: type ValuesFuncExpr struct. dolt/go/libraries/doltcore/sqle/enginetest/dolt_queries_diff.go search key: ON DUPLICATE KEY UPDATE col_c = VALUES(col_c).","Beta 2 expands insert surface flavors and conflict clauses, but the new spec set never defines an insert-source value expression carrier. There is no canonical AST or SBLR representation for VALUES(col) semantics inside donor conflict-update expressions.","`rg` across the Beta 2 quartet and current ScratchBird parser code for ValuesFunc, ValuesExpr, or VALUES(' returned no canonical insert-source expression carrier.","Add an `InsertSourceValueExpr` node and matching SBLR payload so MySQL-family emulation can preserve VALUES(col) semantics without donor-private expression classes."
clickhouse_parametric_function_parameters,SHARED_SPEC_GAP,"ClickHouse","Parametric aggregate and function parameter lists distinct from normal call arguments, such as quantile(0.9)(x)","clickhouse/src/Parsers/ASTFunction.h search keys: parameters - for parametric aggregate function. Example: quantile(0.9)(x); ASTPtr parameters. clickhouse/src/Parsers/ExpressionListParsers.h search key: Syntax - two pairs of parentheses instead of one. The first is for parameters, the second for arguments.","Beta 2 `FunctionCallExpr` stores only one argument vector. There is no separate carrier for function parameters distinct from execution arguments, so ClickHouse parametric functions cannot lower losslessly into the current shared model.","Section 21 current snippet search keys: class FunctionCallExpr; std::vector<FunctionArgumentItem> argument_items. No separate parameter list exists in the spec or current code.","Add a second structured list on `FunctionCallExpr` for parametric-function parameters and propagate it into SBLR payloads and executor symbol binding."
lambda_expression_carrier,SHARED_SPEC_GAP,"ClickHouse; DuckDB","Higher-order lambda expressions used as function arguments and, in ClickHouse, through the `->` lambda operator","duckdb/src/include/duckdb/parser/expression/lambda_expression.hpp search keys: class LambdaExpression; LambdaSyntaxType; The LHS of a lambda expression or the JSON '->'-operator. clickhouse/src/Parsers/ASTFunction.h search keys: is_lambda_function; Checks if function is a lambda function definition `lambda((x, y), x + y)`. clickhouse/src/Parsers/ExpressionListParsers.cpp search key: {\"->\", Operator(\"lambda\", 1, 2, OperatorType::Lambda)}.","Beta 2 has no lambda AST node, no lambda payload in section 22, and no executor binding rules for higher-order function capture or parameter scope. The current shared FunctionCallExpr cannot carry lambda parameter names and lambda body separately.","Current ScratchBird parser uses `TokenType::ARROW` only for JSON extract operators. Evidence search keys: parser_v3.cpp else if (match(TokenType::ARROW)) op = BinaryOp::JSON_EXTRACT; ast_v3.h BinaryOp::JSON_EXTRACT.","Add a shared `LambdaExpr` carrier with explicit parameter symbols, body expression, and donor syntax flavor so ClickHouse and DuckDB higher-order functions can lower into shared AST and SBLR."
sqlite_local_parser_evidence_gap,LOCAL_EVIDENCE_GAP,"SQLite","SQLite-specific function backlog cannot be completed from local source because the local SQLite donor parser source is absent","reference packet source_authority_matrix.csv search keys: sqlite parser_ast donor src/parse.y no missing 0.","This is not a confirmed shared-structure gap. It is a local evidence gap. The Beta 2 quartet cannot be checked against SQLite-unique function syntax until the local SQLite parser source exists.","sqlite/source_authority_matrix.csv shows parser_ast donor src/parse.y missing.","Acquire the SQLite donor clone first, then rerun this audit before promoting any SQLite-unique function backlog into canon."
