case_id,required_check,expected_result,error_code
T25-RM-001,embedded_single_user_non_shared,pass,
T25-RM-002,embedded_mode_locks_owned_databases_to_process,pass,
T25-RM-003,ipc_server_embeds_engine_and_shared_local_access,pass,
T25-RM-004,ipc_clients_submit_sblr_over_ipc_sbwp,pass,
T25-RM-005,engine_has_no_direct_inet_surface,pass,
T25-RM-006,listeners_parsers_start_only_after_open_database,pass,
T25-RM-007,parsers_require_listener_and_ipc_server,pass,
T25-RM-008,nine_parser_families_exact_inventory,pass,
T25-RM-009,one_listener_one_parser_family_one_port_policy,pass,
T25-RM-010,native_parser_sbwp_client_edge_and_ipc_toward_server,pass,
T25-RM-011,listener_mgmt_ipc_control_plane_only,pass,
T25-RM-012,localhost_fallback_disabled_by_default_and_localhost_only,pass,
T25-RM-013,embedded_cluster_bridge_mode_without_listener_ipc_data_path,pass,
