spec_path,spec_element,ticket,implementation_status,implementation_path,unique_search_key,notes
docs/specifications/25_Runtime_Modes/BETA2_TRANSACTIONAL_EVENTING_DURABLE_QUEUE_AND_NOTIFICATION_MODEL.md,transactional_eventing_and_queue_contract,NEQ-12-003,missing,docs/specifications/work/audits/SCRATCHBIRD_SQLSERVER_AZURE_NATIVE_EQUIVALENT_ANALYSIS_2026-04-03/SQLSERVER_AZURE_NATIVE_EQUIVALENT_ANALYSIS.md,ScratchBird does not yet have a first-class transactional event bus or durable queue subsystem,New native family
docs/specifications/25_Runtime_Modes/BETA2_DATABASE_SCHEDULER_ALERTING_AND_OPERATOR_MESSAGING_MODEL.md,database_scheduler_alerting_and_messaging_contract,NEQ-12-005,missing,docs/specifications/work/audits/SCRATCHBIRD_SQLSERVER_AZURE_NATIVE_EQUIVALENT_ANALYSIS_2026-04-03/SQLSERVER_AZURE_NATIVE_EQUIVALENT_ANALYSIS.md,ScratchBird does not yet have a first-class database scheduler or notification sink family,New native family
docs/specifications/17_Functions_and_Procedures/BETA2_MANAGED_WASM_WASI_EXTENSIBILITY_RUNTIME_MODEL.md,managed_safe_extensibility_runtime_contract,NEQ-12-007,missing,docs/specifications/work/audits/SCRATCHBIRD_SQLSERVER_AZURE_NATIVE_EQUIVALENT_ANALYSIS_2026-04-03/SQLSERVER_AZURE_NATIVE_EQUIVALENT_ANALYSIS.md,lacks a safe managed runtime host,Expand UDR canon into managed runtime host
docs/specifications/39_Backup_Restore_and_Bulk_Data_Paths/BETA2_NATIVE_CHANGEFEED_AND_CONSUMER_OFFSET_MODEL.md,native_changefeed_and_consumer_offset_contract,NEQ-12-009,missing,docs/specifications/work/audits/SCRATCHBIRD_SQLSERVER_AZURE_NATIVE_EQUIVALENT_ANALYSIS_2026-04-03/SQLSERVER_AZURE_NATIVE_EQUIVALENT_ANALYSIS.md,ScratchBird has migration and replay-oriented change capture canon but not a native changefeed,New native family
docs/specifications/24_Catalog_Model_and_Virtual_Overlays/BETA2_RELATIONAL_TEMPORAL_VERSIONING_AND_HISTORY_BINDING_MODEL.md,relational_temporal_versioning_contract,NEQ-12-011,partial,docs/specifications/work/audits/SCRATCHBIRD_SQLSERVER_AZURE_NATIVE_EQUIVALENT_ANALYSIS_2026-04-03/SQLSERVER_AZURE_NATIVE_EQUIVALENT_ANALYSIS.md,temporal clauses MGA lineage archive and replay canon,Expand current temporal substrate into full relational temporal model
docs/specifications/20_Diagnostics_Audit_and_Observability/BETA2_TAMPER_EVIDENT_LEDGER_AND_ATTESTATION_MODEL.md,tamper_evident_ledger_and_attestation_contract,NEQ-12-013,missing,docs/specifications/work/audits/SCRATCHBIRD_SQLSERVER_AZURE_NATIVE_EQUIVALENT_ANALYSIS_2026-04-03/SQLSERVER_AZURE_NATIVE_EQUIVALENT_ANALYSIS.md,not a real tamper-evident digest chain or attestation export,New native family
docs/specifications/24_Catalog_Model_and_Virtual_Overlays/BETA2_PROPERTY_GRAPH_STORAGE_AND_PATTERN_MATCHING_MODEL.md,property_graph_storage_and_pattern_matching_contract,NEQ-12-015,partial,docs/specifications/17_Functions_and_Procedures/BETA2_GRAPH_SCIENCE_AND_NETWORK_ANALYSIS_UDR_MODEL.md,graphs may be transient execution artifacts or stored graph artifacts,Expand graph analytics into stored graph model
docs/specifications/36_Query_Rewrite_and_Planner/BETA2_NATIVE_FEDERATION_AND_REMOTE_DATA_VIRTUALIZATION_IMPLEMENTATION_MODEL.md,native_federation_and_remote_data_virtualization_closure,NEQ-12-017,partial_spec_only,docs/specifications/17_Functions_and_Procedures/BETA2_ODBC_DATASOURCE_CRUD_AND_REMOTE_SQL_UDR_MODEL.md,The connector must not be intentionally weaker than the ScratchBird-driver ODBC baseline,Implementation closure over existing federation canon
docs/specifications/39_Backup_Restore_and_Bulk_Data_Paths/BETA2_TRANSACTIONAL_BLOB_AND_FILE_NAMESPACE_TABLE_MODEL.md,transactional_blob_and_file_namespace_table_contract,NEQ-12-019,missing,docs/specifications/work/audits/SCRATCHBIRD_SQLSERVER_AZURE_NATIVE_EQUIVALENT_ANALYSIS_2026-04-03/SQLSERVER_AZURE_NATIVE_EQUIVALENT_ANALYSIS.md,does not yet define a native table-bound blob namespace,New native family
docs/specifications/36_Query_Rewrite_and_Planner/BETA2_PLAN_STORE_BASELINE_AND_MANAGED_TUNING_IMPLEMENTATION_MODEL.md,plan_store_baseline_and_managed_tuning_closure,NEQ-12-021,partial_spec_only,docs/specifications/36_Query_Rewrite_and_Planner/COMMERCIAL_PLAN_STORE_BASELINES_AND_REGRESSION_GOVERNANCE_BETA2_MODEL.md,The Beta 2 plan store owns,Implementation closure over current plan-store canon
