gate_id,phase,required_artifact_filenames,output_directory,source_contract
P17-FABRIC-01,PH0,RUN_MANIFEST.json;RESULT_SUMMARY.md;UDR_ABI_TRACE.ndjson;FABRIC_LINK_STATE_AUDIT.csv;REPLAY_TRANSCRIPT.log;CHECKSUMS.sha256,docs/specifications/work/implementation_tracks/gate_evidence/PH0/P17-FABRIC-01/,docs/specifications/17_Functions_and_Procedures/NORMATIVE_UDR_SB_CLUSTER_FABRIC_CHECKLIST.md
P17-FABRIC-02,PH0,RUN_MANIFEST.json;RESULT_SUMMARY.md;SESSION_TXN_ISOLATION_AUDIT.csv;FABRIC_SESSION_BINDING_TRACE.ndjson;REPLAY_TRANSCRIPT.log;CHECKSUMS.sha256,docs/specifications/work/implementation_tracks/gate_evidence/PH0/P17-FABRIC-02/,docs/specifications/17_Functions_and_Procedures/NORMATIVE_UDR_SB_CLUSTER_FABRIC_CHECKLIST.md
P17-FABRIC-03,PH0,RUN_MANIFEST.json;RESULT_SUMMARY.md;FABRIC_TASK_PAYLOAD_AUDIT.csv;PASSTHROUGH_SBLR_AUDIT.csv;REPLAY_TRANSCRIPT.log;CHECKSUMS.sha256,docs/specifications/work/implementation_tracks/gate_evidence/PH0/P17-FABRIC-03/,docs/specifications/17_Functions_and_Procedures/NORMATIVE_UDR_SB_CLUSTER_FABRIC_CHECKLIST.md
P17-FABRIC-04,PH0,RUN_MANIFEST.json;RESULT_SUMMARY.md;FABRIC_FAILURE_TRANSITION_AUDIT.csv;FABRIC_RECOVERY_AUTH_AUDIT.csv;REPLAY_TRANSCRIPT.log;CHECKSUMS.sha256,docs/specifications/work/implementation_tracks/gate_evidence/PH0/P17-FABRIC-04/,docs/specifications/17_Functions_and_Procedures/NORMATIVE_UDR_SB_CLUSTER_FABRIC_CHECKLIST.md
T26-I,PH0,RUN_MANIFEST.json;RESULT_SUMMARY.md;FRAME_TRACE.ndjson;FABRIC_MESSAGE_DECODE_AUDIT.csv;REPLAY_TRANSCRIPT.log;CHECKSUMS.sha256,docs/specifications/work/implementation_tracks/gate_evidence/PH0/T26-I/,docs/specifications/26_Native_Wire_Protocol/TEST_CONTRACT.md
T27-G,PH0,RUN_MANIFEST.json;RESULT_SUMMARY.md;HANDSHAKE_TRACE.ndjson;CHANNEL_PROFILE_AUDIT.csv;REPLAY_TRANSCRIPT.log;CHECKSUMS.sha256,docs/specifications/work/implementation_tracks/gate_evidence/PH0/T27-G/,docs/specifications/27_Native_Handshake/TEST_CONTRACT.md
P28-FABRIC-01,PH0,RUN_MANIFEST.json;RESULT_SUMMARY.md;PARSER_FEATURE_KEY_AUDIT.csv;PARSER_CAPABILITY_GATE_AUDIT.csv;REPLAY_TRANSCRIPT.log;CHECKSUMS.sha256,docs/specifications/work/implementation_tracks/gate_evidence/PH0/P28-FABRIC-01/,docs/specifications/28_Parser_Implementations/NORMATIVE_PARSER_CLUSTER_FABRIC_CONTROL_CHECKLIST.md
P28-FABRIC-02,PH0,RUN_MANIFEST.json;RESULT_SUMMARY.md;PARSER_UUID_BINDING_AUDIT.csv;PARSER_CONTROL_ENVELOPE_AUDIT.csv;REPLAY_TRANSCRIPT.log;CHECKSUMS.sha256,docs/specifications/work/implementation_tracks/gate_evidence/PH0/P28-FABRIC-02/,docs/specifications/28_Parser_Implementations/NORMATIVE_PARSER_CLUSTER_FABRIC_CONTROL_CHECKLIST.md
P28-FABRIC-03,PH0,RUN_MANIFEST.json;RESULT_SUMMARY.md;PARSER_RESULT_SHAPE_AUDIT.csv;EMULATED_REJECTION_AUDIT.csv;REPLAY_TRANSCRIPT.log;CHECKSUMS.sha256,docs/specifications/work/implementation_tracks/gate_evidence/PH0/P28-FABRIC-03/,docs/specifications/28_Parser_Implementations/NORMATIVE_PARSER_CLUSTER_FABRIC_CONTROL_CHECKLIST.md
R29-FABRIC-01,PH0,RUN_MANIFEST.json;RESULT_SUMMARY.md;FABRIC_MANAGER_STARTUP_AUDIT.csv;LINK_LIFECYCLE_TRACE.ndjson;REPLAY_TRANSCRIPT.log;CHECKSUMS.sha256,docs/specifications/work/implementation_tracks/gate_evidence/PH0/R29-FABRIC-01/,docs/specifications/29_Listener_and_Server_Orchestration/NORMATIVE_SERVER_CLUSTER_UDR_FABRIC_CHECKLIST.md
R29-FABRIC-02,PH0,RUN_MANIFEST.json;RESULT_SUMMARY.md;FABRIC_SESSION_ISOLATION_AUDIT.csv;FABRIC_TXN_OWNERSHIP_AUDIT.csv;REPLAY_TRANSCRIPT.log;CHECKSUMS.sha256,docs/specifications/work/implementation_tracks/gate_evidence/PH0/R29-FABRIC-02/,docs/specifications/29_Listener_and_Server_Orchestration/NORMATIVE_SERVER_CLUSTER_UDR_FABRIC_CHECKLIST.md
R29-FABRIC-03,PH0,RUN_MANIFEST.json;RESULT_SUMMARY.md;FABRIC_TASK_ORCHESTRATION_TRACE.ndjson;FABRIC_TASK_STATE_AUDIT.csv;REPLAY_TRANSCRIPT.log;CHECKSUMS.sha256,docs/specifications/work/implementation_tracks/gate_evidence/PH0/R29-FABRIC-03/,docs/specifications/29_Listener_and_Server_Orchestration/NORMATIVE_SERVER_CLUSTER_UDR_FABRIC_CHECKLIST.md
R29-FABRIC-04,PH0,RUN_MANIFEST.json;RESULT_SUMMARY.md;FABRIC_HEARTBEAT_TRANSITION_AUDIT.csv;FABRIC_RECOVERY_GUARD_AUDIT.csv;REPLAY_TRANSCRIPT.log;CHECKSUMS.sha256,docs/specifications/work/implementation_tracks/gate_evidence/PH0/R29-FABRIC-04/,docs/specifications/29_Listener_and_Server_Orchestration/NORMATIVE_SERVER_CLUSTER_UDR_FABRIC_CHECKLIST.md
