ticket,title,status,depends_on,primary_evidence
NEQ-12-001,Scope freeze and reference-layout bootstrap,completed,none,README.md
NEQ-12-002,Research transactional eventing durable queues and notifications,completed,NEQ-12-001,evidence/CONSOLIDATED_PACKET_REFERENCE.md
NEQ-12-003,Draft Beta 2 transactional eventing durable queue and notification canon,completed,NEQ-12-002,docs/specifications/25_Runtime_Modes/BETA2_TRANSACTIONAL_EVENTING_DURABLE_QUEUE_AND_NOTIFICATION_MODEL.md
NEQ-12-004,Research scheduled jobs alerting and operator messaging,completed,NEQ-12-002,evidence/CONSOLIDATED_PACKET_REFERENCE.md
NEQ-12-005,Draft Beta 2 scheduler alerting and operator messaging canon,completed,NEQ-12-003|NEQ-12-004,docs/specifications/25_Runtime_Modes/BETA2_DATABASE_SCHEDULER_ALERTING_AND_OPERATOR_MESSAGING_MODEL.md
NEQ-12-006,Research managed safe extensibility runtime,completed,NEQ-12-001,evidence/CONSOLIDATED_PACKET_REFERENCE.md
NEQ-12-007,Draft Beta 2 managed WASM/WASI extensibility runtime canon,completed,NEQ-12-006,docs/specifications/17_Functions_and_Procedures/BETA2_MANAGED_WASM_WASI_EXTENSIBILITY_RUNTIME_MODEL.md
NEQ-12-008,Research native changefeeds and consumer offsets,completed,NEQ-12-001,evidence/CONSOLIDATED_PACKET_REFERENCE.md
NEQ-12-009,Draft Beta 2 native changefeed and consumer offset canon,completed,NEQ-12-008,docs/specifications/39_Backup_Restore_and_Bulk_Data_Paths/BETA2_NATIVE_CHANGEFEED_AND_CONSUMER_OFFSET_MODEL.md
NEQ-12-010,Research relational temporal versioning and history binding,completed,NEQ-12-001,evidence/CONSOLIDATED_PACKET_REFERENCE.md
NEQ-12-011,Draft Beta 2 relational temporal versioning canon,completed,NEQ-12-010,docs/specifications/24_Catalog_Model_and_Virtual_Overlays/BETA2_RELATIONAL_TEMPORAL_VERSIONING_AND_HISTORY_BINDING_MODEL.md
NEQ-12-012,Research tamper-evident ledger and attestation,completed,NEQ-12-008|NEQ-12-010,evidence/CONSOLIDATED_PACKET_REFERENCE.md
