ticket_id,spec_path,spec_clause,code_path,test_path,status,notes
CAT-001,24_Catalog_Model_and_Virtual_Overlays/CATALOG_TABLE_INVENTORY.md,Canonical on-disk table inventory,src/core/catalog_manager.cpp,docs/specifications/work/implementation_tracks/catalog_canonical_remediation/evidence/CAT-001/TEST_RESULTS.md,covered,Crosswalk maps legacy physical names to canonical table names
CAT-001,24_Catalog_Model_and_Virtual_Overlays/CATALOG_OBJECT_SCHEMA_BRANCH_ASSIGNMENT.md,Canonical branch placement,src/core/catalog_manager.cpp,docs/specifications/work/implementation_tracks/catalog_canonical_remediation/evidence/CAT-001/TEST_RESULTS.md,covered,Crosswalk includes canonical branch column for each mapping
CAT-001,24_Catalog_Model_and_Virtual_Overlays/SCHEMA_HOME_AND_SEARCH_PATH_SEMANTICS.md,Required home/search path catalogs,src/core/catalog_manager.cpp,docs/specifications/work/implementation_tracks/catalog_canonical_remediation/evidence/CAT-001/TEST_RESULTS.md,covered,Canonical-only rows added for home_schema_binding/search_path_profile/search_path_entry
CAT-001,24_Catalog_Model_and_Virtual_Overlays/CATALOG_TABLE_SCHEMA_PARSER_CAPABILITIES.md,Parser capability catalog authority,src/core/catalog_manager.cpp,docs/specifications/work/implementation_tracks/catalog_canonical_remediation/evidence/CAT-001/TEST_RESULTS.md,covered,Canonical-only rows added for parser_profile/parser_capability_entry/parser_transform_entry/parser_error_map_entry/parser_feature_precedence
CAT-002,24_Catalog_Model_and_Virtual_Overlays/CATALOG_TABLE_INVENTORY.md,Canonical on-disk catalog growth requires scalable root mapping,include/scratchbird/core/catalog_manager.h,docs/specifications/work/implementation_tracks/catalog_canonical_remediation/evidence/CAT-002/TEST_RESULTS.md,covered,Slot directory model removes hardcoded root field scaling limits
CAT-002,24_Catalog_Model_and_Virtual_Overlays/CATALOG_TABLE_SCHEMA_RULES.md,Catalog structural invariants and deterministic behavior,src/core/catalog_manager.cpp,docs/specifications/work/implementation_tracks/catalog_canonical_remediation/evidence/CAT-002/TEST_RESULTS.md,covered,Defined deterministic slot id policy and checksum validation rules
CAT-002,24_Catalog_Model_and_Virtual_Overlays/CATALOG_OBJECT_SCHEMA_BRANCH_ASSIGNMENT.md,Canonical branch assignment authority,src/core/catalog_manager.cpp,docs/specifications/work/implementation_tracks/catalog_canonical_remediation/evidence/CAT-002/TEST_RESULTS.md,covered,Slot records include canonical branch token for deterministic object placement
CAT-002,24_Catalog_Model_and_Virtual_Overlays/SCHEMA_BOOTSTRAP_ORDER_AND_INVARIANTS.md,Startup invariant enforcement,src/core/catalog_manager.cpp,docs/specifications/work/implementation_tracks/catalog_canonical_remediation/evidence/CAT-002/TEST_RESULTS.md,covered,Read resolution and checksum failure policy defined as hard gate
CAT-003,24_Catalog_Model_and_Virtual_Overlays/SCHEMA_TREE_CANONICAL.md,Canonical schema type tags,include/scratchbird/core/catalog_manager.h,docs/specifications/work/implementation_tracks/catalog_canonical_remediation/evidence/CAT-003/TEST_RESULTS.md,covered,Alignment matrix maps legacy enum values to canonical type tags
CAT-003,24_Catalog_Model_and_Virtual_Overlays/SCHEMA_BOOTSTRAP_ORDER_AND_INVARIANTS.md,Fixed bootstrap branch tree and dialect roots,src/core/catalog_manager.cpp,docs/specifications/work/implementation_tracks/catalog_canonical_remediation/evidence/CAT-003/TEST_RESULTS.md,covered,Alignment matrix identifies exact branch additions/removals/renames
