engine,donor_surface_key,surface_kind,raw_missing_class,audit_class,emulation_priority,new_sb_physical_runtime_required,required_sb_work,donor_evidence_path,sb_evidence_path,rationale
MariaDB,VECTOR,index_algorithm_token,missing_engine_mapping_and_no_direct_family,NEW_DONOR_SURFACE_OVER_EXISTING_RUNTIME,P1,no,Add donor-visible VECTOR family name plus validator and persisted mode metadata over existing SB vector runtimes.,docs/reference/project_clones/local_existing/mariadb/sql/sql_yacc.yy,include/scratchbird/parser/ast_v3.h; src/core/index_factory.cpp,Donor exposes a real vector index kind; SB has vector runtimes but not this donor-visible surface.
ClickHouse,SET,mergetree_index_type,missing_engine_mapping_and_no_direct_family,NEW_RUNTIME_OR_MAJOR_VARIANT,P1,yes,Treat as a true Beta 2 index-family or major-variant design item until a conforming shared-runtime lowering is proven.,docs/reference/project_clones/local_existing/clickhouse/src/Storages/MergeTree/MergeTreeIndices.cpp,src/core/index_factory.cpp; docs/specifications/18_Index_Framework/INDEX_RUNTIME_TAXONOMY_AND_ALIAS_LOWERING.md,ClickHouse registers this as a real MergeTree secondary index type and current SB code does not prove a conforming 1:1 lowering.
ClickHouse,TOKENBF_V1,mergetree_index_type,missing_engine_mapping_and_no_direct_family,NEW_RUNTIME_OR_MAJOR_VARIANT,P1,yes,Treat as a true Beta 2 index-family or major-variant design item until a conforming shared-runtime lowering is proven.,docs/reference/project_clones/local_existing/clickhouse/src/Storages/MergeTree/MergeTreeIndices.cpp,src/core/index_factory.cpp; docs/specifications/18_Index_Framework/INDEX_RUNTIME_TAXONOMY_AND_ALIAS_LOWERING.md,ClickHouse registers this as a real MergeTree secondary index type and current SB code does not prove a conforming 1:1 lowering.
ClickHouse,SPARSE_GRAMS,mergetree_index_type,missing_engine_mapping_and_no_direct_family,NEW_RUNTIME_OR_MAJOR_VARIANT,P1,yes,Treat as a true Beta 2 index-family or major-variant design item until a conforming shared-runtime lowering is proven.,docs/reference/project_clones/local_existing/clickhouse/src/Storages/MergeTree/MergeTreeIndices.cpp,src/core/index_factory.cpp; docs/specifications/18_Index_Framework/INDEX_RUNTIME_TAXONOMY_AND_ALIAS_LOWERING.md,ClickHouse registers this as a real MergeTree secondary index type and current SB code does not prove a conforming 1:1 lowering.
ClickHouse,HYPOTHESIS,mergetree_index_type,missing_engine_mapping_and_no_direct_family,NEW_RUNTIME_OR_MAJOR_VARIANT,P1,yes,Treat as a true Beta 2 index-family or major-variant design item until a conforming shared-runtime lowering is proven.,docs/reference/project_clones/local_existing/clickhouse/src/Storages/MergeTree/MergeTreeIndices.cpp,src/core/index_factory.cpp; docs/specifications/18_Index_Framework/INDEX_RUNTIME_TAXONOMY_AND_ALIAS_LOWERING.md,ClickHouse registers this as a real MergeTree secondary index type and current SB code does not prove a conforming 1:1 lowering.
ClickHouse,VECTOR_SIMILARITY,mergetree_index_type,missing_engine_mapping_and_no_direct_family,NEW_RUNTIME_OR_MAJOR_VARIANT,P1,yes,Treat as a true Beta 2 index-family or major-variant design item until a conforming shared-runtime lowering is proven.,docs/reference/project_clones/local_existing/clickhouse/src/Storages/MergeTree/MergeTreeIndices.cpp,src/core/index_factory.cpp; docs/specifications/18_Index_Framework/INDEX_RUNTIME_TAXONOMY_AND_ALIAS_LOWERING.md,ClickHouse registers this as a real MergeTree secondary index type and current SB code does not prove a conforming 1:1 lowering.
ClickHouse,TEXT,mergetree_index_type,missing_engine_mapping_and_no_direct_family,NEW_RUNTIME_OR_MAJOR_VARIANT,P1,yes,Treat as a true Beta 2 index-family or major-variant design item until a conforming shared-runtime lowering is proven.,docs/reference/project_clones/local_existing/clickhouse/src/Storages/MergeTree/MergeTreeIndices.cpp,src/core/index_factory.cpp; docs/specifications/18_Index_Framework/INDEX_RUNTIME_TAXONOMY_AND_ALIAS_LOWERING.md,ClickHouse registers this as a real MergeTree secondary index type and current SB code does not prove a conforming 1:1 lowering.
MongoDB,COLUMN,index_type_enum,missing_engine_mapping_and_no_direct_family,NEW_DONOR_SURFACE_OVER_EXISTING_RUNTIME,P1,no,Add donor-visible COLUMN alias/family metadata over SB COLUMNSTORE runtime for catalog-truth emulation.,docs/reference/project_clones/local_existing/mongodb/src/mongo/db/index_names.h,include/scratchbird/parser/ast_v3.h; src/parser/parser_v3.cpp; src/core/index_factory.cpp; include/scratchbird/core/columnstore_index.h,MongoDB still recognizes catalog columnstore but new creation is rejected; emulation still needs the donor-visible surface.
MongoDB,2DSPHERE_BUCKET,index_type_enum,missing_engine_mapping_and_no_direct_family,EXISTING_SB_SURFACE,P1,no,Add donor mapping and packet correction only.,docs/reference/project_clones/local_existing/mongodb/src/mongo/db/index_names.h,include/scratchbird/parser/ast_v3.h; src/core/index_factory.cpp; src/optimizer/index_family_lowering.cpp,Packet false positive; SB already has named MONGODB_2DSPHERE_BUCKET and RTREE-backed lowering.
Neo4j,FULLTEXT,index_type_enum,missing_engine_mapping_but_direct_family_exists,EXISTING_SB_SURFACE,P1,no,Bind Neo4j FULLTEXT surface to existing SB text families and donor plan/error/catalog rules.,docs/reference/project_clones/local_existing/neo4j/community/graphdb-api/src/main/java/org/neo4j/graphdb/schema/IndexType.java,include/scratchbird/parser/ast_v3.h; src/parser/parser_v3.cpp; src/core/index_factory.cpp,SB already has FULLTEXT plus Neo4j-specific text families.
Milvus,IVF_RABITQ,vector_index_type,missing_engine_mapping_and_no_direct_family,NEW_DONOR_SURFACE_OVER_EXISTING_RUNTIME,P1,no,Add donor-visible Milvus family or policy mapping over existing ANN runtimes with per-family validator metadata.,docs/reference/project_clones/local_existing/milvus/client/index/common.go,include/scratchbird/parser/ast_v3.h; src/core/index_factory.cpp,"SB has ANN runtimes already; missing work is donor-visible naming, validation, and metadata binding."
Milvus,IVF_HNSW,vector_index_type,missing_engine_mapping_and_no_direct_family,NEW_DONOR_SURFACE_OVER_EXISTING_RUNTIME,P1,no,Add donor-visible Milvus family or policy mapping over existing ANN runtimes with per-family validator metadata.,docs/reference/project_clones/local_existing/milvus/client/index/common.go,include/scratchbird/parser/ast_v3.h; src/core/index_factory.cpp,"SB has ANN runtimes already; missing work is donor-visible naming, validation, and metadata binding."
Milvus,AUTOINDEX,vector_index_type,missing_engine_mapping_and_no_direct_family,NEW_DONOR_SURFACE_OVER_EXISTING_RUNTIME,P1,no,Add donor-visible Milvus family or policy mapping over existing ANN runtimes with per-family validator metadata.,docs/reference/project_clones/local_existing/milvus/client/index/common.go,include/scratchbird/parser/ast_v3.h; src/core/index_factory.cpp,"SB has ANN runtimes already; missing work is donor-visible naming, validation, and metadata binding."
Milvus,MINHASH_LSH,vector_index_type,missing_engine_mapping_but_direct_family_exists,EXISTING_SB_SURFACE,P1,no,"Add donor mapping, parser admission, and dialect/catalog/wire shaping only.",docs/reference/project_clones/local_existing/milvus/client/index/common.go,include/scratchbird/parser/ast_v3.h; src/parser/parser_v3.cpp; src/core/index_factory.cpp,"SB already exposes the family or named donor-shaped family; missing work is mapping, not a new runtime."
Milvus,SPARSE_INVERTED_INDEX,vector_index_type,missing_engine_mapping_and_no_direct_family,EXISTING_SB_SURFACE,P1,no,Map Milvus spelling to SB SPARSE_INVERTED and teach packet generator this alias.,docs/reference/project_clones/local_existing/milvus/client/index/common.go,include/scratchbird/parser/ast_v3.h; src/parser/parser_v3.cpp; src/core/index_factory.cpp,Naming mismatch only.
Milvus,SPARSE_WAND,vector_index_type,missing_engine_mapping_but_direct_family_exists,EXISTING_SB_SURFACE,P1,no,"Add donor mapping, parser admission, and dialect/catalog/wire shaping only.",docs/reference/project_clones/local_existing/milvus/client/index/common.go,include/scratchbird/parser/ast_v3.h; src/parser/parser_v3.cpp; src/core/index_factory.cpp,"SB already exposes the family or named donor-shaped family; missing work is mapping, not a new runtime."
Milvus,GPU_IVF_FLAT,vector_index_type,missing_engine_mapping_and_no_direct_family,NEW_DONOR_SURFACE_OVER_EXISTING_RUNTIME,P1,no,Add donor-visible Milvus family or policy mapping over existing ANN runtimes with per-family validator metadata.,docs/reference/project_clones/local_existing/milvus/client/index/common.go,include/scratchbird/parser/ast_v3.h; src/core/index_factory.cpp,"SB has ANN runtimes already; missing work is donor-visible naming, validation, and metadata binding."
Milvus,GPU_IVF_PQ,vector_index_type,missing_engine_mapping_and_no_direct_family,NEW_DONOR_SURFACE_OVER_EXISTING_RUNTIME,P1,no,Add donor-visible Milvus family or policy mapping over existing ANN runtimes with per-family validator metadata.,docs/reference/project_clones/local_existing/milvus/client/index/common.go,include/scratchbird/parser/ast_v3.h; src/core/index_factory.cpp,"SB has ANN runtimes already; missing work is donor-visible naming, validation, and metadata binding."
Milvus,GPU_BRUTE_FORCE,vector_index_type,missing_engine_mapping_and_no_direct_family,NEW_DONOR_SURFACE_OVER_EXISTING_RUNTIME,P1,no,Add donor-visible Milvus family or policy mapping over existing ANN runtimes with per-family validator metadata.,docs/reference/project_clones/local_existing/milvus/client/index/common.go,include/scratchbird/parser/ast_v3.h; src/core/index_factory.cpp,"SB has ANN runtimes already; missing work is donor-visible naming, validation, and metadata binding."
Milvus,TRIE,vector_index_type,missing_engine_mapping_but_direct_family_exists,EXISTING_SB_SURFACE,P1,no,"Add donor mapping, parser admission, and dialect/catalog/wire shaping only.",docs/reference/project_clones/local_existing/milvus/client/index/common.go,include/scratchbird/parser/ast_v3.h; src/parser/parser_v3.cpp; src/core/index_factory.cpp,"SB already exposes the family or named donor-shaped family; missing work is mapping, not a new runtime."
Milvus,STL_SORT,vector_index_type,missing_engine_mapping_but_direct_family_exists,EXISTING_SB_SURFACE,P1,no,"Add donor mapping, parser admission, and dialect/catalog/wire shaping only.",docs/reference/project_clones/local_existing/milvus/client/index/common.go,include/scratchbird/parser/ast_v3.h; src/parser/parser_v3.cpp; src/core/index_factory.cpp,"SB already exposes the family or named donor-shaped family; missing work is mapping, not a new runtime."
Milvus,INVERTED,vector_index_type,missing_engine_mapping_but_direct_family_exists,EXISTING_SB_SURFACE,P1,no,"Add donor mapping, parser admission, and dialect/catalog/wire shaping only.",docs/reference/project_clones/local_existing/milvus/client/index/common.go,include/scratchbird/parser/ast_v3.h; src/parser/parser_v3.cpp; src/core/index_factory.cpp,"SB already exposes the family or named donor-shaped family; missing work is mapping, not a new runtime."
Milvus,BITMAP,vector_index_type,missing_engine_mapping_but_direct_family_exists,EXISTING_SB_SURFACE,P1,no,"Add donor mapping, parser admission, and dialect/catalog/wire shaping only.",docs/reference/project_clones/local_existing/milvus/client/index/common.go,include/scratchbird/parser/ast_v3.h; src/parser/parser_v3.cpp; src/core/index_factory.cpp,"SB already exposes the family or named donor-shaped family; missing work is mapping, not a new runtime."
Milvus,RTREE,vector_index_type,missing_engine_mapping_but_direct_family_exists,EXISTING_SB_SURFACE,P1,no,"Add donor mapping, parser admission, and dialect/catalog/wire shaping only.",docs/reference/project_clones/local_existing/milvus/client/index/common.go,include/scratchbird/parser/ast_v3.h; src/parser/parser_v3.cpp; src/core/index_factory.cpp,"SB already exposes the family or named donor-shaped family; missing work is mapping, not a new runtime."
Milvus,VECINDEX,scalar_index_type,missing_engine_mapping_and_no_direct_family,NON_FAMILY_PROPERTY_OR_MODIFIER,P0,no,"Exclude from physical-family backlog; model in DDL, routing, or planner layers only.",docs/reference/project_clones/local_existing/milvus/internal/util/indexparamcheck/index_type.go,,Source evidence shows this is not a new persisted family.
Milvus,STL_SORT,scalar_index_type,missing_engine_mapping_but_direct_family_exists,EXISTING_SB_SURFACE,P1,no,"Add donor mapping, parser admission, and dialect/catalog/wire shaping only.",docs/reference/project_clones/local_existing/milvus/internal/util/indexparamcheck/index_type.go,include/scratchbird/parser/ast_v3.h; src/parser/parser_v3.cpp; src/core/index_factory.cpp,"SB already exposes the family or named donor-shaped family; missing work is mapping, not a new runtime."
Milvus,TRIE,scalar_index_type,missing_engine_mapping_but_direct_family_exists,EXISTING_SB_SURFACE,P1,no,"Add donor mapping, parser admission, and dialect/catalog/wire shaping only.",docs/reference/project_clones/local_existing/milvus/internal/util/indexparamcheck/index_type.go,include/scratchbird/parser/ast_v3.h; src/parser/parser_v3.cpp; src/core/index_factory.cpp,"SB already exposes the family or named donor-shaped family; missing work is mapping, not a new runtime."
