ticket_id,order,title,status,owner,primary_specs,required_outputs
LD-001,1,Lexical Contract and Token Stream Baseline,completed,codex,21_V3_Dialect_Surface/NORMATIVE_ADMIN_DDL_DML_PSQL_TSQL_IMPLEMENTATION_CHECKLIST.md;21_V3_Dialect_Surface/OBJECT_NAMING_AND_QUOTING.md,TOKEN_RULES_AUDIT.csv;TEST_RESULTS.md
LD-002,2,Grammar Production Registration,completed,codex,21_V3_Dialect_Surface/NATIVE_ADMIN_LANGUAGE_DEFINITION.md;21_V3_Dialect_Surface/NATIVE_DDL_LANGUAGE_DEFINITION.md;21_V3_Dialect_Surface/NATIVE_DML_LANGUAGE_DEFINITION.md;21_V3_Dialect_Surface/NATIVE_PSQL_TSQL_LANGUAGE_DEFINITION.md,GRAMMAR_PRODUCTION_INDEX.csv;TEST_RESULTS.md
LD-003,3,Admin Grammar and Feature-Key Mapping,completed,codex,21_V3_Dialect_Surface/NATIVE_ADMIN_LANGUAGE_DEFINITION.md,ADMIN_FEATURE_KEY_MAP.csv;ADMIN_ACCEPT_REJECT_MATRIX.csv
LD-004,4,DDL Grammar and Deterministic Rejection,completed,codex,21_V3_Dialect_Surface/NATIVE_DDL_LANGUAGE_DEFINITION.md,GRAMMAR_ACCEPT_REJECT_MATRIX.csv;DDL_ERROR_MAP.csv
LD-005,5,DML Grammar and Result-Shape Contracts,completed,codex,21_V3_Dialect_Surface/NATIVE_DML_LANGUAGE_DEFINITION.md,DML_RESULT_SHAPE_AUDIT.csv;DML_ACCEPT_REJECT_MATRIX.csv
LD-006,6,PSQL Block Grammar and Controlflow Checks,completed,codex,21_V3_Dialect_Surface/NATIVE_PSQL_TSQL_LANGUAGE_DEFINITION.md,PSQL_CONTROLFLOW_CASES.csv;PSQL_CURSOR_STATE_MATRIX.csv
LD-007,7,Normalization and Clause-Order Matrix,completed,codex,21_V3_Dialect_Surface/NATIVE_PARSER_NORMALIZATION_AND_REJECTION_MATRIX.md,NORMALIZATION_CORPUS_RESULTS.csv;CLAUSE_ORDER_NEGATIVE_CASES.csv
LD-008,8,Parameter Binding and Type/Coercion Integration,completed,codex,21_V3_Dialect_Surface/NATIVE_DML_LANGUAGE_DEFINITION.md;13_Operator_Model_and_Coercion/SPEC_OUTLINE.md,PARAM_BINDING_AUDIT.csv;TYPE_COERCION_CASES.csv
LD-009,9,TSQL Alias Rewrite and Rejection Modes,completed,codex,21_V3_Dialect_Surface/NATIVE_PSQL_TSQL_LANGUAGE_DEFINITION.md,TSQL_ALIAS_REWRITE_RESULTS.csv;TSQL_ALIAS_REJECTION_RESULTS.csv
LD-010,10,UUID Binding and Feature-Key Result Audit,completed,codex,21_V3_Dialect_Surface/NATIVE_PARSER_FEATURE_FAMILIES.md;24_Catalog_Model_and_Virtual_Overlays/CATALOG_OBJECT_PARENTAGE_AND_NAME_UNIQUENESS.md,UUID_BIND_AND_FEATURE_KEY_AUDIT.csv
LD-011,11,SQL to SBLR Request Envelope and Diagnostics,completed,codex,21_V3_Dialect_Surface/NORMATIVE_ADMIN_DDL_DML_PSQL_TSQL_IMPLEMENTATION_CHECKLIST.md;22_SBLR_Canonical_Model_and_Opcodes/SBLR_STATEMENT_PAYLOAD_SCHEMAS.md,SQL_SBLR_ENVELOPE_AUDIT.csv;DIAGNOSTIC_TRACE_AUDIT.csv
LD-012,12,End-to-End Language Gate Execution,completed,codex,21_V3_Dialect_Surface/TEST_CONTRACT.md;31_Conformance_Performance_and_Reliability_Gates/TEST_CONTRACT.md,E2E_LANGUAGE_GATE_RESULTS.md;E2E_CORPUS_MATRIX.csv
